270978,1,APCreditMemoInvoice,10/26/2017 12:13:58 PM,Passed,10/26/2017 12:09:26 PM,basic.step,AP Sceanrios,,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,98287,Passed,"",basic.init,
"Launch Browser: InternetExplorer 10.0.9200.17609",,2851,Passed,"",basic.step,
"Call Function: EBS_Reusable_Methods.login_EBS",,19519,Passed,"",basic.stepGroup,
"Launch Browser: InternetExplorer 10.0.9200.17609",,1743,Passed,"",basic.step,
"Think: 0 (sec).",,27,Passed,"",basic.comment,
"[1] Import Excel",,12192,Passed,"",basic.stepGroup,
"Info",,2,Passed,"Comments: selected environment is ++ ",basic.comment,
"Info",,0,Passed,"Comments: oatsuser",basic.comment,
"Navigate https://erpint.fin.yahoo.com:8000/",2,95,Passed,"",ft.action,
"Think: 10 (sec).",,10760,Passed,"",basic.comment,
"SetText textBox(""@id='usernameField'"") oatsuser",,163,Passed,"",ft.action,
"SetPassword textBox(""@id='passwordField'"") ******",,43,Passed,"",ft.action,
"Click button(""@index='0'"")",,143,Passed,"",ft.action,
"WaitForPage https://erpint.fin.yahoo.com:8000/OA_HTML/AppsLocalLogin.jsp",,508,Passed,"",web.pageComplete,
"Call Function: EBS_Reusable_Methods.expand_NodeFromList",,42097,Passed,"",basic.stepGroup,
"Think: 0 (sec).",,27,Passed,"",basic.comment,
"[3] Expand Node from the List",,563,Passed,"",basic.stepGroup,
"Click element(""@text='System Administrator'"")",,409,Passed,"",ft.action,
"Think: 0 (sec).",,20,Passed,"",basic.comment,
"[3] Expand Node from the List",,2720,Passed,"",basic.stepGroup,
"Click element(""@text='Concurrent'"")",,2651,Passed,"",ft.action,
"Think: 0 (sec).",,23,Passed,"",basic.comment,
"[4] Click on the link under the Node",,964,Passed,"",basic.stepGroup,
"WaitForPage https://erpint.fin.yahoo.com:8000/OA_HTML/OA.jsp?OAFunc=OAHOMEPAGE#dummyAnchor",,435,Passed,"",web.pageComplete,
"Frame (URL=https://erpint.fin.yahoo.com:8000/OA_HTML/cabo/images/skyros/t.htm)",,0,Passed,"",web.frame,
"Frame (URL=https://erpint.fin.yahoo.com:8000/OA_HTML/blank.html)",,0,Passed,"",web.frame,
"Click element(""@text='Requests'"")",,346,Passed,"",ft.action,
"Close window(""@name='JOBS_QF'"")",,22920,Passed,"",ft.action,
"Activate window(""@name='NAVIGATOR'"")",,24,Passed,"",ft.action,
"Think: 10 (sec).",,10021,Passed,"",basic.comment,
"Iteration Total (sec)",,172219,Passed,"",basic.iteration,
