30779,0,APCreditMemoInvoice,10/30/2017 16:25:57 PM,Failed,10/30/2017 16:25:27 PM,basic.step,AP Sceanrios,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,30366,Failed,"",basic.init,
"Launch Browser: InternetExplorer 10.0.9200.17609",,3289,Passed,"",basic.step,
"Call Function: EBS_Reusable_Methods.login_EBS",,26153,Failed,"",basic.stepGroup,
"Launch Browser: InternetExplorer 10.0.9200.17609",,1479,Passed,"",basic.step,
"Think: 0 (sec).",,33,Passed,"",basic.comment,
"[1] Import Excel",,18871,Failed,"",basic.stepGroup,
"Info",,1,Passed,"Comments: selected environment is ++ ",basic.comment,
"Info",,0,Passed,"Comments: oatsuser",basic.comment,
"Navigate https://erpint.fin.yahoo.com:8000/",2,86,Passed,"",ft.action,
"Think: 10 (sec).",,10043,Passed,"",basic.comment,
"Failed to playback",,8064,Failed,"",ft.action,
"setText",,8075,Failed,"Failed to playback: No browser launched.",ft.action,
"Finish Total (sec)",,44,Passed,"",basic.finish,
