9/15/2017 19:33:54 PM - Launch Browser: IE version 8.0.7601.17514
9/15/2017 19:48:21 PM - Save Script: Version 12.5.0.3.1012 User oats
9/15/2017 20:28:57 PM - Save Script: Version 12.5.0.3.1012 User oats
9/15/2017 20:31:22 PM - Save Script: Version 12.5.0.3.1012 User oats
9/15/2017 20:42:29 PM - Save Script: Version 12.5.0.3.1012 User oats
9/15/2017 20:48:45 PM - Save Script: Version 12.5.0.3.1012 User oats
9/15/2017 20:58:36 PM - Save Script: Version 12.5.0.3.1012 User oats
9/15/2017 21:03:15 PM - Save Script: Version 12.5.0.3.1012 User oats
9/15/2017 21:11:32 PM - Save Script: Version 12.5.0.3.1012 User oats
9/18/2017 09:18:05 AM - Save Script: Version 12.5.0.3.1012 User oats
9/18/2017 09:18:36 AM - Save Script: Version 12.5.0.3.1012 User oats
9/18/2017 09:21:06 AM - Save Script: Version 12.5.0.3.1012 User oats
9/18/2017 09:30:02 AM - Save Script: Version 12.5.0.3.1012 User oats
9/18/2017 09:31:23 AM - Save Script: Version 12.5.0.3.1012 User oats
9/18/2017 09:31:36 AM - Save Script: Version 12.5.0.3.1012 User oats
9/18/2017 09:37:23 AM - Save Script: Version 12.5.0.3.1012 User oats
9/18/2017 09:43:32 AM - Save Script: Version 12.5.0.3.1012 User oats
9/18/2017 09:44:15 AM - Save Script: Version 12.5.0.3.1012 User oats
9/18/2017 09:45:49 AM - Save Script: Version 12.5.0.3.1012 User oats
9/18/2017 09:46:22 AM - Save Script: Version 12.5.0.3.1012 User oats
9/18/2017 09:46:33 AM - Save Script: Version 12.5.0.3.1012 User oats
9/18/2017 09:47:22 AM - Save Script: Version 12.5.0.3.1012 User oats
9/18/2017 09:51:25 AM - Save Script: Version 12.5.0.3.1012 User oats
9/18/2017 09:53:46 AM - Save Script: Version 12.5.0.3.1012 User oats
9/18/2017 09:53:58 AM - Save Script: Version 12.5.0.3.1012 User oats
9/18/2017 10:03:56 AM - Save Script: Version 12.5.0.3.1012 User oats
9/18/2017 10:04:54 AM - Save Script: Version 12.5.0.3.1012 User oats
9/18/2017 10:16:51 AM - Save Script: Version 12.5.0.3.1012 User oats
9/18/2017 10:31:35 AM - Upgrade Script Results: Successfully upgraded script results.
9/18/2017 10:35:17 AM - Launch Browser: IE version 8.0.7601.17514
9/18/2017 10:38:50 AM - Save Script: Version 12.5.0.3.1012 User oats
9/18/2017 10:39:07 AM - Save Script: Version 12.5.0.3.1012 User oats
9/18/2017 10:43:39 AM - Save Script: Version 12.5.0.3.1012 User oats
9/18/2017 10:57:35 AM - Save Script: Version 12.5.0.3.1012 User oats
9/18/2017 10:57:55 AM - Save Script: Version 12.5.0.3.1012 User oats
9/18/2017 10:59:41 AM - Save Script: Version 12.5.0.3.1012 User oats
9/18/2017 11:02:33 AM - Save Script: Version 12.5.0.3.1012 User oats
9/18/2017 11:04:05 AM - Save Script: Version 12.5.0.3.1012 User oats
9/18/2017 11:11:44 AM - Save Script: Version 12.5.0.3.1012 User oats
9/18/2017 11:12:19 AM - Save Script: Version 12.5.0.3.1012 User oats
9/18/2017 11:13:04 AM - Launch Browser: IE version 8.0.7601.17514
9/18/2017 11:13:45 AM - Save Script: Version 12.5.0.3.1012 User oats
9/18/2017 11:14:08 AM - Save Script: Version 12.5.0.3.1012 User oats
9/18/2017 11:17:14 AM - Save Script: Version 12.5.0.3.1012 User oats
9/18/2017 13:17:18 PM - Save Script: Version 12.5.0.3.1012 User oats
9/18/2017 13:17:37 PM - Save Script: Version 12.5.0.3.1012 User oats
9/18/2017 13:18:11 PM - Save Script: Version 12.5.0.3.1012 User oats
9/18/2017 13:18:20 PM - Save Script: Version 12.5.0.3.1012 User oats
9/18/2017 13:19:01 PM - Save Script: Version 12.5.0.3.1012 User oats
9/18/2017 13:42:45 PM - Save Script: Version 12.5.0.3.1012 User oats
9/18/2017 13:43:40 PM - Save Script: Version 12.5.0.3.1012 User oats
9/18/2017 13:44:47 PM - Save Script: Version 12.5.0.3.1012 User oats
9/18/2017 13:45:24 PM - Save Script: Version 12.5.0.3.1012 User oats
9/18/2017 13:48:13 PM - Save Script: Version 12.5.0.3.1012 User oats
9/18/2017 13:49:04 PM - Save Script: Version 12.5.0.3.1012 User oats
9/18/2017 13:49:24 PM - Save Script: Version 12.5.0.3.1012 User oats
9/18/2017 13:49:58 PM - Save Script: Version 12.5.0.3.1012 User oats
9/18/2017 13:51:35 PM - Save Script: Version 12.5.0.3.1012 User oats
9/18/2017 13:51:51 PM - Save Script: Version 12.5.0.3.1012 User oats
9/18/2017 13:52:40 PM - Save Script: Version 12.5.0.3.1012 User oats
9/18/2017 13:52:53 PM - Save Script: Version 12.5.0.3.1012 User oats
9/18/2017 13:56:16 PM - Save Script: Version 12.5.0.3.1012 User oats
9/18/2017 13:59:03 PM - Upgrade Script Results: Successfully upgraded script results.
9/18/2017 13:59:21 PM - Save Script: Version 12.5.0.3.1012 User oats
9/18/2017 14:38:24 PM - Launch Browser: IE version 8.0.7601.17514
9/18/2017 14:48:18 PM - Save Script: Version 12.5.0.3.1012 User oats
9/18/2017 14:54:55 PM - Launch Browser: IE version 8.0.7601.17514
9/18/2017 15:21:02 PM - Save Script: Version 12.5.0.3.1012 User oats
9/18/2017 15:21:36 PM - Save Script: Version 12.5.0.3.1012 User oats
9/18/2017 15:21:56 PM - Save Script: Version 12.5.0.3.1012 User oats
9/18/2017 15:22:40 PM - Save Script: Version 12.5.0.3.1012 User oats
9/18/2017 15:24:39 PM - Save Script: Version 12.5.0.3.1012 User oats
9/18/2017 15:32:57 PM - Save Script: Version 12.5.0.3.1012 User oats
9/18/2017 15:35:26 PM - Save Script: Version 12.5.0.3.1012 User oats
9/18/2017 15:35:52 PM - Save Script: Version 12.5.0.3.1012 User oats
9/18/2017 15:36:12 PM - Save Script: Version 12.5.0.3.1012 User oats
9/18/2017 15:41:30 PM - Save Script: Version 12.5.0.3.1012 User oats
9/18/2017 15:47:41 PM - Save Script: Version 12.5.0.3.1012 User oats
9/18/2017 15:48:34 PM - Save Script: Version 12.5.0.3.1012 User oats
9/18/2017 15:53:00 PM - Save Script: Version 12.5.0.3.1012 User oats
9/18/2017 15:53:12 PM - Save Script: Version 12.5.0.3.1012 User oats
9/18/2017 16:52:48 PM - Save Script: Version 12.5.0.3.1012 User oats
9/18/2017 16:53:33 PM - Save Script: Version 12.5.0.3.1012 User oats
9/18/2017 17:09:39 PM - Save Script: Version 12.5.0.3.1012 User oats
9/18/2017 17:19:09 PM - Save Script: Version 12.5.0.3.1012 User oats
9/18/2017 17:32:12 PM - Save Script: Version 12.5.0.3.1012 User oats
9/18/2017 17:40:44 PM - Launch Browser: IE version 8.0.7601.17514
9/18/2017 17:48:37 PM - Save Script: Version 12.5.0.3.1012 User oats
9/18/2017 18:49:58 PM - Save Script: Version 12.5.0.3.1012 User oats
9/18/2017 18:52:19 PM - Save Script: Version 12.5.0.3.1012 User oats
