276059,1,APDebitMemoInvoice,10/26/2017 11:12:36 AM,Passed,10/26/2017 11:08:00 AM,basic.step,AP Sceanrios,,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,96070,Passed,"",basic.init,
"Launch Browser: InternetExplorer 10.0.9200.17609",,2048,Passed,"",basic.step,
"Call Function: EBS_Reusable_Methods.login_EBS",,18265,Passed,"",basic.stepGroup,
"Launch Browser: InternetExplorer 10.0.9200.17609",,1488,Passed,"",basic.step,
"Think: 0 (sec).",,32,Passed,"",basic.comment,
"[1] Import Excel",,11305,Passed,"",basic.stepGroup,
"Info",,0,Passed,"Comments: selected environment is ++ ",basic.comment,
"Info",,1,Passed,"Comments: oatsuser",basic.comment,
"Navigate https://erpint.fin.yahoo.com:8000/",2,79,Passed,"",ft.action,
"Think: 10 (sec).",,10024,Passed,"",basic.comment,
"SetText textBox(""@id='usernameField'"") oatsuser",,134,Passed,"",ft.action,
"SetPassword textBox(""@id='passwordField'"") ******",,37,Passed,"",ft.action,
"Click button(""@index='0'"")",,107,Passed,"",ft.action,
"WaitForPage https://erpint.fin.yahoo.com:8000/OA_HTML/AppsLocalLogin.jsp",,417,Passed,"",web.pageComplete,
"Call Function: EBS_Reusable_Methods.expand_NodeFromList",,42016,Passed,"",basic.stepGroup,
"Think: 0 (sec).",,22,Passed,"",basic.comment,
"[3] Expand Node from the List",,391,Passed,"",basic.stepGroup,
"Click element(""@text='System Administrator'"")",,301,Passed,"",ft.action,
"Think: 0 (sec).",,16,Passed,"",basic.comment,
"[3] Expand Node from the List",,2376,Passed,"",basic.stepGroup,
"Click element(""@text='Concurrent'"")",,2318,Passed,"",ft.action,
"Think: 0 (sec).",,20,Passed,"",basic.comment,
"[4] Click on the link under the Node",,873,Passed,"",basic.stepGroup,
"WaitForPage https://erpint.fin.yahoo.com:8000/OA_HTML/OA.jsp?OAFunc=OAHOMEPAGE#dummyAnchor",,410,Passed,"",web.pageComplete,
"Frame (URL=https://erpint.fin.yahoo.com:8000/OA_HTML/cabo/images/skyros/t.htm)",,0,Passed,"",web.frame,
"Frame (URL=https://erpint.fin.yahoo.com:8000/OA_HTML/blank.html)",,0,Passed,"",web.frame,
"Click element(""@text='Requests'"")",,295,Passed,"",ft.action,
"Close window(""@name='JOBS_QF'"")",,23099,Passed,"",ft.action,
"Activate window(""@name='NAVIGATOR'"")",,12,Passed,"",ft.action,
"Think: 10 (sec).",,9913,Passed,"",basic.comment,
"Iteration Total (sec)",,179615,Passed,"",basic.iteration,
"Info",,1,Passed,"Comments: -200",basic.comment,
"Call Function: EBS_Reusable_Methods.generateUniqueData",,23,Passed,"",basic.stepGroup,
"Call Function: EBS_Reusable_Methods.SwitchResponsibility",,10213,Passed,"",basic.stepGroup,
"ClickToolbarButton window(""@name='NAVIGATOR'"") Switch Responsibility...",,879,Passed,"",ft.action,
"Think: 2 (sec).",,2023,Passed,"",basic.comment,
"Find listOfValues(""forms:listOfValues"") Payables Manager",,1163,Passed,"",ft.action,
"SelectItem treeList(""@name='NAVIGATOR_LIST_0'"") Invoices",,730,Passed,"",ft.action,
"Call Function: EBS_Reusable_Methods.selecttreelist",,825,Passed,"",basic.stepGroup,
"FocusItem treeList(""@name='NAVIGATOR_LIST_0'"") Invoices|Entry",,164,Passed,"",ft.action,
"SelectItem treeList(""@name='NAVIGATOR_LIST_0'"") Invoices|Entry",,557,Passed,"",ft.action,
"Call Function: EBS_Reusable_Methods.selecttreelist",,2304,Passed,"",basic.stepGroup,
"FocusItem treeList(""@name='NAVIGATOR_LIST_0'"") Invoices|Entry|Invoice Batches",,170,Passed,"",ft.action,
"SelectItem treeList(""@name='NAVIGATOR_LIST_0'"") Invoices|Entry|Invoice Batches",,2045,Passed,"",ft.action,
"SetText textField(""@name='BAT_SUM_FOLDER_BATCH_NAME_0'"") OATS-936",,186,Passed,"",ft.action,
"Click button(""@name='BAT_CONTROL_BLOCK_INVOICE_0'"")",,2855,Passed,"",ft.action,
"Call Function: EBS_Reusable_Methods.generateUniqueData",,19,Passed,"",basic.stepGroup,
"Call Function: EBS_Reusable_Methods.getDateTimeFormat",,87,Passed,"",basic.stepGroup,
"Info",,0,Passed,"Comments: insside getDateTimeFormat",basic.comment,
"Info",,0,Passed,"Comments: 26-Oct-2017",basic.comment,
"SetText textField(""@name='INV_SUM_FOLDER_INVOICE_TYPE_0'"") Debit Memo",,1222,Passed,"",ft.action,
"InvokeSoftKey textField(""@name='INV_SUM_FOLDER_INVOICE_TYPE_0'"")",,1365,Passed,"",ft.action,
"ClickButton choiceBox(""forms:choiceBox"") OK",,595,Passed,"",ft.action,
"SetText textField(""@name='INV_SUM_FOLDER_VENDOR_NAME_0'"") Approved Networks",,1123,Passed,"",ft.action,
"InvokeSoftKey textField(""@name='INV_SUM_FOLDER_VENDOR_NAME_0'"")",,1830,Passed,"",ft.action,
"Click textField(""@name='INV_SUM_FOLDER_INVOICE_DATE_0'"") ",,1067,Passed,"",ft.action,
"SetText textField(""@name='INV_SUM_FOLDER_INVOICE_DATE_0'"") 26-Oct-2017",,684,Passed,"",ft.action,
"InvokeSoftKey textField(""@name='INV_SUM_FOLDER_INVOICE_DATE_0'"")",,2154,Passed,"",ft.action,
"SetText textField(""@name='INV_SUM_FOLDER_INVOICE_NUM_0'"") INVDM-953",,168,Passed,"",ft.action,
"SetText textField(""@name='INV_SUM_FOLDER_INVOICE_AMOUNT_DSP_0'"") -200",,765,Passed,"",ft.action,
"InvokeSoftKey textField(""@name='INV_SUM_FOLDER_INVOICE_AMOUNT_DSP_0'"")",,774,Passed,"",ft.action,
"SetText textField(""@name='INV_SUM_FOLDER_IBY_PAYMENT_METHOD_0'"") Check",,30379,Passed,"",ft.action,
"InvokeSoftKey textField(""@name='INV_SUM_FOLDER_IBY_PAYMENT_METHOD_0'"")",,11625,Passed,"",ft.action,
"SelectItem tab(""@name='TAB_INVOICE_SUM_REGIONS'"") 2 Lines",,20534,Passed,"",ft.action,
"Think: 5 (sec).",,5019,Passed,"",basic.comment,
"Click textField(""@name='LINE_SUM_FOLDER_AMOUNT_DISP_0'"") ",,1091,Passed,"",ft.action,
"SetText textField(""@name='LINE_SUM_FOLDER_AMOUNT_DISP_0'"") -200",,182,Passed,"",ft.action,
"InvokeSoftKey textField(""@name='LINE_SUM_FOLDER_AMOUNT_DISP_0'"")",,727,Passed,"",ft.action,
"Click button(""@name='LINE_SUM_CONTROL_DISTRIBUTIONS_0'"")",,5576,Passed,"",ft.action,
"SetText textField(""@name='D_SUM_FOLDER_AMOUNT_0'"") -200",,874,Passed,"",ft.action,
"InvokeSoftKey textField(""@name='D_SUM_FOLDER_AMOUNT_0'"")",,873,Passed,"",ft.action,
"SetText textField(""@name='D_SUM_FOLDER_DIST_CODE_COMBINATION_DISP_0'"") 110-100120-1010-0000-000-000000-000-0000",,1304,Passed,"",ft.action,
"InvokeSoftKey textField(""@name='D_SUM_FOLDER_DIST_CODE_COMBINATION_DISP_0'"")",,1268,Passed,"",ft.action,
