220360,1,APDebitMemoInvoice,9/18/2017 15:52:20 PM,Passed,9/18/2017 15:48:40 PM,basic.step,FA Sceanrios,,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,113658,Passed,"",basic.init,
"Launch Browser: InternetExplorer 8.0.7601.17514",,1976,Passed,"",basic.step,
"Call Function: EBS_Reusable_Methods.login_EBS",,25011,Passed,"",basic.stepGroup,
"Launch Browser: InternetExplorer 8.0.7601.17514",,1543,Passed,"",basic.step,
"Think: 0 (sec).",,26,Passed,"",basic.comment,
"[1] Import Excel",,17696,Passed,"",basic.stepGroup,
"Info",,1,Passed,"Comments: selected environment is ++ ",basic.comment,
"Info",,0,Passed,"Comments: oatsuser",basic.comment,
"Navigate https://erpptp1.fin.yahoo.com:8000/",2,83,Passed,"",ft.action,
"Think: 10 (sec).",,10443,Passed,"",basic.comment,
"Click link(""@text='Continue to this website (not recommended).'"")",,235,Passed,"",ft.action,
"WaitForPage res://ieframe.dll/invalidcert.htm?SSLError=67108864#https://erpptp1.fin.yahoo.com:8000/",,407,Passed,"",web.pageComplete,
"SetText textBox(""@id='usernameField'"") oatsuser",,5362,Passed,"",ft.action,
"SetPassword textBox(""@id='passwordField'"") ******",,38,Passed,"",ft.action,
"Click button(""@index='0'"")",,171,Passed,"",ft.action,
"WaitForPage https://erpptp1.fin.yahoo.com:8000/OA_HTML/AppsLocalLogin.jsp",,373,Passed,"",web.pageComplete,
"Call Function: EBS_Reusable_Methods.expand_NodeFromList",,42530,Passed,"",basic.stepGroup,
"Think: 0 (sec).",,29,Passed,"",basic.comment,
"[3] Expand Node from the List",,1189,Passed,"",basic.stepGroup,
"Click element(""@text='System Administrator'"")",,1142,Passed,"",ft.action,
"Think: 0 (sec).",,25,Passed,"",basic.comment,
"[3] Expand Node from the List",,2137,Passed,"",basic.stepGroup,
"Click element(""@text='Concurrent'"")",,2078,Passed,"",ft.action,
"Think: 0 (sec).",,20,Passed,"",basic.comment,
"[4] Click on the link under the Node",,1281,Passed,"",basic.stepGroup,
"WaitForPage https://erpptp1.fin.yahoo.com:8000/OA_HTML/OA.jsp?OAFunc=OAHOMEPAGE#dummyAnchor",,413,Passed,"",web.pageComplete,
"Frame (URL=https://erpptp1.fin.yahoo.com:8000/OA_HTML/cabo/images/skyros/t.htm)",,0,Passed,"",web.frame,
"Frame (URL=https://erpptp1.fin.yahoo.com:8000/OA_HTML/blank.html)",,0,Passed,"",web.frame,
"Click element(""@text='Requests'"")",,597,Passed,"",ft.action,
"Close window(""@name='JOBS_QF'"")",,33422,Passed,"",ft.action,
