334550,1,APDebitMemoInvoice,9/18/2017 17:00:38 PM,Failed,9/18/2017 16:55:03 PM,basic.step,FA Sceanrios,,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,116323,Passed,"",basic.init,
"Launch Browser: InternetExplorer 8.0.7601.17514",,1957,Passed,"",basic.step,
"Call Function: EBS_Reusable_Methods.login_EBS",,25382,Passed,"",basic.stepGroup,
"Launch Browser: InternetExplorer 8.0.7601.17514",,1668,Passed,"",basic.step,
"Think: 0 (sec).",,27,Passed,"",basic.comment,
"[1] Import Excel",,18282,Passed,"",basic.stepGroup,
"Info",,2,Passed,"Comments: selected environment is ++ ",basic.comment,
"Info",,0,Passed,"Comments: oatsuser",basic.comment,
"Navigate https://erpptp1.fin.yahoo.com:8000/",2,72,Passed,"",ft.action,
"Think: 10 (sec).",,10880,Passed,"",basic.comment,
"Click link(""@text='Continue to this website (not recommended).'"")",,257,Passed,"",ft.action,
"WaitForPage res://ieframe.dll/invalidcert.htm?SSLError=67108864#https://erpptp1.fin.yahoo.com:8000/",,445,Passed,"",web.pageComplete,
"SetText textBox(""@id='usernameField'"") oatsuser",,5444,Passed,"",ft.action,
"SetPassword textBox(""@id='passwordField'"") ******",,43,Passed,"",ft.action,
"Click button(""@index='0'"")",,182,Passed,"",ft.action,
"WaitForPage https://erpptp1.fin.yahoo.com:8000/OA_HTML/AppsLocalLogin.jsp",,363,Passed,"",web.pageComplete,
"Call Function: EBS_Reusable_Methods.expand_NodeFromList",,43155,Passed,"",basic.stepGroup,
"Think: 0 (sec).",,15,Passed,"",basic.comment,
"[3] Expand Node from the List",,1152,Passed,"",basic.stepGroup,
"Click element(""@text='System Administrator'"")",,1103,Passed,"",ft.action,
"Think: 0 (sec).",,21,Passed,"",basic.comment,
"[3] Expand Node from the List",,3109,Passed,"",basic.stepGroup,
"Click element(""@text='Concurrent'"")",,3010,Passed,"",ft.action,
"Think: 0 (sec).",,17,Passed,"",basic.comment,
"[4] Click on the link under the Node",,1160,Passed,"",basic.stepGroup,
"WaitForPage https://erpptp1.fin.yahoo.com:8000/OA_HTML/OA.jsp?OAFunc=OAHOMEPAGE#dummyAnchor",,405,Passed,"",web.pageComplete,
"Frame (URL=https://erpptp1.fin.yahoo.com:8000/OA_HTML/cabo/images/skyros/t.htm)",,0,Passed,"",web.frame,
"Frame (URL=https://erpptp1.fin.yahoo.com:8000/OA_HTML/blank.html)",,0,Passed,"",web.frame,
"Click element(""@text='Requests'"")",,487,Passed,"",ft.action,
"Close window(""@name='JOBS_QF'"")",,35138,Passed,"",ft.action,
"Activate window(""@name='NAVIGATOR'"")",,42,Passed,"",ft.action,
"Think: 10 (sec).",,10021,Passed,"",basic.comment,
"Iteration Total (sec)",,217828,Failed,"",basic.iteration,
"Call Function: EBS_Reusable_Methods.generateUniqueData",,20,Passed,"",basic.stepGroup,
"Call Function: EBS_Reusable_Methods.SwitchResponsibility",,11388,Passed,"",basic.stepGroup,
"ClickToolbarButton window(""@name='NAVIGATOR'"") Switch Responsibility...",,1367,Passed,"",ft.action,
"Think: 2 (sec).",,2017,Passed,"",basic.comment,
"Find listOfValues(""forms:listOfValues"") Payables Manager",,1869,Passed,"",ft.action,
"SelectItem treeList(""@name='NAVIGATOR_LIST_0'"") Invoices",,1415,Passed,"",ft.action,
"Call Function: EBS_Reusable_Methods.selecttreelist",,1544,Passed,"",basic.stepGroup,
"FocusItem treeList(""@name='NAVIGATOR_LIST_0'"") Invoices|Entry",,312,Passed,"",ft.action,
"SelectItem treeList(""@name='NAVIGATOR_LIST_0'"") Invoices|Entry",,1133,Passed,"",ft.action,
"Call Function: EBS_Reusable_Methods.selecttreelist",,3523,Passed,"",basic.stepGroup,
"FocusItem treeList(""@name='NAVIGATOR_LIST_0'"") Invoices|Entry|Invoice Batches",,371,Passed,"",ft.action,
"SelectItem treeList(""@name='NAVIGATOR_LIST_0'"") Invoices|Entry|Invoice Batches",,3066,Passed,"",ft.action,
"SetText textField(""@name='BAT_SUM_FOLDER_BATCH_NAME_0'"") OATS-5659",,190,Passed,"",ft.action,
"Click button(""@name='BAT_CONTROL_BLOCK_INVOICE_0'"")",,3793,Passed,"",ft.action,
"Call Function: EBS_Reusable_Methods.generateUniqueData",,20,Passed,"",basic.stepGroup,
"Call Function: EBS_Reusable_Methods.getDateTimeFormat",,81,Passed,"",basic.stepGroup,
"Info",,0,Passed,"Comments: insside getDateTimeFormat",basic.comment,
"Info",,1,Passed,"Comments: 18-Sep-2017",basic.comment,
"SetText textField(""@name='INV_SUM_FOLDER_INVOICE_TYPE_0'"") Debit Memo",,1543,Passed,"",ft.action,
"InvokeSoftKey textField(""@name='INV_SUM_FOLDER_INVOICE_TYPE_0'"")",,1902,Passed,"",ft.action,
"ClickButton choiceBox(""forms:choiceBox"") OK",,844,Passed,"",ft.action,
"SetText textField(""@name='INV_SUM_FOLDER_VENDOR_NAME_0'"") Approved Networks",,1547,Passed,"",ft.action,
