316183,1,APDebitMemoInvoice,9/18/2017 17:54:29 PM,Passed,9/18/2017 17:49:12 PM,basic.step,FA Sceanrios,,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,113895,Passed,"",basic.init,
"Launch Browser: InternetExplorer 8.0.7601.17514",,2016,Passed,"",basic.step,
"Call Function: EBS_Reusable_Methods.login_EBS",,22954,Passed,"",basic.stepGroup,
"Launch Browser: InternetExplorer 8.0.7601.17514",,1351,Passed,"",basic.step,
"Think: 0 (sec).",,29,Passed,"",basic.comment,
"[1] Import Excel",,16208,Passed,"",basic.stepGroup,
"Info",,0,Passed,"Comments: selected environment is ++ ",basic.comment,
"Info",,0,Passed,"Comments: oatsuser",basic.comment,
"Navigate https://erpptp1.fin.yahoo.com:8000/",2,76,Passed,"",ft.action,
"Think: 10 (sec).",,9097,Passed,"",basic.comment,
"Click link(""@text='Continue to this website (not recommended).'"")",,255,Passed,"",ft.action,
"WaitForPage res://ieframe.dll/invalidcert.htm?SSLError=67108864#https://erpptp1.fin.yahoo.com:8000/",,361,Passed,"",web.pageComplete,
"SetText textBox(""@id='usernameField'"") oatsuser",,5224,Passed,"",ft.action,
"SetPassword textBox(""@id='passwordField'"") ******",,42,Passed,"",ft.action,
"Click button(""@index='0'"")",,182,Passed,"",ft.action,
"WaitForPage https://erpptp1.fin.yahoo.com:8000/OA_HTML/AppsLocalLogin.jsp",,390,Passed,"",web.pageComplete,
"Call Function: EBS_Reusable_Methods.expand_NodeFromList",,43718,Passed,"",basic.stepGroup,
"Think: 0 (sec).",,17,Passed,"",basic.comment,
"[3] Expand Node from the List",,1088,Passed,"",basic.stepGroup,
"Click element(""@text='System Administrator'"")",,1045,Passed,"",ft.action,
"Think: 0 (sec).",,21,Passed,"",basic.comment,
"[3] Expand Node from the List",,2783,Passed,"",basic.stepGroup,
"Click element(""@text='Concurrent'"")",,2694,Passed,"",ft.action,
"Think: 0 (sec).",,16,Passed,"",basic.comment,
"[4] Click on the link under the Node",,1175,Passed,"",basic.stepGroup,
"WaitForPage https://erpptp1.fin.yahoo.com:8000/OA_HTML/OA.jsp?OAFunc=OAHOMEPAGE#dummyAnchor",,370,Passed,"",web.pageComplete,
"Frame (URL=https://erpptp1.fin.yahoo.com:8000/OA_HTML/cabo/images/skyros/t.htm)",,0,Passed,"",web.frame,
"Frame (URL=https://erpptp1.fin.yahoo.com:8000/OA_HTML/blank.html)",,0,Passed,"",web.frame,
"Click element(""@text='Requests'"")",,543,Passed,"",ft.action,
"Close window(""@name='JOBS_QF'"")",,34455,Passed,"",ft.action,
"Activate window(""@name='NAVIGATOR'"")",,40,Passed,"",ft.action,
"Think: 10 (sec).",,10037,Passed,"",basic.comment,
"Iteration Total (sec)",,201869,Passed,"",basic.iteration,
"Call Function: EBS_Reusable_Methods.generateUniqueData",,20,Passed,"",basic.stepGroup,
"Call Function: EBS_Reusable_Methods.SwitchResponsibility",,11545,Passed,"",basic.stepGroup,
"ClickToolbarButton window(""@name='NAVIGATOR'"") Switch Responsibility...",,1446,Passed,"",ft.action,
"Think: 2 (sec).",,2032,Passed,"",basic.comment,
"Find listOfValues(""forms:listOfValues"") Payables Manager",,1934,Passed,"",ft.action,
"SelectItem treeList(""@name='NAVIGATOR_LIST_0'"") Invoices",,1408,Passed,"",ft.action,
"Call Function: EBS_Reusable_Methods.selecttreelist",,1523,Passed,"",basic.stepGroup,
"FocusItem treeList(""@name='NAVIGATOR_LIST_0'"") Invoices|Entry",,304,Passed,"",ft.action,
"SelectItem treeList(""@name='NAVIGATOR_LIST_0'"") Invoices|Entry",,1118,Passed,"",ft.action,
"Call Function: EBS_Reusable_Methods.selecttreelist",,3462,Passed,"",basic.stepGroup,
"FocusItem treeList(""@name='NAVIGATOR_LIST_0'"") Invoices|Entry|Invoice Batches",,323,Passed,"",ft.action,
"SelectItem treeList(""@name='NAVIGATOR_LIST_0'"") Invoices|Entry|Invoice Batches",,3047,Passed,"",ft.action,
"SetText textField(""@name='BAT_SUM_FOLDER_BATCH_NAME_0'"") OATS-516",,193,Passed,"",ft.action,
"Click button(""@name='BAT_CONTROL_BLOCK_INVOICE_0'"")",,3524,Passed,"",ft.action,
"Call Function: EBS_Reusable_Methods.generateUniqueData",,18,Passed,"",basic.stepGroup,
"Call Function: EBS_Reusable_Methods.getDateTimeFormat",,85,Passed,"",basic.stepGroup,
"Info",,0,Passed,"Comments: insside getDateTimeFormat",basic.comment,
"Info",,0,Passed,"Comments: 18-Sep-2017",basic.comment,
"SetText textField(""@name='INV_SUM_FOLDER_INVOICE_TYPE_0'"") Debit Memo",,1558,Passed,"",ft.action,
"InvokeSoftKey textField(""@name='INV_SUM_FOLDER_INVOICE_TYPE_0'"")",,1881,Passed,"",ft.action,
"ClickButton choiceBox(""forms:choiceBox"") OK",,834,Passed,"",ft.action,
"SetText textField(""@name='INV_SUM_FOLDER_VENDOR_NAME_0'"") Approved Networks",,1522,Passed,"",ft.action,
"InvokeSoftKey textField(""@name='INV_SUM_FOLDER_VENDOR_NAME_0'"")",,3703,Passed,"",ft.action,
"Click textField(""@name='INV_SUM_FOLDER_INVOICE_DATE_0'"") ",,1444,Passed,"",ft.action,
"SetText textField(""@name='INV_SUM_FOLDER_INVOICE_DATE_0'"") 18-Sep-2017",,1066,Passed,"",ft.action,
"InvokeSoftKey textField(""@name='INV_SUM_FOLDER_INVOICE_DATE_0'"")",,2173,Passed,"",ft.action,
"SetText textField(""@name='INV_SUM_FOLDER_INVOICE_NUM_0'"") INVDM-5128",,239,Passed,"",ft.action,
"SetText textField(""@name='INV_SUM_FOLDER_INVOICE_AMOUNT_DSP_0'"") -10",,984,Passed,"",ft.action,
"InvokeSoftKey textField(""@name='INV_SUM_FOLDER_INVOICE_AMOUNT_DSP_0'"")",,1120,Passed,"",ft.action,
"SetText textField(""@name='INV_SUM_FOLDER_IBY_PAYMENT_METHOD_0'"") Check",,1584,Passed,"",ft.action,
"InvokeSoftKey textField(""@name='INV_SUM_FOLDER_IBY_PAYMENT_METHOD_0'"")",,1580,Passed,"",ft.action,
"SelectItem tab(""@name='TAB_INVOICE_SUM_REGIONS'"") 2 Lines",,20658,Passed,"",ft.action,
"Click textField(""@name='LINE_SUM_FOLDER_AMOUNT_DISP_0'"") ",,1508,Passed,"",ft.action,
"SetText textField(""@name='LINE_SUM_FOLDER_AMOUNT_DISP_0'"") -10",,239,Passed,"",ft.action,
"InvokeSoftKey textField(""@name='LINE_SUM_FOLDER_AMOUNT_DISP_0'"")",,1045,Passed,"",ft.action,
"Click button(""@name='LINE_SUM_CONTROL_DISTRIBUTIONS_0'"")",,7276,Passed,"",ft.action,
"SetText textField(""@name='D_SUM_FOLDER_AMOUNT_0'"") -10",,1052,Passed,"",ft.action,
"InvokeSoftKey textField(""@name='D_SUM_FOLDER_AMOUNT_0'"")",,1320,Passed,"",ft.action,
"SetText textField(""@name='D_SUM_FOLDER_DIST_CODE_COMBINATION_DISP_0'"") 110-100120-1010-0000-000-000000-000-0000",,1736,Passed,"",ft.action,
"InvokeSoftKey textField(""@name='D_SUM_FOLDER_DIST_CODE_COMBINATION_DISP_0'"")",,3471,Passed,"",ft.action,
"Call Function: EBS_Reusable_Methods.GetText",,239,Passed,"",basic.stepGroup,
"Info",,0,Passed,"Comments: Text: 110-100120-1010-0000-000-000000-000-0000",basic.comment,
"Info",,1,Passed,"Comments: distribution acctnumber is 110-100120-1010-0000-000-000000-000-0000",basic.comment,
"ClickToolbarButton window(""@name='DIST_SUMMARY'"") Save",,7644,Passed,"",ft.action,
"Close window(""@name='DIST_SUMMARY'"")",,1677,Passed,"",ft.action,
"Click button(""@name='INV_SUM_CONTROL_ACTIONS_0'"")",,3630,Passed,"",ft.action,
"Check checkBox(""@name='INV_SUM_ACTIONS_APPROVE_0'"") true",,1203,Passed,"",ft.action,
"Click button(""@name='INV_SUM_ACTIONS_OK_BUTTON_0'"")",,20174,Passed,"",ft.action,
"Think: 10 (sec).",,10018,Passed,"",basic.comment,
"Call Function: EBS_Reusable_Methods.GetText",,224,Passed,"",basic.stepGroup,
"Info",,0,Passed,"Comments: Text: Validated",basic.comment,
"Reported Pass",,0,Passed,"Comments: Invoice gotValidated",basic.comment,
"Click button(""@name='INV_SUM_CONTROL_ACTIONS_0'"")",,3367,Passed,"",ft.action,
"Think: 10 (sec).",,10019,Passed,"",basic.comment,
"Check checkBox(""@name='INV_SUM_ACTIONS_CREATE_ACCOUNTING_0'"") true",,1149,Passed,"",ft.action,
"SelectItem radioGroup(""@name='INV_SUM_ACTIONS_ACCOUNTING_DETAILS_FINAL_POST_0'"")",,1644,Passed,"",ft.action,
"Click button(""@name='INV_SUM_ACTIONS_OK_BUTTON_0'"")",,50176,Passed,"",ft.action,
"ClickButton choiceBox(""forms:choiceBox"") OK",,7789,Passed,"",ft.action,
"Call Function: EBS_Reusable_Methods.GetText",,245,Passed,"",basic.stepGroup,
"Info",,0,Passed,"Comments: Text: Yes",basic.comment,
"Info",,0,Passed,"Comments: Yes",basic.comment,
"Finish Total (sec)",,30,Passed,"",basic.finish,
