339664,1,APInvManualHold&Release,9/25/2017 15:07:39 PM,Passed,9/25/2017 15:01:59 PM,basic.step,AP Sceanrios,,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,104873,Passed,"",basic.init,
"Launch Browser: InternetExplorer 8.0.7601.17514",,3400,Passed,"",basic.step,
"Call Function: EBS_Reusable_Methods.login_EBS",,23150,Passed,"",basic.stepGroup,
"Launch Browser: InternetExplorer 8.0.7601.17514",,1434,Passed,"",basic.step,
"Think: 0 (sec).",,33,Passed,"",basic.comment,
"[1] Import Excel",,16238,Passed,"",basic.stepGroup,
"Info",,2,Passed,"Comments: selected environment is ++ ",basic.comment,
"Info",,0,Passed,"Comments: oatsuser",basic.comment,
"Navigate https://erpptp1.fin.yahoo.com:8000/",2,70,Passed,"",ft.action,
"Think: 10 (sec).",,10022,Passed,"",basic.comment,
"Click link(""@text='Continue to this website (not recommended).'"")",,259,Passed,"",ft.action,
"WaitForPage res://ieframe.dll/invalidcert.htm?SSLError=67108864#https://erpptp1.fin.yahoo.com:8000/",,464,Passed,"",web.pageComplete,
"SetText textBox(""@id='usernameField'"") oatsuser",,4149,Passed,"",ft.action,
"SetPassword textBox(""@id='passwordField'"") ******",,54,Passed,"",ft.action,
"Click button(""@index='0'"")",,181,Passed,"",ft.action,
"WaitForPage https://erpptp1.fin.yahoo.com:8000/OA_HTML/AppsLocalLogin.jsp",,371,Passed,"",web.pageComplete,
"Call Function: EBS_Reusable_Methods.expand_NodeFromList",,45165,Passed,"",basic.stepGroup,
"Think: 0 (sec).",,22,Passed,"",basic.comment,
"[3] Expand Node from the List",,1237,Passed,"",basic.stepGroup,
"Click element(""@text='System Administrator'"")",,1194,Passed,"",ft.action,
"Think: 0 (sec).",,45,Passed,"",basic.comment,
"[3] Expand Node from the List",,4038,Passed,"",basic.stepGroup,
"Click element(""@text='Concurrent'"")",,3974,Passed,"",ft.action,
"Think: 0 (sec).",,19,Passed,"",basic.comment,
"[4] Click on the link under the Node",,1318,Passed,"",basic.stepGroup,
"WaitForPage https://erpptp1.fin.yahoo.com:8000/OA_HTML/OA.jsp?OAFunc=OAHOMEPAGE#dummyAnchor",,437,Passed,"",web.pageComplete,
