278581,1,APInvManualHold&Release,10/26/2017 11:50:02 AM,Passed,10/26/2017 11:45:23 AM,basic.step,AP Sceanrios,,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,94149,Passed,"",basic.init,
"Launch Browser: InternetExplorer 10.0.9200.17609",,1400,Passed,"",basic.step,
"Call Function: EBS_Reusable_Methods.login_EBS",,18292,Passed,"",basic.stepGroup,
"Launch Browser: InternetExplorer 10.0.9200.17609",,1483,Passed,"",basic.step,
"Think: 0 (sec).",,41,Passed,"",basic.comment,
"[1] Import Excel",,11325,Passed,"",basic.stepGroup,
"Info",,1,Passed,"Comments: selected environment is ++ ",basic.comment,
"Info",,0,Passed,"Comments: oatsuser",basic.comment,
"Navigate https://erpint.fin.yahoo.com:8000/",2,116,Passed,"",ft.action,
"Think: 10 (sec).",,10024,Passed,"",basic.comment,
"SetText textBox(""@id='usernameField'"") oatsuser",,137,Passed,"",ft.action,
"SetPassword textBox(""@id='passwordField'"") ******",,31,Passed,"",ft.action,
"Click button(""@index='0'"")",,106,Passed,"",ft.action,
"WaitForPage https://erpint.fin.yahoo.com:8000/OA_HTML/AppsLocalLogin.jsp",,431,Passed,"",web.pageComplete,
"Call Function: EBS_Reusable_Methods.expand_NodeFromList",,42237,Passed,"",basic.stepGroup,
"Think: 0 (sec).",,23,Passed,"",basic.comment,
"[3] Expand Node from the List",,408,Passed,"",basic.stepGroup,
"Click element(""@text='System Administrator'"")",,345,Passed,"",ft.action,
"Think: 0 (sec).",,21,Passed,"",basic.comment,
"[3] Expand Node from the List",,2469,Passed,"",basic.stepGroup,
"Click element(""@text='Concurrent'"")",,2407,Passed,"",ft.action,
"Think: 0 (sec).",,19,Passed,"",basic.comment,
"[4] Click on the link under the Node",,917,Passed,"",basic.stepGroup,
"WaitForPage https://erpint.fin.yahoo.com:8000/OA_HTML/OA.jsp?OAFunc=OAHOMEPAGE#dummyAnchor",,429,Passed,"",web.pageComplete,
"Frame (URL=https://erpint.fin.yahoo.com:8000/OA_HTML/cabo/images/skyros/t.htm)",,0,Passed,"",web.frame,
"Frame (URL=https://erpint.fin.yahoo.com:8000/OA_HTML/blank.html)",,0,Passed,"",web.frame,
"Click element(""@text='Requests'"")",,299,Passed,"",ft.action,
"Close window(""@name='JOBS_QF'"")",,21474,Passed,"",ft.action,
"Activate window(""@name='NAVIGATOR'"")",,16,Passed,"",ft.action,
"Think: 10 (sec).",,10034,Passed,"",basic.comment,
"Iteration Total (sec)",,184025,Passed,"",basic.iteration,
"Call Function: EBS_Reusable_Methods.generateUniqueData",,18,Passed,"",basic.stepGroup,
"Call Function: EBS_Reusable_Methods.SwitchResponsibility",,10261,Passed,"",basic.stepGroup,
"ClickToolbarButton window(""@name='NAVIGATOR'"") Switch Responsibility...",,854,Passed,"",ft.action,
"Think: 2 (sec).",,2018,Passed,"",basic.comment,
"Find listOfValues(""forms:listOfValues"") Payables Manager",,1251,Passed,"",ft.action,
"SelectItem treeList(""@name='NAVIGATOR_LIST_0'"") Invoices",,771,Passed,"",ft.action,
"Call Function: EBS_Reusable_Methods.selecttreelist",,890,Passed,"",basic.stepGroup,
"FocusItem treeList(""@name='NAVIGATOR_LIST_0'"") Invoices|Entry",,159,Passed,"",ft.action,
"SelectItem treeList(""@name='NAVIGATOR_LIST_0'"") Invoices|Entry",,631,Passed,"",ft.action,
"Call Function: EBS_Reusable_Methods.selecttreelist",,2577,Passed,"",basic.stepGroup,
"FocusItem treeList(""@name='NAVIGATOR_LIST_0'"") Invoices|Entry|Invoice Batches",,165,Passed,"",ft.action,
"SelectItem treeList(""@name='NAVIGATOR_LIST_0'"") Invoices|Entry|Invoice Batches",,2313,Passed,"",ft.action,
"SetText textField(""@name='BAT_SUM_FOLDER_BATCH_NAME_0'"") OATS-4657",,170,Passed,"",ft.action,
"Click button(""@name='BAT_CONTROL_BLOCK_INVOICE_0'"")",,2869,Passed,"",ft.action,
"Call Function: EBS_Reusable_Methods.generateUniqueData",,23,Passed,"",basic.stepGroup,
"Call Function: EBS_Reusable_Methods.getDateTimeFormat",,103,Passed,"",basic.stepGroup,
"Info",,0,Passed,"Comments: insside getDateTimeFormat",basic.comment,
"Info",,0,Passed,"Comments: 26-Oct-2017",basic.comment,
"InvokeSoftKey textField(""@name='INV_SUM_FOLDER_INVOICE_TYPE_0'"")",,1388,Passed,"",ft.action,
"SetText textField(""@name='INV_SUM_FOLDER_VENDOR_NAME_0'"") Approved Networks",,1210,Passed,"",ft.action,
"InvokeSoftKey textField(""@name='INV_SUM_FOLDER_VENDOR_NAME_0'"")",,1748,Passed,"",ft.action,
"Click textField(""@name='INV_SUM_FOLDER_INVOICE_DATE_0'"") ",,1075,Passed,"",ft.action,
"SetText textField(""@name='INV_SUM_FOLDER_INVOICE_DATE_0'"") 26-Oct-2017",,741,Passed,"",ft.action,
"InvokeSoftKey textField(""@name='INV_SUM_FOLDER_INVOICE_DATE_0'"")",,2174,Passed,"",ft.action,
"SetText textField(""@name='INV_SUM_FOLDER_INVOICE_NUM_0'"") INVHOLD-4715",,175,Passed,"",ft.action,
"SetText textField(""@name='INV_SUM_FOLDER_INVOICE_AMOUNT_DSP_0'"") 50",,774,Passed,"",ft.action,
"InvokeSoftKey textField(""@name='INV_SUM_FOLDER_INVOICE_AMOUNT_DSP_0'"")",,822,Passed,"",ft.action,
"SetText textField(""@name='INV_SUM_FOLDER_IBY_PAYMENT_METHOD_0'"") Check",,1218,Passed,"",ft.action,
"InvokeSoftKey textField(""@name='INV_SUM_FOLDER_IBY_PAYMENT_METHOD_0'"")",,1101,Passed,"",ft.action,
"SelectItem tab(""@name='TAB_INVOICE_SUM_REGIONS'"") 2 Lines",,20561,Passed,"",ft.action,
"Click textField(""@name='LINE_SUM_FOLDER_AMOUNT_DISP_0'"") ",,1134,Passed,"",ft.action,
"SetText textField(""@name='LINE_SUM_FOLDER_AMOUNT_DISP_0'"") 50",,181,Passed,"",ft.action,
"InvokeSoftKey textField(""@name='LINE_SUM_FOLDER_AMOUNT_DISP_0'"")",,727,Passed,"",ft.action,
"Click button(""@name='LINE_SUM_CONTROL_DISTRIBUTIONS_0'"")",,5600,Passed,"",ft.action,
"SetText textField(""@name='D_SUM_FOLDER_AMOUNT_0'"") 50",,896,Passed,"",ft.action,
"InvokeSoftKey textField(""@name='D_SUM_FOLDER_AMOUNT_0'"")",,985,Passed,"",ft.action,
"SetText textField(""@name='D_SUM_FOLDER_DIST_CODE_COMBINATION_DISP_0'"") 110-100120-1010-0000-000-000000-000-0000",,1336,Passed,"",ft.action,
"InvokeSoftKey textField(""@name='D_SUM_FOLDER_DIST_CODE_COMBINATION_DISP_0'"")",,1325,Passed,"",ft.action,
"Call Function: EBS_Reusable_Methods.GetText",,248,Passed,"",basic.stepGroup,
"Info",,0,Passed,"Comments: Text: 110-100120-1010-0000-000-000000-000-0000",basic.comment,
"Info",,0,Passed,"Comments: distribution acctnumber is 110-100120-1010-0000-000-000000-000-0000",basic.comment,
"ClickToolbarButton window(""@name='DIST_SUMMARY'"") Save",,3983,Passed,"",ft.action,
"Close window(""@name='DIST_SUMMARY'"")",,1619,Passed,"",ft.action,
"SelectItem tab(""@name='TAB_INVOICE_SUM_REGIONS'"") 3 Holds",,2517,Passed,"",ft.action,
"Think: 10 (sec).",,10023,Passed,"",basic.comment,
"SetText textField(""@name='AP_HOLDS_HOLD_NAME_0'"") BANKING",,801,Passed,"",ft.action,
"InvokeSoftKey textField(""@name='AP_HOLDS_HOLD_NAME_0'"")",,1864,Passed,"",ft.action,
"Click textField(""@name='AP_HOLDS_DESC_FLEX_0'"") ",,1801,Passed,"",ft.action,
"SetText flexWindow(""forms:flexWindow"") Enter Hold Reason, , oatshold",,459,Passed,"",ft.action,
"ClickOk flexWindow(""forms:flexWindow"")",,1236,Passed,"",ft.action,
"Click button(""@name='INV_SUM_CONTROL_ACTIONS_0'"")",,6002,Passed,"",ft.action,
"Check checkBox(""@name='INV_SUM_ACTIONS_APPROVE_0'"") true",,1019,Passed,"",ft.action,
"Click button(""@name='INV_SUM_ACTIONS_OK_BUTTON_0'"")",,40195,Passed,"",ft.action,
"Think: 10 (sec).",,10035,Passed,"",basic.comment,
"SelectItem tab(""@name='TAB_INVOICE_SUM_REGIONS'"") 1 General",,783,Passed,"",ft.action,
"Call Function: EBS_Reusable_Methods.GetText",,245,Passed,"",basic.stepGroup,
"Info",,1,Passed,"Comments: Text: Needs Revalidation",basic.comment,
