246121,1,APInvoiceonHold,9/20/2017 15:56:22 PM,Failed,9/20/2017 15:52:15 PM,basic.step,AP Sceanrios,,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,115331,Passed,"",basic.init,
"Launch Browser: InternetExplorer 8.0.7601.17514",,1299,Passed,"",basic.step,
"Call Function: EBS_Reusable_Methods.login_EBS",,25001,Passed,"",basic.stepGroup,
"Launch Browser: InternetExplorer 8.0.7601.17514",,1362,Passed,"",basic.step,
"Think: 0 (sec).",,47,Passed,"",basic.comment,
"[1] Import Excel",,18166,Passed,"",basic.stepGroup,
"Info",,1,Passed,"Comments: selected environment is ++ ",basic.comment,
"Info",,0,Passed,"Comments: oatsuser",basic.comment,
"Navigate https://erpptp1.fin.yahoo.com:8000/",2,121,Passed,"",ft.action,
"Think: 10 (sec).",,10029,Passed,"",basic.comment,
"Click link(""@text='Continue to this website (not recommended).'"")",,237,Passed,"",ft.action,
"WaitForPage res://ieframe.dll/invalidcert.htm?SSLError=67108864#https://erpptp1.fin.yahoo.com:8000/",,408,Passed,"",web.pageComplete,
"SetText textBox(""@id='usernameField'"") oatsuser",,6161,Passed,"",ft.action,
"SetPassword textBox(""@id='passwordField'"") ******",,68,Passed,"",ft.action,
"Click button(""@index='0'"")",,188,Passed,"",ft.action,
"WaitForPage https://erpptp1.fin.yahoo.com:8000/OA_HTML/AppsLocalLogin.jsp",,358,Passed,"",web.pageComplete,
"Call Function: EBS_Reusable_Methods.expand_NodeFromList",,43797,Passed,"",basic.stepGroup,
"Think: 0 (sec).",,25,Passed,"",basic.comment,
"[3] Expand Node from the List",,1227,Passed,"",basic.stepGroup,
"Click element(""@text='System Administrator'"")",,1163,Passed,"",ft.action,
"Think: 0 (sec).",,27,Passed,"",basic.comment,
"[3] Expand Node from the List",,3018,Passed,"",basic.stepGroup,
"Click element(""@text='Concurrent'"")",,2955,Passed,"",ft.action,
"Think: 0 (sec).",,18,Passed,"",basic.comment,
"[4] Click on the link under the Node",,1103,Passed,"",basic.stepGroup,
"WaitForPage https://erpptp1.fin.yahoo.com:8000/OA_HTML/OA.jsp?OAFunc=OAHOMEPAGE#dummyAnchor",,414,Passed,"",web.pageComplete,
"Frame (URL=https://erpptp1.fin.yahoo.com:8000/OA_HTML/cabo/images/skyros/t.htm)",,0,Passed,"",web.frame,
"Frame (URL=https://erpptp1.fin.yahoo.com:8000/OA_HTML/blank.html)",,0,Passed,"",web.frame,
"Click element(""@text='Requests'"")",,414,Passed,"",ft.action,
"Close window(""@name='JOBS_QF'"")",,34523,Passed,"",ft.action,
"Activate window(""@name='NAVIGATOR'"")",,44,Passed,"",ft.action,
"Think: 10 (sec).",,10023,Passed,"",basic.comment,
"Iteration Total (sec)",,130337,Failed,"",basic.iteration,
"Call Function: EBS_Reusable_Methods.generateUniqueData",,24,Passed,"",basic.stepGroup,
"Call Function: EBS_Reusable_Methods.SwitchResponsibility",,13823,Passed,"",basic.stepGroup,
"ClickToolbarButton window(""@name='NAVIGATOR'"") Switch Responsibility...",,1811,Passed,"",ft.action,
"Think: 2 (sec).",,2021,Passed,"",basic.comment,
"Find listOfValues(""forms:listOfValues"") Payables Manager",,3845,Passed,"",ft.action,
"SelectItem treeList(""@name='NAVIGATOR_LIST_0'"") Invoices",,1405,Passed,"",ft.action,
"Call Function: EBS_Reusable_Methods.selecttreelist",,1621,Passed,"",basic.stepGroup,
"FocusItem treeList(""@name='NAVIGATOR_LIST_0'"") Invoices|Entry",,403,Passed,"",ft.action,
"SelectItem treeList(""@name='NAVIGATOR_LIST_0'"") Invoices|Entry",,1114,Passed,"",ft.action,
"Call Function: EBS_Reusable_Methods.selecttreelist",,4006,Passed,"",basic.stepGroup,
"FocusItem treeList(""@name='NAVIGATOR_LIST_0'"") Invoices|Entry|Invoice Batches",,365,Passed,"",ft.action,
"SelectItem treeList(""@name='NAVIGATOR_LIST_0'"") Invoices|Entry|Invoice Batches",,3559,Passed,"",ft.action,
"SetText textField(""@name='BAT_SUM_FOLDER_BATCH_NAME_0'"") OATS-5410",,198,Passed,"",ft.action,
"Click button(""@name='BAT_CONTROL_BLOCK_INVOICE_0'"")",,3599,Passed,"",ft.action,
"Call Function: EBS_Reusable_Methods.generateUniqueData",,30,Passed,"",basic.stepGroup,
"Call Function: EBS_Reusable_Methods.getDateTimeFormat",,111,Passed,"",basic.stepGroup,
"Info",,0,Passed,"Comments: insside getDateTimeFormat",basic.comment,
"Info",,1,Passed,"Comments: 20-Sep-2017",basic.comment,
"InvokeSoftKey textField(""@name='INV_SUM_FOLDER_INVOICE_TYPE_0'"")",,1922,Passed,"",ft.action,
"SetText textField(""@name='INV_SUM_FOLDER_VENDOR_NAME_0'"") Approved Networks",,1517,Passed,"",ft.action,
"InvokeSoftKey textField(""@name='INV_SUM_FOLDER_VENDOR_NAME_0'"")",,3769,Passed,"",ft.action,
"Click textField(""@name='INV_SUM_FOLDER_INVOICE_DATE_0'"") ",,1478,Passed,"",ft.action,
"SetText textField(""@name='INV_SUM_FOLDER_INVOICE_DATE_0'"") 20-Sep-2017",,1111,Passed,"",ft.action,
"InvokeSoftKey textField(""@name='INV_SUM_FOLDER_INVOICE_DATE_0'"")",,2220,Passed,"",ft.action,
"SetText textField(""@name='INV_SUM_FOLDER_INVOICE_NUM_0'"") INVHOLD-5436",,243,Passed,"",ft.action,
"SetText textField(""@name='INV_SUM_FOLDER_INVOICE_AMOUNT_DSP_0'"") 100",,1002,Passed,"",ft.action,
"InvokeSoftKey textField(""@name='INV_SUM_FOLDER_INVOICE_AMOUNT_DSP_0'"")",,1298,Passed,"",ft.action,
"SetText textField(""@name='INV_SUM_FOLDER_IBY_PAYMENT_METHOD_0'"") Check",,1599,Passed,"",ft.action,
"InvokeSoftKey textField(""@name='INV_SUM_FOLDER_IBY_PAYMENT_METHOD_0'"")",,1589,Passed,"",ft.action,
"SelectItem tab(""@name='TAB_INVOICE_SUM_REGIONS'"") 2 Lines",,20701,Passed,"",ft.action,
"Click textField(""@name='LINE_SUM_FOLDER_AMOUNT_DISP_0'"") ",,1485,Passed,"",ft.action,
