282005,1,APInvoiceonHold,10/23/2017 15:18:31 PM,Passed,10/23/2017 15:13:48 PM,basic.step,AP Sceanrios,,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,104718,Passed,"",basic.init,
"Launch Browser: InternetExplorer 10.0.9200.17609",,2118,Passed,"",basic.step,
"Call Function: EBS_Reusable_Methods.login_EBS",,18384,Passed,"",basic.stepGroup,
"Launch Browser: InternetExplorer 10.0.9200.17609",,1572,Passed,"",basic.step,
"Think: 0 (sec).",,25,Passed,"",basic.comment,
"[1] Import Excel",,11284,Passed,"",basic.stepGroup,
"Info",,0,Passed,"Comments: selected environment is ++ ",basic.comment,
"Info",,0,Passed,"Comments: oatsuser",basic.comment,
"Navigate https://erpint.fin.yahoo.com:8000/",2,62,Passed,"",ft.action,
"Think: 10 (sec).",,10028,Passed,"",basic.comment,
"SetText textBox(""@id='usernameField'"") oatsuser",,135,Passed,"",ft.action,
"SetPassword textBox(""@id='passwordField'"") ******",,41,Passed,"",ft.action,
"Click button(""@index='0'"")",,115,Passed,"",ft.action,
"WaitForPage https://erpint.fin.yahoo.com:8000/OA_HTML/AppsLocalLogin.jsp",,436,Passed,"",web.pageComplete,
"Call Function: EBS_Reusable_Methods.expand_NodeFromList",,42402,Passed,"",basic.stepGroup,
"Think: 0 (sec).",,23,Passed,"",basic.comment,
"[3] Expand Node from the List",,420,Passed,"",basic.stepGroup,
"Click element(""@text='System Administrator'"")",,362,Passed,"",ft.action,
"Think: 0 (sec).",,25,Passed,"",basic.comment,
"[3] Expand Node from the List",,2656,Passed,"",basic.stepGroup,
"Click element(""@text='Concurrent'"")",,2584,Passed,"",ft.action,
"Think: 0 (sec).",,26,Passed,"",basic.comment,
"[4] Click on the link under the Node",,908,Passed,"",basic.stepGroup,
"WaitForPage https://erpint.fin.yahoo.com:8000/OA_HTML/OA.jsp?OAFunc=OAHOMEPAGE#dummyAnchor",,429,Passed,"",web.pageComplete,
"Frame (URL=https://erpint.fin.yahoo.com:8000/OA_HTML/cabo/images/skyros/t.htm)",,0,Passed,"",web.frame,
"Frame (URL=https://erpint.fin.yahoo.com:8000/OA_HTML/blank.html)",,0,Passed,"",web.frame,
"Click element(""@text='Requests'"")",,311,Passed,"",ft.action,
"Close window(""@name='JOBS_QF'"")",,30987,Passed,"",ft.action,
"Activate window(""@name='NAVIGATOR'"")",,42,Passed,"",ft.action,
"Think: 10 (sec).",,10027,Passed,"",basic.comment,
"Iteration Total (sec)",,176867,Passed,"",basic.iteration,
"Call Function: EBS_Reusable_Methods.generateUniqueData",,21,Passed,"",basic.stepGroup,
"Call Function: EBS_Reusable_Methods.SwitchResponsibility",,11457,Passed,"",basic.stepGroup,
"ClickToolbarButton window(""@name='NAVIGATOR'"") Switch Responsibility...",,1361,Passed,"",ft.action,
"Think: 2 (sec).",,2028,Passed,"",basic.comment,
"Find listOfValues(""forms:listOfValues"") Payables Manager",,1944,Passed,"",ft.action,
"SelectItem treeList(""@name='NAVIGATOR_LIST_0'"") Invoices",,1344,Passed,"",ft.action,
"Call Function: EBS_Reusable_Methods.selecttreelist",,1478,Passed,"",basic.stepGroup,
"FocusItem treeList(""@name='NAVIGATOR_LIST_0'"") Invoices|Entry",,312,Passed,"",ft.action,
"SelectItem treeList(""@name='NAVIGATOR_LIST_0'"") Invoices|Entry",,1068,Passed,"",ft.action,
"Call Function: EBS_Reusable_Methods.selecttreelist",,3610,Passed,"",basic.stepGroup,
"FocusItem treeList(""@name='NAVIGATOR_LIST_0'"") Invoices|Entry|Invoice Batches",,323,Passed,"",ft.action,
"SelectItem treeList(""@name='NAVIGATOR_LIST_0'"") Invoices|Entry|Invoice Batches",,3202,Passed,"",ft.action,
"SetText textField(""@name='BAT_SUM_FOLDER_BATCH_NAME_0'"") OATS-1533",,186,Passed,"",ft.action,
"Click button(""@name='BAT_CONTROL_BLOCK_INVOICE_0'"")",,3503,Passed,"",ft.action,
"Call Function: EBS_Reusable_Methods.generateUniqueData",,14,Passed,"",basic.stepGroup,
"Call Function: EBS_Reusable_Methods.getDateTimeFormat",,100,Passed,"",basic.stepGroup,
"Info",,0,Passed,"Comments: insside getDateTimeFormat",basic.comment,
"Info",,0,Passed,"Comments: 23-Oct-2017",basic.comment,
"InvokeSoftKey textField(""@name='INV_SUM_FOLDER_INVOICE_TYPE_0'"")",,1932,Passed,"",ft.action,
"SetText textField(""@name='INV_SUM_FOLDER_VENDOR_NAME_0'"") Approved Networks",,1503,Passed,"",ft.action,
"InvokeSoftKey textField(""@name='INV_SUM_FOLDER_VENDOR_NAME_0'"")",,2074,Passed,"",ft.action,
