298154,1,APDebitMemoInvoice,9/18/2017 15:47:05 PM,Failed,9/18/2017 15:42:06 PM,basic.step,FA Sceanrios,,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,113340,Passed,"",basic.init,
"Launch Browser: InternetExplorer 8.0.7601.17514",,1912,Passed,"",basic.step,
"Call Function: EBS_Reusable_Methods.login_EBS",,24896,Passed,"",basic.stepGroup,
"Launch Browser: InternetExplorer 8.0.7601.17514",,1405,Passed,"",basic.step,
"Think: 0 (sec).",,26,Passed,"",basic.comment,
"[1] Import Excel",,18067,Passed,"",basic.stepGroup,
"Info",,1,Passed,"Comments: selected environment is ++ ",basic.comment,
"Info",,0,Passed,"Comments: oatsuser",basic.comment,
"Navigate https://erpptp1.fin.yahoo.com:8000/",2,74,Passed,"",ft.action,
"Think: 10 (sec).",,10031,Passed,"",basic.comment,
"Click link(""@text='Continue to this website (not recommended).'"")",,236,Passed,"",ft.action,
"WaitForPage res://ieframe.dll/invalidcert.htm?SSLError=67108864#https://erpptp1.fin.yahoo.com:8000/",,409,Passed,"",web.pageComplete,
"SetText textBox(""@id='usernameField'"") oatsuser",,6148,Passed,"",ft.action,
"SetPassword textBox(""@id='passwordField'"") ******",,45,Passed,"",ft.action,
"Click button(""@index='0'"")",,192,Passed,"",ft.action,
"WaitForPage https://erpptp1.fin.yahoo.com:8000/OA_HTML/AppsLocalLogin.jsp",,373,Passed,"",web.pageComplete,
"Call Function: EBS_Reusable_Methods.expand_NodeFromList",,42858,Passed,"",basic.stepGroup,
"Think: 0 (sec).",,20,Passed,"",basic.comment,
"[3] Expand Node from the List",,1167,Passed,"",basic.stepGroup,
"Click element(""@text='System Administrator'"")",,1121,Passed,"",ft.action,
"Think: 0 (sec).",,25,Passed,"",basic.comment,
"[3] Expand Node from the List",,2136,Passed,"",basic.stepGroup,
"Click element(""@text='Concurrent'"")",,2038,Passed,"",ft.action,
"Think: 0 (sec).",,16,Passed,"",basic.comment,
"[4] Click on the link under the Node",,1152,Passed,"",basic.stepGroup,
"WaitForPage https://erpptp1.fin.yahoo.com:8000/OA_HTML/OA.jsp?OAFunc=OAHOMEPAGE#dummyAnchor",,414,Passed,"",web.pageComplete,
"Frame (URL=https://erpptp1.fin.yahoo.com:8000/OA_HTML/cabo/images/skyros/t.htm)",,0,Passed,"",web.frame,
"Frame (URL=https://erpptp1.fin.yahoo.com:8000/OA_HTML/blank.html)",,0,Passed,"",web.frame,
"Click element(""@text='Requests'"")",,577,Passed,"",ft.action,
"Close window(""@name='JOBS_QF'"")",,32990,Passed,"",ft.action,
"Activate window(""@name='NAVIGATOR'"")",,44,Passed,"",ft.action,
"Think: 10 (sec).",,10014,Passed,"",basic.comment,
"Iteration Total (sec)",,184433,Failed,"",basic.iteration,
"Call Function: EBS_Reusable_Methods.generateUniqueData",,22,Passed,"",basic.stepGroup,
"Call Function: EBS_Reusable_Methods.SwitchResponsibility",,11420,Passed,"",basic.stepGroup,
"ClickToolbarButton window(""@name='NAVIGATOR'"") Switch Responsibility...",,1379,Passed,"",ft.action,
"Think: 2 (sec).",,2018,Passed,"",basic.comment,
"Find listOfValues(""forms:listOfValues"") Payables Manager",,1889,Passed,"",ft.action,
"SelectItem treeList(""@name='NAVIGATOR_LIST_0'"") Invoices",,1407,Passed,"",ft.action,
"Call Function: EBS_Reusable_Methods.selecttreelist",,1538,Passed,"",basic.stepGroup,
"FocusItem treeList(""@name='NAVIGATOR_LIST_0'"") Invoices|Entry",,342,Passed,"",ft.action,
