147499,1,APInvtoGL,10/02/2017 17:42:23 PM,Failed,10/02/2017 17:39:55 PM,basic.step,AP Sceanrios,,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,95662,Passed,"",basic.init,
"Launch Browser: InternetExplorer 10.0.9200.17609",,2410,Passed,"",basic.step,
"Call Function: EBS_Reusable_Methods.login_EBS",,21610,Passed,"",basic.stepGroup,
"Launch Browser: InternetExplorer 10.0.9200.17609",,1539,Passed,"",basic.step,
"Think: 0 (sec).",,23,Passed,"",basic.comment,
"[1] Import Excel",,14044,Passed,"",basic.stepGroup,
"Info",,1,Passed,"Comments: selected environment is ++ ",basic.comment,
"Info",,1,Passed,"Comments: oatsuser",basic.comment,
"Navigate https://erpptp1.fin.yahoo.com:8000/",2,68,Passed,"",ft.action,
"Think: 10 (sec).",,9915,Passed,"",basic.comment,
"Click link(""@text='Continue to this website (not recommended).'"")",,135,Passed,"",ft.action,
"ClickButton dialog(""@text='The current webpage is trying to open a site in your Trusted sites list. Do you want to allow this?'"") 0",,527,Passed,"",ft.action,
"WaitForPage https://erpptp1.fin.yahoo.com:8000/",,385,Passed,"",web.pageComplete,
"SetText textBox(""@id='usernameField'"") oatsuser",,1961,Passed,"",ft.action,
"SetPassword textBox(""@id='passwordField'"") ******",,31,Passed,"",ft.action,
"Click button(""@index='0'"")",,77,Passed,"",ft.action,
"WaitForPage https://erpptp1.fin.yahoo.com:8000/OA_HTML/AppsLocalLogin.jsp",,361,Passed,"",web.pageComplete,
"Call Function: EBS_Reusable_Methods.expand_NodeFromList",,40832,Passed,"",basic.stepGroup,
"Think: 0 (sec).",,19,Passed,"",basic.comment,
"[3] Expand Node from the List",,371,Passed,"",basic.stepGroup,
"Click element(""@text='System Administrator'"")",,311,Passed,"",ft.action,
"Think: 0 (sec).",,26,Passed,"",basic.comment,
"[3] Expand Node from the List",,2768,Passed,"",basic.stepGroup,
"Click element(""@text='Concurrent'"")",,2710,Passed,"",ft.action,
"Think: 0 (sec).",,17,Passed,"",basic.comment,
"[4] Click on the link under the Node",,1073,Passed,"",basic.stepGroup,
"WaitForPage https://erpptp1.fin.yahoo.com:8000/OA_HTML/OA.jsp?OAFunc=OAHOMEPAGE#dummyAnchor",,399,Passed,"",web.pageComplete,
"Frame (URL=https://erpptp1.fin.yahoo.com:8000/OA_HTML/cabo/images/skyros/t.htm)",,0,Passed,"",web.frame,
"Frame (URL=https://erpptp1.fin.yahoo.com:8000/OA_HTML/blank.html)",,0,Passed,"",web.frame,
