555679,1,APInvtoGL,10/18/2017 11:13:44 AM,Failed,10/18/2017 11:04:28 AM,basic.step,AP Sceanrios,,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,114984,Passed,"",basic.init,
"Launch Browser: InternetExplorer 10.0.9200.17609",,3484,Passed,"",basic.step,
"Call Function: EBS_Reusable_Methods.login_EBS",,18409,Passed,"",basic.stepGroup,
"Launch Browser: InternetExplorer 10.0.9200.17609",,1482,Passed,"",basic.step,
"Think: 0 (sec).",,37,Passed,"",basic.comment,
"[1] Import Excel",,11810,Passed,"",basic.stepGroup,
"Info",,1,Passed,"Comments: selected environment is ++ ",basic.comment,
"Info",,0,Passed,"Comments: oatsuser",basic.comment,
"Navigate https://erpint.fin.yahoo.com:8000/",2,66,Passed,"",ft.action,
"Think: 10 (sec).",,10243,Passed,"",basic.comment,
"SetText textBox(""@id='usernameField'"") oatsuser",,178,Passed,"",ft.action,
"SetPassword textBox(""@id='passwordField'"") ******",,45,Passed,"",ft.action,
"Click button(""@index='0'"")",,136,Passed,"",ft.action,
"WaitForPage https://erpint.fin.yahoo.com:8000/OA_HTML/AppsLocalLogin.jsp",,511,Passed,"",web.pageComplete,
"Call Function: EBS_Reusable_Methods.expand_NodeFromList",,44855,Passed,"",basic.stepGroup,
"Think: 0 (sec).",,25,Passed,"",basic.comment,
"[3] Expand Node from the List",,617,Passed,"",basic.stepGroup,
"Click element(""@text='System Administrator'"")",,518,Passed,"",ft.action,
"Think: 0 (sec).",,17,Passed,"",basic.comment,
"[3] Expand Node from the List",,2266,Passed,"",basic.stepGroup,
"Click element(""@text='Concurrent'"")",,2204,Passed,"",ft.action,
"Think: 0 (sec).",,19,Passed,"",basic.comment,
"[4] Click on the link under the Node",,808,Passed,"",basic.stepGroup,
"WaitForPage https://erpint.fin.yahoo.com:8000/OA_HTML/OA.jsp?OAFunc=OAHOMEPAGE#dummyAnchor",,382,Passed,"",web.pageComplete,
"Frame (URL=https://erpint.fin.yahoo.com:8000/OA_HTML/cabo/images/skyros/t.htm)",,0,Passed,"",web.frame,
"Frame (URL=https://erpint.fin.yahoo.com:8000/OA_HTML/blank.html)",,0,Passed,"",web.frame,
"Click element(""@text='Requests'"")",,264,Passed,"",ft.action,
"Close window(""@name='JOBS_QF'"")",,35998,Passed,"",ft.action,
"Activate window(""@name='NAVIGATOR'"")",,35,Passed,"",ft.action,
"Think: 10 (sec).",,11252,Passed,"",basic.comment,
"Iteration Total (sec)",,440314,Failed,"",basic.iteration,
"Call Function: EBS_Reusable_Methods.generateUniqueData",,21,Passed,"",basic.stepGroup,
"Call Function: EBS_Reusable_Methods.SwitchResponsibility",,12941,Passed,"",basic.stepGroup,
"ClickToolbarButton window(""@name='NAVIGATOR'"") Switch Responsibility...",,1665,Passed,"",ft.action,
"Think: 2 (sec).",,2559,Passed,"",basic.comment,
"Find listOfValues(""forms:listOfValues"") Payables Manager",,2470,Passed,"",ft.action,
"SelectItem treeList(""@name='NAVIGATOR_LIST_0'"") Invoices",,1749,Passed,"",ft.action,
"Call Function: EBS_Reusable_Methods.selecttreelist",,1800,Passed,"",basic.stepGroup,
"FocusItem treeList(""@name='NAVIGATOR_LIST_0'"") Invoices|Entry",,399,Passed,"",ft.action,
"SelectItem treeList(""@name='NAVIGATOR_LIST_0'"") Invoices|Entry",,1264,Passed,"",ft.action,
"Call Function: EBS_Reusable_Methods.selecttreelist",,6792,Passed,"",basic.stepGroup,
"FocusItem treeList(""@name='NAVIGATOR_LIST_0'"") Invoices|Entry|Invoice Batches",,338,Passed,"",ft.action,
"SelectItem treeList(""@name='NAVIGATOR_LIST_0'"") Invoices|Entry|Invoice Batches",,6354,Passed,"",ft.action,
"SetText textField(""@name='BAT_SUM_FOLDER_BATCH_NAME_0'"") OATS-623",,212,Passed,"",ft.action,
"Click button(""@name='BAT_CONTROL_BLOCK_INVOICE_0'"")",,5768,Passed,"",ft.action,
"Call Function: EBS_Reusable_Methods.generateUniqueData",,28,Passed,"",basic.stepGroup,
"Call Function: EBS_Reusable_Methods.getDateTimeFormat",,98,Passed,"",basic.stepGroup,
"Info",,1,Passed,"Comments: insside getDateTimeFormat",basic.comment,
"Info",,0,Passed,"Comments: 18-Oct-2017",basic.comment,
"InvokeSoftKey textField(""@name='INV_SUM_FOLDER_INVOICE_TYPE_0'"")",,2091,Passed,"",ft.action,
