8/28/2017 16:34:59 PM - Launch Browser: IE version 8.0.7601.17514
8/28/2017 17:13:53 PM - Save Script: Version 12.5.0.3.1012 User oats
8/29/2017 09:02:03 AM - Save Script: Version 12.5.0.3.1012 User oats
8/29/2017 09:03:25 AM - Save Script: Version 12.5.0.3.1012 User oats
8/29/2017 09:03:42 AM - Save Script: Version 12.5.0.3.1012 User oats
8/29/2017 09:04:48 AM - Save Script: Version 12.5.0.3.1012 User oats
8/29/2017 09:05:32 AM - Save Script: Version 12.5.0.3.1012 User oats
8/29/2017 09:06:27 AM - Save Script: Version 12.5.0.3.1012 User oats
8/29/2017 09:06:37 AM - Save Script: Version 12.5.0.3.1012 User oats
8/29/2017 09:07:57 AM - Save Script: Version 12.5.0.3.1012 User oats
8/29/2017 09:08:49 AM - Save Script: Version 12.5.0.3.1012 User oats
8/29/2017 10:04:31 AM - Save Script: Version 12.5.0.3.1012 User oats
8/29/2017 10:55:50 AM - Save Script: Version 12.5.0.3.1012 User oats
8/29/2017 10:57:34 AM - Save Script: Version 12.5.0.3.1012 User oats
8/29/2017 10:58:29 AM - Save Script: Version 12.5.0.3.1012 User oats
8/29/2017 11:28:36 AM - Save Script: Version 12.5.0.3.1012 User oats
8/30/2017 11:38:27 AM - Save Script: Version 12.5.0.3.1012 User oats
8/30/2017 11:44:58 AM - Save Script: Version 12.5.0.3.1012 User oats
8/30/2017 12:31:48 PM - Upgrade Script Results: Successfully upgraded script results.
8/30/2017 12:40:51 PM - Upgrade Script Results: Successfully upgraded script results.
8/30/2017 13:01:54 PM - Upgrade Script Results: Successfully upgraded script results.
8/30/2017 13:18:11 PM - Save Script: Version 12.5.0.3.1012 User oats
8/30/2017 16:41:21 PM - Upgrade Script Results: Successfully upgraded script results.
8/30/2017 16:45:50 PM - Save Script: Version 12.5.0.3.1012 User oats
8/30/2017 16:48:12 PM - Save Script: Version 12.5.0.3.1012 User oats
8/30/2017 16:50:10 PM - Save Script: Version 12.5.0.3.1012 User oats
8/30/2017 16:51:19 PM - Save Script: Version 12.5.0.3.1012 User oats
8/30/2017 16:51:42 PM - Save Script: Version 12.5.0.3.1012 User oats
8/30/2017 16:54:59 PM - Save Script: Version 12.5.0.3.1012 User oats
8/30/2017 16:55:08 PM - Save Script: Version 12.5.0.3.1012 User oats
8/30/2017 16:56:16 PM - Save Script: Version 12.5.0.3.1012 User oats
8/30/2017 17:06:39 PM - Save Script: Version 12.5.0.3.1012 User oats
8/30/2017 17:08:59 PM - Save Script: Version 12.5.0.3.1012 User oats
8/30/2017 17:09:35 PM - Save Script: Version 12.5.0.3.1012 User oats
8/30/2017 17:09:48 PM - Save Script: Version 12.5.0.3.1012 User oats
8/30/2017 17:10:28 PM - Save Script: Version 12.5.0.3.1012 User oats
8/30/2017 17:12:49 PM - Save Script: Version 12.5.0.3.1012 User oats
8/30/2017 17:16:28 PM - Save Script: Version 12.5.0.3.1012 User oats
8/30/2017 17:18:07 PM - Save Script: Version 12.5.0.3.1012 User oats
8/30/2017 17:20:13 PM - Save Script: Version 12.5.0.3.1012 User oats
8/30/2017 17:23:17 PM - Save Script: Version 12.5.0.3.1012 User oats
8/30/2017 17:24:09 PM - Save Script: Version 12.5.0.3.1012 User oats
8/30/2017 17:30:46 PM - Save Script: Version 12.5.0.3.1012 User oats
8/30/2017 17:30:58 PM - Save Script: Version 12.5.0.3.1012 User oats
8/30/2017 17:37:00 PM - Save Script: Version 12.5.0.3.1012 User oats
8/31/2017 09:50:37 AM - Upgrade Script Results: Successfully upgraded script results.
8/31/2017 10:03:04 AM - Save Script: Version 12.5.0.3.1012 User oats
8/31/2017 10:05:46 AM - Save Script: Version 12.5.0.3.1012 User oats
8/31/2017 10:22:45 AM - Save Script: Version 12.5.0.3.1012 User oats
8/31/2017 10:23:56 AM - Save Script: Version 12.5.0.3.1012 User oats
8/31/2017 10:24:11 AM - Save Script: Version 12.5.0.3.1012 User oats
8/31/2017 10:43:23 AM - Save Script: Version 12.5.0.3.1012 User oats
8/31/2017 10:43:49 AM - Save Script: Version 12.5.0.3.1012 User oats
8/31/2017 11:00:06 AM - Save Script: Version 12.5.0.3.1012 User oats
8/31/2017 11:01:56 AM - Save Script: Version 12.5.0.3.1012 User oats
8/31/2017 11:05:58 AM - Save Script: Version 12.5.0.3.1012 User oats
8/31/2017 11:06:52 AM - Save Script: Version 12.5.0.3.1012 User oats
8/31/2017 11:35:43 AM - Save Script: Version 12.5.0.3.1012 User oats
8/31/2017 11:38:55 AM - Save Script: Version 12.5.0.3.1012 User oats
8/31/2017 11:39:43 AM - Save Script: Version 12.5.0.3.1012 User oats
8/31/2017 11:46:05 AM - Save Script: Version 12.5.0.3.1012 User oats
8/31/2017 11:49:30 AM - Save Script: Version 12.5.0.3.1012 User oats
8/31/2017 11:52:05 AM - Save Script: Version 12.5.0.3.1012 User oats
8/31/2017 11:53:13 AM - Save Script: Version 12.5.0.3.1012 User oats
8/31/2017 11:53:27 AM - Save Script: Version 12.5.0.3.1012 User oats
8/31/2017 12:04:51 PM - Save Script: Version 12.5.0.3.1012 User oats
8/31/2017 12:07:50 PM - Save Script: Version 12.5.0.3.1012 User oats
8/31/2017 12:10:41 PM - Save Script: Version 12.5.0.3.1012 User oats
8/31/2017 12:11:11 PM - Save Script: Version 12.5.0.3.1012 User oats
8/31/2017 12:13:20 PM - Save Script: Version 12.5.0.3.1012 User oats
8/31/2017 12:14:32 PM - Save Script: Version 12.5.0.3.1012 User oats
8/31/2017 12:29:47 PM - Save Script: Version 12.5.0.3.1012 User oats
8/31/2017 12:35:33 PM - Save Script: Version 12.5.0.3.1012 User oats
8/31/2017 12:43:32 PM - Save Script: Version 12.5.0.3.1012 User oats
8/31/2017 12:46:18 PM - Save Script: Version 12.5.0.3.1012 User oats
8/31/2017 12:48:10 PM - Save Script: Version 12.5.0.3.1012 User oats
8/31/2017 13:57:31 PM - Save Script: Version 12.5.0.3.1012 User oats
8/31/2017 13:58:08 PM - Save Script: Version 12.5.0.3.1012 User oats
8/31/2017 14:03:34 PM - Save Script: Version 12.5.0.3.1012 User oats
8/31/2017 14:38:53 PM - Save Script: Version 12.5.0.3.1012 User oats
8/31/2017 14:39:03 PM - Save Script: Version 12.5.0.3.1012 User oats
8/31/2017 14:43:40 PM - Save Script: Version 12.5.0.3.1012 User oats
8/31/2017 15:28:30 PM - Save Script: Version 12.5.0.3.1012 User oats
8/31/2017 16:08:34 PM - Save Script: Version 12.5.0.3.1012 User oats
8/31/2017 16:16:23 PM - Save Script: Version 12.5.0.3.1012 User oats
8/31/2017 16:42:19 PM - Save Script: Version 12.5.0.3.1012 User oats
8/31/2017 16:43:36 PM - Save Script: Version 12.5.0.3.1012 User oats
8/31/2017 16:52:28 PM - Save Script: Version 12.5.0.3.1012 User oats
8/31/2017 16:58:12 PM - Save Script: Version 12.5.0.3.1012 User oats
8/31/2017 17:04:55 PM - Save Script: Version 12.5.0.3.1012 User oats
8/31/2017 17:05:18 PM - Save Script: Version 12.5.0.3.1012 User oats
8/31/2017 17:05:48 PM - Save Script: Version 12.5.0.3.1012 User oats
8/31/2017 17:19:50 PM - Save Script: Version 12.5.0.3.1012 User oats
8/31/2017 17:22:40 PM - Save Script: Version 12.5.0.3.1012 User oats
8/31/2017 17:26:18 PM - Save Script: Version 12.5.0.3.1012 User oats
