265390,1,Create Suppliers,9/06/2017 17:36:32 PM,Failed,9/06/2017 17:32:06 PM,basic.step,FA Sceanrios,,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,97775,Passed,"",basic.init,
"Launch Browser: InternetExplorer 8.0.7601.17514",,1800,Passed,"",basic.step,
"Call Function: EBS_Reusable_Methods.login_EBS",,21903,Passed,"",basic.stepGroup,
"Launch Browser: InternetExplorer 8.0.7601.17514",,1664,Passed,"",basic.step,
"Think: 0 (sec).",,28,Passed,"",basic.comment,
"[1] Import Excel",,14255,Passed,"",basic.stepGroup,
"Info",,15,Passed,"Comments: selected environment is ++ ",basic.comment,
"Info",,0,Passed,"Comments: oatsuser",basic.comment,
"Navigate https://erpint.fin.yahoo.com:8000/",2,92,Passed,"",ft.action,
"Think: 10 (sec).",,11956,Passed,"",basic.comment,
"WaitForPage https://erpint.fin.yahoo.com:8000/OA_HTML/AppsLocalLogin.jsp",,478,Passed,"",web.pageComplete,
"Click link(""@text='Continue to this website (not recommended).'"")",,256,Passed,"",ft.action,
"SetText textBox(""@id='usernameField'"") oatsuser",,142,Passed,"",ft.action,
"SetPassword textBox(""@id='passwordField'"") ******",,56,Passed,"",ft.action,
"Click button(""@index='0'"")",,190,Passed,"",ft.action,
"WaitForPage https://erpint.fin.yahoo.com:8000/OA_HTML/AppsLocalLogin.jsp#",,390,Passed,"",web.pageComplete,
"Call Function: EBS_Reusable_Methods.expand_NodeFromList",,40500,Passed,"",basic.stepGroup,
"Think: 0 (sec).",,25,Passed,"",basic.comment,
"[3] Expand Node from the List",,392,Passed,"",basic.stepGroup,
"Click element(""@text='System Administrator'"")",,345,Passed,"",ft.action,
"Think: 0 (sec).",,22,Passed,"",basic.comment,
"[3] Expand Node from the List",,3066,Passed,"",basic.stepGroup,
"Click element(""@text='Concurrent'"")",,3015,Passed,"",ft.action,
"Think: 0 (sec).",,16,Passed,"",basic.comment,
"[4] Click on the link under the Node",,1603,Passed,"",basic.stepGroup,
"WaitForPage https://erpint.fin.yahoo.com:8000/OA_HTML/OA.jsp?OAFunc=OAHOMEPAGE#dummyAnchor",,394,Passed,"",web.pageComplete,
"Frame (URL=https://erpint.fin.yahoo.com:8000/OA_HTML/cabo/images/skyros/t.htm)",,0,Passed,"",web.frame,
"Frame (URL=https://erpint.fin.yahoo.com:8000/OA_HTML/blank.html)",,0,Passed,"",web.frame,
"Click element(""@text='Requests'"")",,974,Passed,"",ft.action,
"Close window(""@name='JOBS_QF'"")",,21355,Passed,"",ft.action,
"Activate window(""@name='NAVIGATOR'"")",,19,Passed,"",ft.action,
"Think: 10 (sec).",,11325,Passed,"",basic.comment,
"Iteration Total (sec)",,167163,Failed,"",basic.iteration,
"Call Function: EBS_Reusable_Methods.SwitchResponsibility",,11579,Passed,"",basic.stepGroup,
"ClickToolbarButton window(""@name='NAVIGATOR'"") Switch Responsibility...",,1414,Passed,"",ft.action,
"Think: 2 (sec).",,2554,Passed,"",basic.comment,
"Find listOfValues(""forms:listOfValues"") Payables Manager",,1368,Passed,"",ft.action,
"FocusItem treeList(""@name='NAVIGATOR_LIST_0'"") Suppliers",,819,Passed,"",ft.action,
"SelectItem treeList(""@name='NAVIGATOR_LIST_0'"") Suppliers",,731,Passed,"",ft.action,
"SelectItem treeList(""@name='NAVIGATOR_LIST_0'"") Suppliers|Entry",,1187,Passed,"",ft.action,
"WaitForPage https://erpint.fin.yahoo.com:8000/OA_HTML/RF.jsp?function_id=1348&resp_id=20639&resp_appl_id=200&security_group_id=0&lang_code=US&params=FbM2CJM-QwDegr0.AdKQvJK-4WQn9-ZNpNwKKhovOF4&oas=pxMZP4tJaddtW4vDDiZXng..",,4248,Passed,"",web.pageComplete,
"Frame (URL=https://erpint.fin.yahoo.com:8000/OA_HTML/cabo/images/skyros/t.htm)",,0,Passed,"",web.frame,
"Frame (URL=https://erpint.fin.yahoo.com:8000/OA_HTML/blank.html)",,0,Passed,"",web.frame,
"Info",,1,Passed,"Comments: NC VENTURES LLC",basic.comment,
"Info",,0,Passed,"Comments: DBA NIELSEN CATALINA SOLUTIONS",basic.comment,
"Info",,0,Passed,"Comments: US",basic.comment,
"Info",,0,Passed,"Comments: H27-0692423",basic.comment,
"Info",,0,Passed,"Comments: 250 E 5TH ST FL 12",basic.comment,
"Info",,0,Passed,"Comments: ",basic.comment,
"Info",,0,Passed,"Comments: CINCINNATI",basic.comment,
"Info",,1,Passed,"Comments: OH",basic.comment,
"Info",,0,Passed,"Comments: 45202-4119",basic.comment,
"Info",,1,Passed,"Comments: YUS250USD",basic.comment,
"Info",,0,Passed,"Comments: Purchasing & Payment",basic.comment,
"Info",,0,Passed,"Comments: 513-789-6869",basic.comment,
"Info",,0,Passed,"Comments: NCSFINANCE@NCSOLUTIONS.COM",basic.comment,
"Info",,0,Passed,"Comments: N/A",basic.comment,
"Info",,0,Passed,"Comments: N/A",basic.comment,
"Info",,0,Passed,"Comments: Ravi",basic.comment,
"Info",,0,Passed,"Comments: Keesara",basic.comment,
"Info",,2,Passed,"Comments: United%",basic.comment,
"Info",,0,Passed,"Comments: ",basic.comment,
"Info",,0,Passed,"Comments: US ",basic.comment,
"Info",,0,Passed,"Comments: ",basic.comment,
"Info",,1,Passed,"Comments: 43000096",basic.comment,
"Info",,0,Passed,"Comments: 38814755",basic.comment,
"Info",,0,Passed,"Comments: ",basic.comment,
"Info",,0,Passed,"Comments: USD",basic.comment,
"Info",,0,Passed,"Comments: IMMEDIATE",basic.comment,
"Info",,0,Passed,"Comments: EFT",basic.comment,
"Info",,0,Passed,"Comments: ",basic.comment,
"Click button(""@id='supCreatBtn'"")",,447,Passed,"",ft.action,
"WaitForPage https://erpint.fin.yahoo.com:8000/OA_HTML/OA.jsp?page=/oracle/apps/pos/supplier/webui/SuppSummPG&OAHP=POS_HT_SP_HP&OASF=POS_HT_SP_B_SUPP&OAPB=AP_PAY_PRODUCT_BRAND&_ti=1580842318&language_code=US&CallFromForm='Y'&oapc=4&oas=g8m_tMX78GV7KcmF...",,2069,Passed,"",web.pageComplete,
"Frame (URL=https://erpint.fin.yahoo.com:8000/OA_HTML/cabo/images/skyros/t.htm)",,0,Passed,"",web.frame,
"Frame (URL=https://erpint.fin.yahoo.com:8000/OA_HTML/blank.html)",,0,Passed,"",web.frame,
"Click textBox(""@id='organization_name'"")",,283,Passed,"",ft.action,
