424440,1,Create Suppliers,9/07/2017 11:36:58 AM,Passed,9/07/2017 11:29:52 AM,basic.step,FA Sceanrios,,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,98879,Passed,"",basic.init,
"Launch Browser: InternetExplorer 8.0.7601.17514",,3268,Passed,"",basic.step,
"Call Function: EBS_Reusable_Methods.login_EBS",,19418,Passed,"",basic.stepGroup,
"Launch Browser: InternetExplorer 8.0.7601.17514",,1355,Passed,"",basic.step,
"Think: 0 (sec).",,31,Passed,"",basic.comment,
"[1] Import Excel",,12406,Passed,"",basic.stepGroup,
"Info",,1,Passed,"Comments: selected environment is ++ ",basic.comment,
"Info",,0,Passed,"Comments: oatsuser",basic.comment,
"Navigate https://erpint.fin.yahoo.com:8000/",2,64,Passed,"",ft.action,
"Think: 10 (sec).",,10151,Passed,"",basic.comment,
"WaitForPage https://erpint.fin.yahoo.com:8000/OA_HTML/AppsLocalLogin.jsp",,464,Passed,"",web.pageComplete,
"Click link(""@text='Continue to this website (not recommended).'"")",,239,Passed,"",ft.action,
"SetText textBox(""@id='usernameField'"") oatsuser",,164,Passed,"",ft.action,
"SetPassword textBox(""@id='passwordField'"") ******",,66,Passed,"",ft.action,
"Click button(""@index='0'"")",,184,Passed,"",ft.action,
"WaitForPage https://erpint.fin.yahoo.com:8000/OA_HTML/AppsLocalLogin.jsp#",,371,Passed,"",web.pageComplete,
"Call Function: EBS_Reusable_Methods.expand_NodeFromList",,44337,Passed,"",basic.stepGroup,
"Think: 0 (sec).",,23,Passed,"",basic.comment,
"[3] Expand Node from the List",,459,Passed,"",basic.stepGroup,
"Click element(""@text='System Administrator'"")",,408,Passed,"",ft.action,
"Think: 0 (sec).",,15,Passed,"",basic.comment,
"[3] Expand Node from the List",,3504,Passed,"",basic.stepGroup,
"Click element(""@text='Concurrent'"")",,3442,Passed,"",ft.action,
"Think: 0 (sec).",,18,Passed,"",basic.comment,
"[4] Click on the link under the Node",,1769,Passed,"",basic.stepGroup,
"WaitForPage https://erpint.fin.yahoo.com:8000/OA_HTML/OA.jsp?OAFunc=OAHOMEPAGE#dummyAnchor",,425,Passed,"",web.pageComplete,
"Frame (URL=https://erpint.fin.yahoo.com:8000/OA_HTML/cabo/images/skyros/t.htm)",,0,Passed,"",web.frame,
"Frame (URL=https://erpint.fin.yahoo.com:8000/OA_HTML/blank.html)",,0,Passed,"",web.frame,
"Click element(""@text='Requests'"")",,1080,Passed,"",ft.action,
"Close window(""@name='JOBS_QF'"")",,20923,Passed,"",ft.action,
"Activate window(""@name='NAVIGATOR'"")",,60,Passed,"",ft.action,
"Think: 10 (sec).",,10020,Passed,"",basic.comment,
"Iteration Total (sec)",,325165,Passed,"",basic.iteration,
"Call Function: EBS_Reusable_Methods.SwitchResponsibility",,10119,Passed,"",basic.stepGroup,
"ClickToolbarButton window(""@name='NAVIGATOR'"") Switch Responsibility...",,829,Passed,"",ft.action,
"Think: 2 (sec).",,2022,Passed,"",basic.comment,
"Find listOfValues(""forms:listOfValues"") Payables Manager",,1133,Passed,"",ft.action,
