333168,1,APCreditMemoInvoice,9/19/2017 09:31:55 AM,Passed,9/19/2017 09:26:21 AM,basic.step,AP Sceanrios,,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,117647,Passed,"",basic.init,
"Launch Browser: InternetExplorer 8.0.7601.17514",,2079,Passed,"",basic.step,
"Call Function: EBS_Reusable_Methods.login_EBS",,25320,Passed,"",basic.stepGroup,
"Launch Browser: InternetExplorer 8.0.7601.17514",,1382,Passed,"",basic.step,
"Think: 0 (sec).",,32,Passed,"",basic.comment,
"[1] Import Excel",,18493,Passed,"",basic.stepGroup,
"Info",,1,Passed,"Comments: selected environment is ++ ",basic.comment,
"Info",,0,Passed,"Comments: oatsuser",basic.comment,
"Navigate https://erpptp1.fin.yahoo.com:8000/",2,80,Passed,"",ft.action,
"Think: 10 (sec).",,10032,Passed,"",basic.comment,
"Click link(""@text='Continue to this website (not recommended).'"")",,251,Passed,"",ft.action,
"WaitForPage res://ieframe.dll/invalidcert.htm?SSLError=67108864#https://erpptp1.fin.yahoo.com:8000/",,460,Passed,"",web.pageComplete,
"SetText textBox(""@id='usernameField'"") oatsuser",,6338,Passed,"",ft.action,
"SetPassword textBox(""@id='passwordField'"") ******",,49,Passed,"",ft.action,
"Click button(""@index='0'"")",,193,Passed,"",ft.action,
"WaitForPage https://erpptp1.fin.yahoo.com:8000/OA_HTML/AppsLocalLogin.jsp",,375,Passed,"",web.pageComplete,
"Call Function: EBS_Reusable_Methods.expand_NodeFromList",,43880,Passed,"",basic.stepGroup,
"Think: 0 (sec).",,23,Passed,"",basic.comment,
"[3] Expand Node from the List",,1200,Passed,"",basic.stepGroup,
"Click element(""@text='System Administrator'"")",,1145,Passed,"",ft.action,
"Think: 0 (sec).",,29,Passed,"",basic.comment,
"[3] Expand Node from the List",,3049,Passed,"",basic.stepGroup,
"Click element(""@text='Concurrent'"")",,2949,Passed,"",ft.action,
"Think: 0 (sec).",,19,Passed,"",basic.comment,
"[4] Click on the link under the Node",,1183,Passed,"",basic.stepGroup,
"WaitForPage https://erpptp1.fin.yahoo.com:8000/OA_HTML/OA.jsp?OAFunc=OAHOMEPAGE#dummyAnchor",,422,Passed,"",web.pageComplete,
"Frame (URL=https://erpptp1.fin.yahoo.com:8000/OA_HTML/cabo/images/skyros/t.htm)",,0,Passed,"",web.frame,
"Frame (URL=https://erpptp1.fin.yahoo.com:8000/OA_HTML/blank.html)",,0,Passed,"",web.frame,
"Click element(""@text='Requests'"")",,591,Passed,"",ft.action,
"Close window(""@name='JOBS_QF'"")",,35454,Passed,"",ft.action,
"Activate window(""@name='NAVIGATOR'"")",,42,Passed,"",ft.action,
"Think: 10 (sec).",,10022,Passed,"",basic.comment,
