336229,1,CreateAPPayment,9/19/2017 11:34:05 AM,Passed,9/19/2017 11:28:28 AM,basic.step,AP Sceanrios,,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,120058,Passed,"",basic.init,
"Launch Browser: InternetExplorer 8.0.7601.17514",,1947,Passed,"",basic.step,
"Call Function: EBS_Reusable_Methods.login_EBS",,25961,Passed,"",basic.stepGroup,
"Launch Browser: InternetExplorer 8.0.7601.17514",,1394,Passed,"",basic.step,
"Think: 0 (sec).",,31,Passed,"",basic.comment,
"[1] Import Excel",,19130,Passed,"",basic.stepGroup,
"Info",,1,Passed,"Comments: selected environment is ++ ",basic.comment,
"Info",,0,Passed,"Comments: oatsuser",basic.comment,
"Navigate https://erpptp1.fin.yahoo.com:8000/",2,75,Passed,"",ft.action,
"Think: 10 (sec).",,10019,Passed,"",basic.comment,
"Click link(""@text='Continue to this website (not recommended).'"")",,242,Passed,"",ft.action,
"WaitForPage res://ieframe.dll/invalidcert.htm?SSLError=67108864#https://erpptp1.fin.yahoo.com:8000/",,418,Passed,"",web.pageComplete,
"SetText textBox(""@id='usernameField'"") oatsuser",,7162,Passed,"",ft.action,
"SetPassword textBox(""@id='passwordField'"") ******",,81,Passed,"",ft.action,
"Click button(""@index='0'"")",,185,Passed,"",ft.action,
"WaitForPage https://erpptp1.fin.yahoo.com:8000/OA_HTML/AppsLocalLogin.jsp",,365,Passed,"",web.pageComplete,
"Call Function: EBS_Reusable_Methods.expand_NodeFromList",,47041,Passed,"",basic.stepGroup,
"Think: 0 (sec).",,20,Passed,"",basic.comment,
"[3] Expand Node from the List",,4383,Passed,"",basic.stepGroup,
"Click element(""@text='System Administrator'"")",,4333,Passed,"",ft.action,
"Think: 0 (sec).",,23,Passed,"",basic.comment,
"[3] Expand Node from the List",,3018,Passed,"",basic.stepGroup,
"Click element(""@text='Concurrent'"")",,2955,Passed,"",ft.action,
"Think: 0 (sec).",,16,Passed,"",basic.comment,
"[4] Click on the link under the Node",,1205,Passed,"",basic.stepGroup,
"WaitForPage https://erpptp1.fin.yahoo.com:8000/OA_HTML/OA.jsp?OAFunc=OAHOMEPAGE#dummyAnchor",,414,Passed,"",web.pageComplete,
"Frame (URL=https://erpptp1.fin.yahoo.com:8000/OA_HTML/cabo/images/skyros/t.htm)",,0,Passed,"",web.frame,
"Frame (URL=https://erpptp1.fin.yahoo.com:8000/OA_HTML/blank.html)",,0,Passed,"",web.frame,
"Click element(""@text='Requests'"")",,617,Passed,"",ft.action,
"Close window(""@name='JOBS_QF'"")",,34414,Passed,"",ft.action,
"Activate window(""@name='NAVIGATOR'"")",,42,Passed,"",ft.action,
"Think: 10 (sec).",,10021,Passed,"",basic.comment,
