278280,1,CreateAPElectronicPayment,10/31/2017 15:07:38 PM,Passed,10/31/2017 15:02:59 PM,basic.step,AP Sceanrios,,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,95947,Passed,"",basic.init,
"Launch Browser: InternetExplorer 10.0.9200.17609",,2212,Passed,"",basic.step,
"Call Function: EBS_Reusable_Methods.login_EBS",,19103,Passed,"",basic.stepGroup,
"Launch Browser: InternetExplorer 10.0.9200.17609",,1506,Passed,"",basic.step,
"Think: 0 (sec).",,24,Passed,"",basic.comment,
"[1] Import Excel",,12136,Passed,"",basic.stepGroup,
"Info",,1,Passed,"Comments: selected environment is ++ ",basic.comment,
"Info",,0,Passed,"Comments: oatsuser",basic.comment,
"Navigate https://erpint.fin.yahoo.com:8000/",2,86,Passed,"",ft.action,
"Think: 10 (sec).",,10810,Passed,"",basic.comment,
"SetText textBox(""@id='usernameField'"") oatsuser",,147,Passed,"",ft.action,
"SetPassword textBox(""@id='passwordField'"") ******",,39,Passed,"",ft.action,
"Click button(""@index='0'"")",,120,Passed,"",ft.action,
"WaitForPage https://erpint.fin.yahoo.com:8000/OA_HTML/AppsLocalLogin.jsp",,478,Passed,"",web.pageComplete,
"Call Function: EBS_Reusable_Methods.expand_NodeFromList",,40863,Passed,"",basic.stepGroup,
"Think: 0 (sec).",,27,Passed,"",basic.comment,
"[3] Expand Node from the List",,719,Passed,"",basic.stepGroup,
"Click element(""@text='System Administrator'"")",,613,Passed,"",ft.action,
"Think: 0 (sec).",,18,Passed,"",basic.comment,
"[3] Expand Node from the List",,1525,Passed,"",basic.stepGroup,
"Click element(""@text='Concurrent'"")",,1463,Passed,"",ft.action,
"Think: 0 (sec).",,21,Passed,"",basic.comment,
"[4] Click on the link under the Node",,953,Passed,"",basic.stepGroup,
"WaitForPage https://erpint.fin.yahoo.com:8000/OA_HTML/OA.jsp?OAFunc=OAHOMEPAGE#dummyAnchor",,459,Passed,"",web.pageComplete,
"Frame (URL=https://erpint.fin.yahoo.com:8000/OA_HTML/cabo/images/skyros/t.htm)",,0,Passed,"",web.frame,
"Frame (URL=https://erpint.fin.yahoo.com:8000/OA_HTML/blank.html)",,0,Passed,"",web.frame,
"Click element(""@text='Requests'"")",,310,Passed,"",ft.action,
"Close window(""@name='JOBS_QF'"")",,23003,Passed,"",ft.action,
"Activate window(""@name='NAVIGATOR'"")",,18,Passed,"",ft.action,
"Think: 10 (sec).",,10022,Passed,"",basic.comment,
"Iteration Total (sec)",,181964,Passed,"",basic.iteration,
"Call Function: EBS_Reusable_Methods.generateUniqueData",,18,Passed,"",basic.stepGroup,
"Call Function: EBS_Reusable_Methods.SwitchResponsibility",,10127,Passed,"",basic.stepGroup,
"ClickToolbarButton window(""@name='NAVIGATOR'"") Switch Responsibility...",,893,Passed,"",ft.action,
"Think: 2 (sec).",,2020,Passed,"",basic.comment,
"Find listOfValues(""forms:listOfValues"") Payables Manager",,1085,Passed,"",ft.action,
"SelectItem treeList(""@name='NAVIGATOR_LIST_0'"") Invoices",,763,Passed,"",ft.action,
"Call Function: EBS_Reusable_Methods.selecttreelist",,884,Passed,"",basic.stepGroup,
"FocusItem treeList(""@name='NAVIGATOR_LIST_0'"") Invoices|Entry",,164,Passed,"",ft.action,
"SelectItem treeList(""@name='NAVIGATOR_LIST_0'"") Invoices|Entry",,621,Passed,"",ft.action,
"Call Function: EBS_Reusable_Methods.selecttreelist",,2183,Passed,"",basic.stepGroup,
"FocusItem treeList(""@name='NAVIGATOR_LIST_0'"") Invoices|Entry|Invoice Batches",,166,Passed,"",ft.action,
"SelectItem treeList(""@name='NAVIGATOR_LIST_0'"") Invoices|Entry|Invoice Batches",,1938,Passed,"",ft.action,
"SetText textField(""@name='BAT_SUM_FOLDER_BATCH_NAME_0'"") OATS-435",,185,Passed,"",ft.action,
"Click button(""@name='BAT_CONTROL_BLOCK_INVOICE_0'"")",,2769,Passed,"",ft.action,
"Call Function: EBS_Reusable_Methods.generateUniqueData",,12,Passed,"",basic.stepGroup,
"Call Function: EBS_Reusable_Methods.getDateTimeFormat",,82,Passed,"",basic.stepGroup,
"Info",,0,Passed,"Comments: insside getDateTimeFormat",basic.comment,
"Info",,0,Passed,"Comments: 31-Oct-2017",basic.comment,
"SetText textField(""@name='INV_SUM_FOLDER_VENDOR_NAME_0'"") 360CONFERENCES CORP",,1121,Passed,"",ft.action,
"InvokeSoftKey textField(""@name='INV_SUM_FOLDER_VENDOR_NAME_0'"")",,1461,Passed,"",ft.action,
"Click textField(""@name='INV_SUM_FOLDER_INVOICE_DATE_0'"") ",,1087,Passed,"",ft.action,
"SetText textField(""@name='INV_SUM_FOLDER_INVOICE_DATE_0'"") 31-Oct-2017",,685,Passed,"",ft.action,
"InvokeSoftKey textField(""@name='INV_SUM_FOLDER_INVOICE_DATE_0'"")",,1281,Passed,"",ft.action,
"SetText textField(""@name='INV_SUM_FOLDER_INVOICE_NUM_0'"") INV-452",,167,Passed,"",ft.action,
"SetText textField(""@name='INV_SUM_FOLDER_INVOICE_AMOUNT_DSP_0'"") 50",,767,Passed,"",ft.action,
"InvokeSoftKey textField(""@name='INV_SUM_FOLDER_INVOICE_AMOUNT_DSP_0'"")",,781,Passed,"",ft.action,
"SetText textField(""@name='INV_SUM_FOLDER_IBY_PAYMENT_METHOD_0'"") Electronic",,1192,Passed,"",ft.action,
"InvokeSoftKey textField(""@name='INV_SUM_FOLDER_IBY_PAYMENT_METHOD_0'"")",,1066,Passed,"",ft.action,
"SelectItem tab(""@name='TAB_INVOICE_SUM_REGIONS'"") 2 Lines",,5618,Passed,"",ft.action,
"Click textField(""@name='LINE_SUM_FOLDER_AMOUNT_DISP_0'"") ",,1117,Passed,"",ft.action,
"SetText textField(""@name='LINE_SUM_FOLDER_AMOUNT_DISP_0'"") 50",,170,Passed,"",ft.action,
"InvokeSoftKey textField(""@name='LINE_SUM_FOLDER_AMOUNT_DISP_0'"")",,727,Passed,"",ft.action,
"Click button(""@name='LINE_SUM_CONTROL_DISTRIBUTIONS_0'"")",,6666,Passed,"",ft.action,
"SetText textField(""@name='D_SUM_FOLDER_AMOUNT_0'"") 50",,903,Passed,"",ft.action,
"InvokeSoftKey textField(""@name='D_SUM_FOLDER_AMOUNT_0'"")",,892,Passed,"",ft.action,
"SetText textField(""@name='D_SUM_FOLDER_DIST_CODE_COMBINATION_DISP_0'"") 110-100120-1010-0000-000-000000-000-0000",,1342,Passed,"",ft.action,
"InvokeSoftKey textField(""@name='D_SUM_FOLDER_DIST_CODE_COMBINATION_DISP_0'"")",,1349,Passed,"",ft.action,
"Call Function: EBS_Reusable_Methods.GetText",,214,Passed,"",basic.stepGroup,
"Info",,1,Passed,"Comments: Text: 110-100120-1010-0000-000-000000-000-0000",basic.comment,
"Info",,0,Passed,"Comments: distribution acctnumber is 110-100120-1010-0000-000-000000-000-0000",basic.comment,
"ClickToolbarButton window(""@name='DIST_SUMMARY'"") Save",,3300,Passed,"",ft.action,
"Close window(""@name='DIST_SUMMARY'"")",,1201,Passed,"",ft.action,
"Click button(""@name='INV_SUM_CONTROL_ACTIONS_0'"")",,3311,Passed,"",ft.action,
"Check checkBox(""@name='INV_SUM_ACTIONS_APPROVE_0'"") true",,970,Passed,"",ft.action,
"Click button(""@name='INV_SUM_ACTIONS_OK_BUTTON_0'"")",,23275,Passed,"",ft.action,
"Think: 10 (sec).",,10017,Passed,"",basic.comment,
"Call Function: EBS_Reusable_Methods.GetText",,235,Passed,"",basic.stepGroup,
"Info",,0,Passed,"Comments: Text: Validated",basic.comment,
"Info",,1,Passed,"Comments: Validated",basic.comment,
"Reported Pass",,0,Passed,"Comments: Invoice gotValidated",basic.comment,
"Click button(""@name='INV_SUM_CONTROL_ACTIONS_0'"")",,2926,Passed,"",ft.action,
"Think: 10 (sec).",,10020,Passed,"",basic.comment,
"Check checkBox(""@name='INV_SUM_ACTIONS_CREATE_ACCOUNTING_0'"") true",,871,Passed,"",ft.action,
"SelectItem radioGroup(""@name='INV_SUM_ACTIONS_ACCOUNTING_DETAILS_FINAL_POST_0'"")",,1121,Passed,"",ft.action,
"Click button(""@name='INV_SUM_ACTIONS_OK_BUTTON_0'"")",,7778,Passed,"",ft.action,
"ClickButton choiceBox(""forms:choiceBox"") OK",,3613,Passed,"",ft.action,
"Call Function: EBS_Reusable_Methods.GetText",,254,Passed,"",basic.stepGroup,
"Info",,0,Passed,"Comments: Text: Yes",basic.comment,
"Reported Pass",,0,Passed,"Comments: Credit Memo Invoice is Accounted sucessfully",basic.comment,
"SelectItem tab(""@name='TAB_INVOICE_SUM_REGIONS'"") 5 Scheduled Payments",,1766,Passed,"",ft.action,
"Click button(""@name='PYS_BUTTON_PLATTE_PAY_0'"")",,2085,Passed,"",ft.action,
"ClickButton choiceBox(""forms:choiceBox"") OK",,4138,Passed,"",ft.action,
"SetText textField(""@name='PAY_SUM_FOLDER_PAYMENT_PROFILE_NAME_0'"") US NACHA Generic",,2303,Passed,"",ft.action,
"InvokeSoftKey textField(""@name='PAY_SUM_FOLDER_PAYMENT_PROFILE_NAME_0'"")",,1637,Passed,"",ft.action,
"Call Function: EBS_Reusable_Methods.GetText",,289,Passed,"",basic.stepGroup,
"Info",,0,Passed,"Comments: Text: ",basic.comment,
"ClickToolbarButton window(""@name='PAYMENTS_SUM_FOLDER_WINDOW'"") Save",,5866,Passed,"",ft.action,
"Think: 5 (sec).",,5016,Passed,"",basic.comment,
"Call Function: EBS_Reusable_Methods.GetText",,276,Passed,"",basic.stepGroup,
"Info",,0,Passed,"Comments: Text: INV-452",basic.comment,
"Info",,0,Passed,"Comments: INV-452",basic.comment,
"Click button(""@name='PAY_CONTROL_ACTIONS_0'"")",,3062,Passed,"",ft.action,
"Think: 10 (sec).",,10011,Passed,"",basic.comment,
"Check checkBox(""@name='PAY_ACTIONS_CREATE_ACCOUNTING_0'"") true",,443,Passed,"",ft.action,
"SelectItem radioGroup(""@name='PAY_ACTIONS_ACCOUNTING_DETAILS_FINAL_POST_0'"")",,1312,Passed,"",ft.action,
"Click button(""@name='PAY_ACTIONS_OK_BUTTON_0'"")",,8338,Passed,"",ft.action,
"Think: 10 (sec).",,10040,Passed,"",basic.comment,
"ClickButton choiceBox(""forms:choiceBox"") OK",,4679,Passed,"",ft.action,
