142589,1,AR Invoice,9/07/2017 16:39:49 PM,Passed,9/07/2017 16:37:26 PM,basic.step,OFT,,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,95415,Passed,"",basic.init,
"Launch Browser: InternetExplorer 8.0.7601.17514",,1989,Passed,"",basic.step,
"Call Function: EBS_Reusable_Methods.login_EBS",,18848,Passed,"",basic.stepGroup,
"Launch Browser: InternetExplorer 8.0.7601.17514",,1350,Passed,"",basic.step,
"Think: 0 (sec).",,25,Passed,"",basic.comment,
"[1] Import Excel",,12092,Passed,"",basic.stepGroup,
"Info",,1,Passed,"Comments: selected environment is ++ ",basic.comment,
"Info",,1,Passed,"Comments: oatsuser",basic.comment,
"Navigate https://erpint.fin.yahoo.com:8000/",2,74,Passed,"",ft.action,
"Think: 10 (sec).",,10040,Passed,"",basic.comment,
"WaitForPage https://erpint.fin.yahoo.com:8000/OA_HTML/AppsLocalLogin.jsp",,415,Passed,"",web.pageComplete,
"Click link(""@text='Continue to this website (not recommended).'"")",,238,Passed,"",ft.action,
"SetText textBox(""@id='usernameField'"") oatsuser",,120,Passed,"",ft.action,
"SetPassword textBox(""@id='passwordField'"") ******",,65,Passed,"",ft.action,
"Click button(""@index='0'"")",,175,Passed,"",ft.action,
"WaitForPage https://erpint.fin.yahoo.com:8000/OA_HTML/AppsLocalLogin.jsp#",,366,Passed,"",web.pageComplete,
"Call Function: EBS_Reusable_Methods.expand_NodeFromList",,43101,Passed,"",basic.stepGroup,
"Think: 0 (sec).",,19,Passed,"",basic.comment,
"[3] Expand Node from the List",,465,Passed,"",basic.stepGroup,
"Click element(""@text='System Administrator'"")",,375,Passed,"",ft.action,
"Think: 0 (sec).",,13,Passed,"",basic.comment,
"[3] Expand Node from the List",,2175,Passed,"",basic.stepGroup,
"Click element(""@text='Concurrent'"")",,2113,Passed,"",ft.action,
"Think: 0 (sec).",,16,Passed,"",basic.comment,
"[4] Click on the link under the Node",,2060,Passed,"",basic.stepGroup,
"WaitForPage https://erpint.fin.yahoo.com:8000/OA_HTML/OA.jsp?OAFunc=OAHOMEPAGE#dummyAnchor",,419,Passed,"",web.pageComplete,
"Frame (URL=https://erpint.fin.yahoo.com:8000/OA_HTML/cabo/images/skyros/t.htm)",,0,Passed,"",web.frame,
"Frame (URL=https://erpint.fin.yahoo.com:8000/OA_HTML/blank.html)",,0,Passed,"",web.frame,
"Click element(""@text='Requests'"")",,1427,Passed,"",ft.action,
"Close window(""@name='JOBS_QF'"")",,20977,Passed,"",ft.action,
"Activate window(""@name='NAVIGATOR'"")",,15,Passed,"",ft.action,
"Think: 10 (sec).",,9825,Passed,"",basic.comment,
"Iteration Total (sec)",,46749,Passed,"",basic.iteration,
"Info",,1,Passed,"Comments: 110-100130-1013-0000-000-000000-000-0000",basic.comment,
"Info",,0,Passed,"Comments: 110-100300-1015-0000-000-000000-000-0000",basic.comment,
"Info",,0,Passed,"Comments: 30",basic.comment,
"Call Function: EBS_Reusable_Methods.SwitchResponsibility",,10293,Passed,"",basic.stepGroup,
"ClickToolbarButton window(""@name='NAVIGATOR'"") Switch Responsibility...",,917,Passed,"",ft.action,
"Think: 2 (sec).",,2019,Passed,"",basic.comment,
"Find listOfValues(""forms:listOfValues"") Receivables Manager",,1223,Passed,"",ft.action,
"SelectItem treeList(""@name='NAVIGATOR_LIST_0'"") Transactions",191,768,Passed,"",ft.action,
"FocusItem treeList(""@name='NAVIGATOR_LIST_0'"") Transactions|Transactions",214,644,Passed,"",ft.action,
"SelectItem treeList(""@name='NAVIGATOR_LIST_0'"") Transactions|Transactions",215,2720,Passed,"",ft.action,
"SetText textField(""@name='TGW_HEADER_BS_BATCH_SOURCE_NAME_MIR_0'"") US M",240,314,Passed,"",ft.action,
"InvokeSoftKey textField(""@name='TGW_HEADER_BS_BATCH_SOURCE_NAME_MIR_0'"")",241,465,Passed,"",ft.action,
"SelectItem  list(""@name='TGW_HEADER_CTT_CLASS_MIR_0'"") Invoice",244,595,Passed,"",ft.action,
"InvokeSoftKey list(""@name='TGW_HEADER_CTT_CLASS_MIR_0'"")",245,343,Passed,"",ft.action,
"OpenDialog textField(""@name='TGW_HEADER_CTT_TYPE_NAME_MIR_0'"")",247,1408,Passed,"",ft.action,
"Activate window(""@name='TMAI_HEADER'"")",248,48,Passed,"",ft.action,
"Select listOfValues(""forms:listOfValues"") Invoice|Invoice|Regular Invoice",249,382,Passed,"",ft.action,
"SetText textField(""@name='TGW_HEADER_RAC_SHIP_TO_CUSTOMER_NUM_MIR_0'"") 1000145398",261,348,Passed,"",ft.action,
"InvokeSoftKey textField(""@name='TGW_HEADER_RAC_SHIP_TO_CUSTOMER_NUM_MIR_0'"")",,368,Passed,"",ft.action,
"SetText textField(""@name='TGW_HEADER_RAC_BILL_TO_CUSTOMER_NUM_MIR_0'"") 1000145398",259,331,Passed,"",ft.action,
"InvokeSoftKey textField(""@name='TGW_HEADER_RAC_BILL_TO_CUSTOMER_NUM_MIR_0'"")",259,242,Passed,"",ft.action,
"Click button(""@name='TGW_HEADER_HEADER_LINE_ITEMS_0'"")",263,2378,Passed,"",ft.action,
"SetFocus textField(""@name='TLIN_LINES_LINE_NUMBER_0'"")",267,123,Passed,"",ft.action,
