156519,1,AR Invoice and Receipt Creation,10/02/2017 17:50:42 PM,Failed,10/02/2017 17:48:05 PM,basic.step,AR Sceanrios,,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,99571,Passed,"",basic.init,
"Launch Browser: InternetExplorer 10.0.9200.17609",,2099,Passed,"",basic.step,
"Call Function: EBS_Reusable_Methods.login_EBS",,21634,Passed,"",basic.stepGroup,
"Launch Browser: InternetExplorer 10.0.9200.17609",,1492,Passed,"",basic.step,
"Think: 0 (sec).",,35,Passed,"",basic.comment,
"[1] Import Excel",,14578,Passed,"",basic.stepGroup,
"Info",,0,Passed,"Comments: selected environment is ++ ",basic.comment,
"Info",,0,Passed,"Comments: oatsuser",basic.comment,
"Navigate https://erpptp1.fin.yahoo.com:8000/",2,60,Passed,"",ft.action,
"Think: 10 (sec).",,10023,Passed,"",basic.comment,
"Click link(""@text='Continue to this website (not recommended).'"")",,109,Passed,"",ft.action,
"ClickButton dialog(""@text='The current webpage is trying to open a site in your Trusted sites list. Do you want to allow this?'"") 0",,543,Passed,"",ft.action,
"WaitForPage https://erpptp1.fin.yahoo.com:8000/",,408,Passed,"",web.pageComplete,
"SetText textBox(""@id='usernameField'"") oatsuser",,2115,Passed,"",ft.action,
"SetPassword textBox(""@id='passwordField'"") ******",,36,Passed,"",ft.action,
"Click button(""@index='0'"")",,84,Passed,"",ft.action,
"WaitForPage https://erpptp1.fin.yahoo.com:8000/OA_HTML/AppsLocalLogin.jsp",,383,Passed,"",web.pageComplete,
"Call Function: EBS_Reusable_Methods.expand_NodeFromList",,42435,Passed,"",basic.stepGroup,
"Think: 0 (sec).",,19,Passed,"",basic.comment,
"[3] Expand Node from the List",,371,Passed,"",basic.stepGroup,
"Click element(""@text='System Administrator'"")",,295,Passed,"",ft.action,
"Think: 0 (sec).",,19,Passed,"",basic.comment,
"[3] Expand Node from the List",,2795,Passed,"",basic.stepGroup,
"Click element(""@text='Concurrent'"")",,2731,Passed,"",ft.action,
"Think: 0 (sec).",,22,Passed,"",basic.comment,
"[4] Click on the link under the Node",,1178,Passed,"",basic.stepGroup,
"WaitForPage https://erpptp1.fin.yahoo.com:8000/OA_HTML/OA.jsp?OAFunc=OAHOMEPAGE#dummyAnchor",,436,Passed,"",web.pageComplete,
"Frame (URL=https://erpptp1.fin.yahoo.com:8000/OA_HTML/cabo/images/skyros/t.htm)",,0,Passed,"",web.frame,
"Frame (URL=https://erpptp1.fin.yahoo.com:8000/OA_HTML/blank.html)",,0,Passed,"",web.frame,
"Click element(""@text='Requests'"")",,548,Passed,"",ft.action,
"Close window(""@name='JOBS_QF'"")",,22433,Passed,"",ft.action,
"Activate window(""@name='NAVIGATOR'"")",,11,Passed,"",ft.action,
"Think: 10 (sec).",,10022,Passed,"",basic.comment,
"Iteration Total (sec)",,21144,Failed,"",basic.iteration,
"Call Function: EBS_Reusable_Methods.SwitchResponsibility",,10075,Passed,"",basic.stepGroup,
"ClickToolbarButton window(""@name='NAVIGATOR'"") Switch Responsibility...",,764,Passed,"",ft.action,
"Think: 2 (sec).",,2022,Passed,"",basic.comment,
"Find listOfValues(""forms:listOfValues"") Receivables Manager",,1149,Passed,"",ft.action,
"SelectItem treeList(""@name='NAVIGATOR_LIST_0'"") Transactions",,694,Passed,"",ft.action,
"FocusItem treeList(""@name='NAVIGATOR_LIST_0'"") Transactions|Transactions",,554,Passed,"",ft.action,
"SelectItem treeList(""@name='NAVIGATOR_LIST_0'"") Transactions|Transactions",,3258,Passed,"",ft.action,
"SetText textField(""@name='TGW_HEADER_BS_BATCH_SOURCE_NAME_MIR_0'"") US Manual",,297,Passed,"",ft.action,
"InvokeSoftKey textField(""@name='TGW_HEADER_BS_BATCH_SOURCE_NAME_MIR_0'"")",,1091,Passed,"",ft.action,
"SelectItem  list(""@name='TGW_HEADER_CTT_CLASS_MIR_0'"") Invoice",,459,Passed,"",ft.action,
"InvokeSoftKey list(""@name='TGW_HEADER_CTT_CLASS_MIR_0'"")",,220,Passed,"",ft.action,
"SetText textField(""@name='TGW_HEADER_CTT_TYPE_NAME_MIR_0'"") Invoice",,467,Passed,"",ft.action,
"SetText textField(""@name='TGW_HEADER_RAC_SHIP_TO_CUSTOMER_NUM_MIR_0'"") hgy",261,895,Passed,"",ft.action,
"InvokeSoftKey textField(""@name='TGW_HEADER_RAC_SHIP_TO_CUSTOMER_NUM_MIR_0'"")",,1653,Passed,"",ft.action,
"Forms Screen shot",,226,Passed,"",ft.screenshot,
"Reported Failure",,1,Failed,"unexpected window with message:Value entered is not valid for current field.  Please
re-enter.
",basic.comment,
"Failure",,0,Failed,"given customer doesnot exists",basic.comment,
"Finish Total (sec)",,35437,Passed,"",basic.finish,
"Call Function: EBS_Reusable_Methods.ERPLogout",,35367,Passed,"",basic.stepGroup,
"SelectMenuItem window(""@name='NAVIGATOR'"") File|Exit Oracle Applications",,30134,Passed,"",ft.action,
"Info",,0,Passed,"Comments: Value entered is not valid for current field.  Please
re-enter.
",basic.comment,
"ClickButton choiceBox(""forms:choiceBox"") OK",,549,Passed,"",ft.action,
"closeBrowser",,10,Passed,"",ft.action,
"Click link(""@text='Logout'"")",,382,Passed,"",ft.action,
"WaitForPage https://erpptp1.fin.yahoo.com:8000/OA_HTML/OA.jsp?OAFunc=OAHOMEPAGE#",,538,Passed,"",web.pageComplete,
"Frame (URL=https://erpptp1.fin.yahoo.com:8000/OA_HTML/cabo/images/skyros/t.htm)",,0,Passed,"",web.frame,
"Frame (URL=https://erpptp1.fin.yahoo.com:8000/forms/frmservlet?appletmode=nonforms&HTMLpageTitle=&HTMLpreApplet=&code=oracle/apps/fnd/formsClient/FormsLauncher.class&width=400&height=300&archive=/OA_JAVA/oracle/apps/fnd/jar/fndforms.jar,/OA_JAVA/oracl...",,0,Passed,"",web.frame,
"closeBrowser",,11,Passed,"",ft.action,
