584026,1,AR Invoice and Receipt Creation,10/02/2017 14:09:07 PM,Passed,10/02/2017 13:59:22 PM,basic.step,AR Sceanrios,,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,97207,Passed,"",basic.init,
"Launch Browser: InternetExplorer 10.0.9200.17609",,2138,Passed,"",basic.step,
"Call Function: EBS_Reusable_Methods.login_EBS",,22458,Passed,"",basic.stepGroup,
"Launch Browser: InternetExplorer 10.0.9200.17609",,1453,Passed,"",basic.step,
"Think: 0 (sec).",,28,Passed,"",basic.comment,
"[1] Import Excel",,15491,Passed,"",basic.stepGroup,
"Info",,1,Passed,"Comments: selected environment is ++ ",basic.comment,
"Info",,1,Passed,"Comments: oatsuser",basic.comment,
"Navigate https://erpptp1.fin.yahoo.com:8000/",2,80,Passed,"",ft.action,
"Think: 10 (sec).",,10647,Passed,"",basic.comment,
"Click link(""@text='Continue to this website (not recommended).'"")",,200,Passed,"",ft.action,
"ClickButton dialog(""@text='The current webpage is trying to open a site in your Trusted sites list. Do you want to allow this?'"") 0",,613,Passed,"",ft.action,
"WaitForPage https://erpptp1.fin.yahoo.com:8000/",,448,Passed,"",web.pageComplete,
"SetText textBox(""@id='usernameField'"") oatsuser",,2324,Passed,"",ft.action,
"SetPassword textBox(""@id='passwordField'"") ******",,38,Passed,"",ft.action,
"Click button(""@index='0'"")",,91,Passed,"",ft.action,
"WaitForPage https://erpptp1.fin.yahoo.com:8000/OA_HTML/AppsLocalLogin.jsp",,375,Passed,"",web.pageComplete,
"Call Function: EBS_Reusable_Methods.expand_NodeFromList",,41970,Passed,"",basic.stepGroup,
"Think: 0 (sec).",,20,Passed,"",basic.comment,
"[3] Expand Node from the List",,441,Passed,"",basic.stepGroup,
"Click element(""@text='System Administrator'"")",,329,Passed,"",ft.action,
"Think: 0 (sec).",,18,Passed,"",basic.comment,
"[3] Expand Node from the List",,2779,Passed,"",basic.stepGroup,
"Click element(""@text='Concurrent'"")",,2719,Passed,"",ft.action,
"Think: 0 (sec).",,15,Passed,"",basic.comment,
"[4] Click on the link under the Node",,1093,Passed,"",basic.stepGroup,
"WaitForPage https://erpptp1.fin.yahoo.com:8000/OA_HTML/OA.jsp?OAFunc=OAHOMEPAGE#dummyAnchor",,399,Passed,"",web.pageComplete,
"Frame (URL=https://erpptp1.fin.yahoo.com:8000/OA_HTML/cabo/images/skyros/t.htm)",,0,Passed,"",web.frame,
"Frame (URL=https://erpptp1.fin.yahoo.com:8000/OA_HTML/blank.html)",,0,Passed,"",web.frame,
"Click element(""@text='Requests'"")",,533,Passed,"",ft.action,
"Close window(""@name='JOBS_QF'"")",,19949,Passed,"",ft.action,
"Activate window(""@name='NAVIGATOR'"")",,18,Passed,"",ft.action,
"Think: 10 (sec).",,10017,Passed,"",basic.comment,
"Iteration Total (sec)",,477713,Passed,"",basic.iteration,
"Call Function: EBS_Reusable_Methods.SwitchResponsibility",,10471,Passed,"",basic.stepGroup,
"ClickToolbarButton window(""@name='NAVIGATOR'"") Switch Responsibility...",,783,Passed,"",ft.action,
"Think: 2 (sec).",,2017,Passed,"",basic.comment,
"Find listOfValues(""forms:listOfValues"") Receivables Manager",,1537,Passed,"",ft.action,
"SelectItem treeList(""@name='NAVIGATOR_LIST_0'"") Transactions",,682,Passed,"",ft.action,
