219251,1,AR Invoice,9/25/2017 17:35:15 PM,Passed,9/25/2017 17:31:36 PM,basic.step,AR Sceanrios,,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,98551,Passed,"",basic.init,
"Launch Browser: InternetExplorer 8.0.7601.17514",,2065,Passed,"",basic.step,
"Call Function: EBS_Reusable_Methods.login_EBS",,21913,Passed,"",basic.stepGroup,
"Launch Browser: InternetExplorer 8.0.7601.17514",,1231,Passed,"",basic.step,
"Think: 0 (sec).",,19,Passed,"",basic.comment,
"[1] Import Excel",,15408,Passed,"",basic.stepGroup,
"Info",,0,Passed,"Comments: selected environment is ++ ",basic.comment,
"Info",,1,Passed,"Comments: oatsuser",basic.comment,
"Navigate https://erpptp1.fin.yahoo.com:8000/",2,75,Passed,"",ft.action,
"Think: 10 (sec).",,10147,Passed,"",basic.comment,
"Click link(""@text='Continue to this website (not recommended).'"")",,236,Passed,"",ft.action,
"WaitForPage res://ieframe.dll/invalidcert.htm?SSLError=67108864#https://erpptp1.fin.yahoo.com:8000/",,408,Passed,"",web.pageComplete,
"SetText textBox(""@id='usernameField'"") oatsuser",,3284,Passed,"",ft.action,
"SetPassword textBox(""@id='passwordField'"") ******",,93,Passed,"",ft.action,
"Click button(""@index='0'"")",,190,Passed,"",ft.action,
"WaitForPage https://erpptp1.fin.yahoo.com:8000/OA_HTML/AppsLocalLogin.jsp",,372,Passed,"",web.pageComplete,
"Call Function: EBS_Reusable_Methods.expand_NodeFromList",,42780,Passed,"",basic.stepGroup,
"Think: 0 (sec).",,17,Passed,"",basic.comment,
"[3] Expand Node from the List",,1068,Passed,"",basic.stepGroup,
"Click element(""@text='System Administrator'"")",,1023,Passed,"",ft.action,
"Think: 0 (sec).",,22,Passed,"",basic.comment,
"[3] Expand Node from the List",,1687,Passed,"",basic.stepGroup,
"Click element(""@text='Concurrent'"")",,1642,Passed,"",ft.action,
"Think: 0 (sec).",,17,Passed,"",basic.comment,
"[4] Click on the link under the Node",,961,Passed,"",basic.stepGroup,
"WaitForPage https://erpptp1.fin.yahoo.com:8000/OA_HTML/OA.jsp?OAFunc=OAHOMEPAGE#dummyAnchor",,370,Passed,"",web.pageComplete,
"Frame (URL=https://erpptp1.fin.yahoo.com:8000/OA_HTML/cabo/images/skyros/t.htm)",,0,Passed,"",web.frame,
"Frame (URL=https://erpptp1.fin.yahoo.com:8000/OA_HTML/blank.html)",,0,Passed,"",web.frame,
"Click element(""@text='Requests'"")",,350,Passed,"",ft.action,
"Close window(""@name='JOBS_QF'"")",,21164,Passed,"",ft.action,
"Activate window(""@name='NAVIGATOR'"")",,21,Passed,"",ft.action,
"Think: 10 (sec).",,9931,Passed,"",basic.comment,
"Iteration Total (sec)",,120279,Passed,"",basic.iteration,
"Call Function: EBS_Reusable_Methods.SwitchResponsibility",,10165,Passed,"",basic.stepGroup,
"ClickToolbarButton window(""@name='NAVIGATOR'"") Switch Responsibility...",,772,Passed,"",ft.action,
"Think: 2 (sec).",,2019,Passed,"",basic.comment,
"Find listOfValues(""forms:listOfValues"") Receivables Manager",,1247,Passed,"",ft.action,
"SelectItem treeList(""@name='NAVIGATOR_LIST_0'"") Transactions",191,712,Passed,"",ft.action,
"FocusItem treeList(""@name='NAVIGATOR_LIST_0'"") Transactions|Transactions",214,561,Passed,"",ft.action,
"SelectItem treeList(""@name='NAVIGATOR_LIST_0'"") Transactions|Transactions",215,2530,Passed,"",ft.action,
"SetText textField(""@name='TGW_HEADER_BS_BATCH_SOURCE_NAME_MIR_0'"") US Manual",240,308,Passed,"",ft.action,
"InvokeSoftKey textField(""@name='TGW_HEADER_BS_BATCH_SOURCE_NAME_MIR_0'"")",241,383,Passed,"",ft.action,
