158193,1,AR Invoice,9/26/2017 09:55:55 AM,Passed,9/26/2017 09:53:16 AM,basic.step,AR Sceanrios,,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,99511,Passed,"",basic.init,
"Launch Browser: InternetExplorer 8.0.7601.17514",,1988,Passed,"",basic.step,
"Call Function: EBS_Reusable_Methods.login_EBS",,23928,Passed,"",basic.stepGroup,
"Launch Browser: InternetExplorer 8.0.7601.17514",,1353,Passed,"",basic.step,
"Think: 0 (sec).",,27,Passed,"",basic.comment,
"[1] Import Excel",,17128,Passed,"",basic.stepGroup,
"Info",,1,Passed,"Comments: selected environment is ++ ",basic.comment,
"Info",,0,Passed,"Comments: oatsuser",basic.comment,
"Navigate https://erpptp1.fin.yahoo.com:8000/",2,74,Passed,"",ft.action,
"Think: 10 (sec).",,10026,Passed,"",basic.comment,
"Click link(""@text='Continue to this website (not recommended).'"")",,234,Passed,"",ft.action,
"WaitForPage res://ieframe.dll/invalidcert.htm?SSLError=67108864#https://erpptp1.fin.yahoo.com:8000/",,412,Passed,"",web.pageComplete,
"SetText textBox(""@id='usernameField'"") oatsuser",,5148,Passed,"",ft.action,
"SetPassword textBox(""@id='passwordField'"") ******",,46,Passed,"",ft.action,
"Click button(""@index='0'"")",,195,Passed,"",ft.action,
"WaitForPage https://erpptp1.fin.yahoo.com:8000/OA_HTML/AppsLocalLogin.jsp",,363,Passed,"",web.pageComplete,
"Call Function: EBS_Reusable_Methods.expand_NodeFromList",,42739,Passed,"",basic.stepGroup,
"Think: 0 (sec).",,24,Passed,"",basic.comment,
"[3] Expand Node from the List",,1222,Passed,"",basic.stepGroup,
"Click element(""@text='System Administrator'"")",,1169,Passed,"",ft.action,
"Think: 0 (sec).",,25,Passed,"",basic.comment,
"[3] Expand Node from the List",,1931,Passed,"",basic.stepGroup,
"Click element(""@text='Concurrent'"")",,1863,Passed,"",ft.action,
"Think: 0 (sec).",,14,Passed,"",basic.comment,
"[4] Click on the link under the Node",,1107,Passed,"",basic.stepGroup,
"WaitForPage https://erpptp1.fin.yahoo.com:8000/OA_HTML/OA.jsp?OAFunc=OAHOMEPAGE#dummyAnchor",,411,Passed,"",web.pageComplete,
"Frame (URL=https://erpptp1.fin.yahoo.com:8000/OA_HTML/cabo/images/skyros/t.htm)",,0,Passed,"",web.frame,
"Frame (URL=https://erpptp1.fin.yahoo.com:8000/OA_HTML/blank.html)",,0,Passed,"",web.frame,
"Click element(""@text='Requests'"")",,397,Passed,"",ft.action,
"Close window(""@name='JOBS_QF'"")",,20066,Passed,"",ft.action,
"Activate window(""@name='NAVIGATOR'"")",,22,Passed,"",ft.action,
"Think: 10 (sec).",,10037,Passed,"",basic.comment,
"Iteration Total (sec)",,58284,Passed,"",basic.iteration,
"Call Function: EBS_Reusable_Methods.SwitchResponsibility",,10066,Passed,"",basic.stepGroup,
