363374,1,AR Invoicewithmultiplelines&distributions,10/23/2017 18:41:14 PM,Passed,10/23/2017 18:35:10 PM,basic.step,AR Sceanrios,,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,104165,Passed,"",basic.init,
"Launch Browser: InternetExplorer 10.0.9200.17609",,2289,Passed,"",basic.step,
"Call Function: EBS_Reusable_Methods.login_EBS",,18317,Passed,"",basic.stepGroup,
"Launch Browser: InternetExplorer 10.0.9200.17609",,1498,Passed,"",basic.step,
"Think: 0 (sec).",,27,Passed,"",basic.comment,
"[1] Import Excel",,11310,Passed,"",basic.stepGroup,
"Info",,1,Passed,"Comments: selected environment is ++ ",basic.comment,
"Info",,0,Passed,"Comments: oatsuser",basic.comment,
"Navigate https://erpint.fin.yahoo.com:8000/",2,74,Passed,"",ft.action,
"Think: 10 (sec).",,10032,Passed,"",basic.comment,
"SetText textBox(""@id='usernameField'"") oatsuser",,133,Passed,"",ft.action,
"SetPassword textBox(""@id='passwordField'"") ******",,40,Passed,"",ft.action,
"Click button(""@index='0'"")",,119,Passed,"",ft.action,
"WaitForPage https://erpint.fin.yahoo.com:8000/OA_HTML/AppsLocalLogin.jsp",,432,Passed,"",web.pageComplete,
"Call Function: EBS_Reusable_Methods.expand_NodeFromList",,40962,Passed,"",basic.stepGroup,
"Think: 0 (sec).",,22,Passed,"",basic.comment,
"[3] Expand Node from the List",,441,Passed,"",basic.stepGroup,
"Click element(""@text='System Administrator'"")",,340,Passed,"",ft.action,
"Think: 0 (sec).",,19,Passed,"",basic.comment,
"[3] Expand Node from the List",,1437,Passed,"",basic.stepGroup,
"Click element(""@text='Concurrent'"")",,1373,Passed,"",ft.action,
"Think: 0 (sec).",,20,Passed,"",basic.comment,
"[4] Click on the link under the Node",,885,Passed,"",basic.stepGroup,
"WaitForPage https://erpint.fin.yahoo.com:8000/OA_HTML/OA.jsp?OAFunc=OAHOMEPAGE#dummyAnchor",,416,Passed,"",web.pageComplete,
"Frame (URL=https://erpint.fin.yahoo.com:8000/OA_HTML/cabo/images/skyros/t.htm)",,0,Passed,"",web.frame,
"Frame (URL=https://erpint.fin.yahoo.com:8000/OA_HTML/blank.html)",,0,Passed,"",web.frame,
"Click element(""@text='Requests'"")",,305,Passed,"",ft.action,
"Close window(""@name='JOBS_QF'"")",,31721,Passed,"",ft.action,
"Activate window(""@name='NAVIGATOR'"")",,35,Passed,"",ft.action,
"Think: 10 (sec).",,10019,Passed,"",basic.comment,
"Iteration Total (sec)",,258730,Passed,"",basic.iteration,
"Info",,0,Passed,"Comments: ITEM Invoice",basic.comment,
"Info",,0,Passed,"Comments: -100",basic.comment,
"Call Function: EBS_Reusable_Methods.SwitchResponsibility",,11610,Passed,"",basic.stepGroup,
"ClickToolbarButton window(""@name='NAVIGATOR'"") Switch Responsibility...",,1541,Passed,"",ft.action,
"Think: 2 (sec).",,2034,Passed,"",basic.comment,
"Find listOfValues(""forms:listOfValues"") Receivables Manager",,1911,Passed,"",ft.action,
"SelectItem treeList(""@name='NAVIGATOR_LIST_0'"") Transactions",191,1384,Passed,"",ft.action,
"FocusItem treeList(""@name='NAVIGATOR_LIST_0'"") Transactions|Transactions",214,1202,Passed,"",ft.action,
"SelectItem treeList(""@name='NAVIGATOR_LIST_0'"") Transactions|Transactions",215,4850,Passed,"",ft.action,
"SetText textField(""@name='TGW_HEADER_BS_BATCH_SOURCE_NAME_MIR_0'"") US Manual",240,364,Passed,"",ft.action,
"InvokeSoftKey textField(""@name='TGW_HEADER_BS_BATCH_SOURCE_NAME_MIR_0'"")",241,580,Passed,"",ft.action,
"SelectItem  list(""@name='TGW_HEADER_CTT_CLASS_MIR_0'"") Credit Memo",244,746,Passed,"",ft.action,
"InvokeSoftKey list(""@name='TGW_HEADER_CTT_CLASS_MIR_0'"")",245,594,Passed,"",ft.action,
"SetText textField(""@name='TGW_HEADER_CTT_TYPE_NAME_MIR_0'"") Credit Memo",247,589,Passed,"",ft.action,
"SetText textField(""@name='TGW_HEADER_RAC_SHIP_TO_CUSTOMER_NUM_MIR_0'"") 1000145398",261,537,Passed,"",ft.action,
"InvokeSoftKey textField(""@name='TGW_HEADER_RAC_SHIP_TO_CUSTOMER_NUM_MIR_0'"")",,1006,Passed,"",ft.action,
"SetText textField(""@name='TGW_HEADER_RAC_BILL_TO_CUSTOMER_NUM_MIR_0'"") 1000145398",259,524,Passed,"",ft.action,
"InvokeSoftKey textField(""@name='TGW_HEADER_RAC_BILL_TO_CUSTOMER_NUM_MIR_0'"")",259,414,Passed,"",ft.action,
"Click button(""@name='TGW_HEADER_HEADER_LINE_ITEMS_0'"")",263,4056,Passed,"",ft.action,
"SetFocus textField(""@name='TLIN_LINES_LINE_NUMBER_0'"")",,177,Passed,"",ft.action,
"SetText textField(""@name='TLIN_LINES_DESCRIPTION_0'"") ITEM Invoice",,569,Passed,"",ft.action,
"SetText textField(""@name='TLIN_LINES_EXTENDED_AMOUNT_0'"") -100",,746,Passed,"",ft.action,
"InvokeSoftKey textField(""//forms:textField[(@name='TLIN_LINES_EXTENDED_AMOUNT_0)]"")",,29728,Passed,"",ft.action,
"Click button(""@name='TLIN_LINES_LINE_ACCOUNTING_0'"")",,4219,Passed,"",ft.action,
"Think: 5 (sec).",,4970,Passed,"",basic.comment,
"SetText textField(""@name='TACC_ACC_ASSGN_ACCOUNTING_FLEX_0'"") 110-100300-1014-0000-000-000000-000-0000",,65,Passed,"",ft.action,
"InvokeSoftKey textField(""@name='TACC_ACC_ASSGN_ACCOUNTING_FLEX_0'"")",,816,Passed,"",ft.action,
"ClickToolbarButton window(""@name='TACCOUNTS'"") Save",,574,Passed,"",ft.action,
"Close window(""@name='TACCOUNTS'"")",,923,Passed,"",ft.action,
