268812,1,ARCreditMemo Invoice,10/24/2017 17:21:02 PM,Passed,10/24/2017 17:16:32 PM,basic.step,AR Sceanrios,,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,92701,Passed,"",basic.init,
"Launch Browser: InternetExplorer 10.0.9200.17609",,2196,Passed,"",basic.step,
"Call Function: EBS_Reusable_Methods.login_EBS",,18171,Passed,"",basic.stepGroup,
"Launch Browser: InternetExplorer 10.0.9200.17609",,1443,Passed,"",basic.step,
"Think: 0 (sec).",,26,Passed,"",basic.comment,
"[1] Import Excel",,11315,Passed,"",basic.stepGroup,
"Info",,2,Passed,"Comments: selected environment is ++ ",basic.comment,
"Info",,0,Passed,"Comments: oatsuser",basic.comment,
"Navigate https://erpint.fin.yahoo.com:8000/",2,72,Passed,"",ft.action,
"Think: 10 (sec).",,10023,Passed,"",basic.comment,
"SetText textBox(""@id='usernameField'"") oatsuser",,174,Passed,"",ft.action,
"SetPassword textBox(""@id='passwordField'"") ******",,33,Passed,"",ft.action,
"Click button(""@index='0'"")",,111,Passed,"",ft.action,
"WaitForPage https://erpint.fin.yahoo.com:8000/OA_HTML/AppsLocalLogin.jsp",,432,Passed,"",web.pageComplete,
"Call Function: EBS_Reusable_Methods.expand_NodeFromList",,41209,Passed,"",basic.stepGroup,
"Think: 0 (sec).",,25,Passed,"",basic.comment,
"[3] Expand Node from the List",,424,Passed,"",basic.stepGroup,
"Click element(""@text='System Administrator'"")",,326,Passed,"",ft.action,
"Think: 0 (sec).",,20,Passed,"",basic.comment,
"[3] Expand Node from the List",,1437,Passed,"",basic.stepGroup,
"Click element(""@text='Concurrent'"")",,1375,Passed,"",ft.action,
"Think: 0 (sec).",,19,Passed,"",basic.comment,
"[4] Click on the link under the Node",,895,Passed,"",basic.stepGroup,
"WaitForPage https://erpint.fin.yahoo.com:8000/OA_HTML/OA.jsp?OAFunc=OAHOMEPAGE#dummyAnchor",,433,Passed,"",web.pageComplete,
"Frame (URL=https://erpint.fin.yahoo.com:8000/OA_HTML/cabo/images/skyros/t.htm)",,0,Passed,"",web.frame,
"Frame (URL=https://erpint.fin.yahoo.com:8000/OA_HTML/blank.html)",,0,Passed,"",web.frame,
"Click element(""@text='Requests'"")",,296,Passed,"",ft.action,
"Close window(""@name='JOBS_QF'"")",,20380,Passed,"",ft.action,
"Activate window(""@name='NAVIGATOR'"")",,17,Passed,"",ft.action,
"Think: 10 (sec).",,10020,Passed,"",basic.comment,
"Iteration Total (sec)",,175659,Passed,"",basic.iteration,
"Call Function: EBS_Reusable_Methods.SwitchResponsibility",,10094,Passed,"",basic.stepGroup,
"ClickToolbarButton window(""@name='NAVIGATOR'"") Switch Responsibility...",,884,Passed,"",ft.action,
"Think: 2 (sec).",,2019,Passed,"",basic.comment,
"Find listOfValues(""forms:listOfValues"") Receivables Manager",,1081,Passed,"",ft.action,
"SelectItem treeList(""@name='NAVIGATOR_LIST_0'"") Transactions",,696,Passed,"",ft.action,
"FocusItem treeList(""@name='NAVIGATOR_LIST_0'"") Transactions|Transactions",,697,Passed,"",ft.action,
"SelectItem treeList(""@name='NAVIGATOR_LIST_0'"") Transactions|Transactions",,2421,Passed,"",ft.action,
"SetText textField(""@name='TGW_HEADER_BS_BATCH_SOURCE_NAME_MIR_0'"") US Manual",,308,Passed,"",ft.action,
"InvokeSoftKey textField(""@name='TGW_HEADER_BS_BATCH_SOURCE_NAME_MIR_0'"")",,310,Passed,"",ft.action,
"SelectItem  list(""@name='TGW_HEADER_CTT_CLASS_MIR_0'"") Credit Memo",,451,Passed,"",ft.action,
"InvokeSoftKey list(""@name='TGW_HEADER_CTT_CLASS_MIR_0'"")",,324,Passed,"",ft.action,
"SetText textField(""@name='TGW_HEADER_CTT_TYPE_NAME_MIR_0'"") Credit Memo",,371,Passed,"",ft.action,
"SetText textField(""@name='TGW_HEADER_RAC_SHIP_TO_CUSTOMER_NUM_MIR_0'"") 1000145398",,410,Passed,"",ft.action,
"InvokeSoftKey textField(""@name='TGW_HEADER_RAC_SHIP_TO_CUSTOMER_NUM_MIR_0'"")",,305,Passed,"",ft.action,
"SetText textField(""@name='TGW_HEADER_RAC_BILL_TO_CUSTOMER_NUM_MIR_0'"") 1000145398",,338,Passed,"",ft.action,
"InvokeSoftKey textField(""@name='TGW_HEADER_RAC_BILL_TO_CUSTOMER_NUM_MIR_0'"")",,239,Passed,"",ft.action,
"Click button(""@name='TGW_HEADER_HEADER_LINE_ITEMS_0'"")",,2374,Passed,"",ft.action,
"SetFocus textField(""@name='TLIN_LINES_LINE_NUMBER_0'"")",,110,Passed,"",ft.action,
"SetText textField(""@name='TLIN_LINES_DESCRIPTION_0'"") ITEM Invoice",,422,Passed,"",ft.action,
"SetText textField(""@name='TLIN_LINES_EXTENDED_AMOUNT_0'"") -30",,445,Passed,"",ft.action,
"InvokeSoftKey textField(""@name='TLIN_LINES_EXTENDED_AMOUNT_0'"")",,525,Passed,"",ft.action,
"Click button(""@name='TLIN_LINES_LINE_ACCOUNTING_0'"")",,2055,Passed,"",ft.action,
"SetText textField(""@name='TACC_ACC_ASSGN_ACCOUNTING_FLEX_0'"") 110-100300-1014-0000-000-000000-000-0000",,70,Passed,"",ft.action,
"InvokeSoftKey textField(""@name='TACC_ACC_ASSGN_ACCOUNTING_FLEX_0'"")",,510,Passed,"",ft.action,
"ClickToolbarButton window(""@name='TACCOUNTS'"") Save",,316,Passed,"",ft.action,
"Close window(""@name='TACCOUNTS'"")",,562,Passed,"",ft.action,
"SetFocus textField(""@name='TLIN_LINES_LINE_NUMBER_0'"")",,313,Passed,"",ft.action,
"Close window(""@name='TLIN_LINES'"")",,721,Passed,"",ft.action,
"SetFocus textField(""@name='TGW_HEADER_BS_BATCH_SOURCE_NAME_MIR_0'"")",,136,Passed,"",ft.action,
"Click button(""@name='TGW_HEADER_HEADER_COMPLETE_0'"")",,2124,Passed,"",ft.action,
"SetFocus textField(""@name='TGW_HEADER_BS_BATCH_SOURCE_NAME_MIR_0'"")",,69,Passed,"",ft.action,
"Call Function: EBS_Reusable_Methods.GetText",,115,Passed,"",basic.stepGroup,
"Info",,0,Passed,"Comments: Text: 441662",basic.comment,
"SelectMenuItem window(""@name='TMAI_HEADER'"") Actions|Applications",,3061,Passed,"",ft.action,
"OpenDialog textField(""@name='APP_FOLDER_TRX_NUMBER_0'"")",,29837,Passed,"",ft.action,
"Activate window(""@name='APP_FOLDER'"")",,92,Passed,"",ft.action,
"Select listOfValues(""forms:listOfValues"") 441501",,415,Passed,"",ft.action,
"Click textField(""@name='APP_FOLDER_APPLY_DATE_0'"") ",,743,Passed,"",ft.action,
"SetText textField(""@name='RGW_FOLDER_M_APPLIED_AMOUNT_0'"") -30",,30251,Passed,"",ft.action,
"Call Function: EBS_Reusable_Methods.GetText",,128,Passed,"",basic.stepGroup,
"Info",,0,Passed,"Comments: Text: 30.00",basic.comment,
"Call Function: EBS_Reusable_Methods.GetText",,134,Passed,"",basic.stepGroup,
"Info",,0,Passed,"Comments: Text: 441501",basic.comment,
"Call Function: EBS_Reusable_Methods.GetText",,135,Passed,"",basic.stepGroup,
"Info",,0,Passed,"Comments: Text: 10.00",basic.comment,
"Activate window(""@name='APP_FOLDER'"")",,84,Passed,"",ft.action,
"ClickToolbarButton window(""@name='APP_FOLDER'"") Save",,7048,Passed,"",ft.action,
"Close window(""@name='APP_FOLDER'"")",,692,Passed,"",ft.action,
"SelectMenuItem window(""@name='TMAI_HEADER'"") Tools|Create Accounting",,3099,Passed,"",ft.action,
"Click button(""@name='SLACEXEC_OK_BP_0'"")",,50086,Passed,"",ft.action,
"Info",,0,Passed,"Comments: Accounting has been successfully created for this
transaction.",basic.comment,
"ClickButton choiceBox(""forms:choiceBox"") OK",,1294,Passed,"",ft.action,
"SelectMenuItem window(""@name='TMAI_HEADER'"") Tools|View Accounting",,3094,Passed,"",ft.action,
"WaitForPage https://erpint.fin.yahoo.com:8000/OA_HTML/RF.jsp?function_id=32604&resp_id=20678&resp_appl_id=222&security_group_id=0&lang_code=US&params=rxJALOIogQtR7OlKzcAQCp4FXkQXaOR0FZa989HD5t5MXsuh3AGd-cXWOEGfGBbSLmABzDd4YC7Ht66sJ0jYoVTwb5TGkPqoPouY-...",,3669,Passed,"",web.pageComplete,
"Frame (URL=https://erpint.fin.yahoo.com:8000/OA_HTML/cabo/images/skyros/t.htm)",,0,Passed,"",web.frame,
"Frame (URL=https://erpint.fin.yahoo.com:8000/OA_HTML/blank.html)",,0,Passed,"",web.frame,
"Info",,0,Passed,"Comments: 110-130100-0000-0000-000-000000-000-0000",basic.comment,
"Info",,0,Passed,"Comments: 110-130100-0000-0000-000-000000-000-0000",basic.comment,
"closeBrowser",317,13,Passed,"",ft.action,
"Call Function: EBS_Reusable_Methods.GetText",,214,Passed,"",basic.stepGroup,
"Info",,0,Passed,"Comments: Text: (30.00)",basic.comment,
"Close window(""@name='TMAI_HEADER'"")",,643,Passed,"",ft.action,
"Click button(""@name='NAV_CONTROLS_COLLAPSE_ALL_0'"")",,861,Passed,"",ft.action,
"SelectItem treeList(""@name='NAVIGATOR_LIST_0'"") Transactions",,892,Passed,"",ft.action,
"FocusItem treeList(""@name='NAVIGATOR_LIST_0'"") Transactions|Transactions",,722,Passed,"",ft.action,
"SelectItem treeList(""@name='NAVIGATOR_LIST_0'"") Transactions|Transactions",,2964,Passed,"",ft.action,
"InvokeSoftKey textField(""@name='TGW_HEADER_TRX_NUMBER_MIR_0'"")",,828,Passed,"",ft.action,
"SetText textField(""@name='TGW_HEADER_TRX_NUMBER_MIR_0'"") 441501",,334,Passed,"",ft.action,
"InvokeSoftKey textField(""@name='TGW_HEADER_TRX_NUMBER_MIR_0'"")",,2289,Passed,"",ft.action,
"Call Function: EBS_Reusable_Methods.GetText",,103,Passed,"",basic.stepGroup,
"Info",,0,Passed,"Comments: Text: 10.00",basic.comment,
"Finish Total (sec)",,56,Passed,"",basic.finish,
