189808,1,AR Invoice,9/26/2017 10:18:07 AM,Passed,9/26/2017 10:14:56 AM,basic.step,AR Sceanrios,,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,100582,Passed,"",basic.init,
"Launch Browser: InternetExplorer 8.0.7601.17514",,1945,Passed,"",basic.step,
"Call Function: EBS_Reusable_Methods.login_EBS",,25162,Passed,"",basic.stepGroup,
"Launch Browser: InternetExplorer 8.0.7601.17514",,1476,Passed,"",basic.step,
"Think: 0 (sec).",,30,Passed,"",basic.comment,
"[1] Import Excel",,18272,Passed,"",basic.stepGroup,
"Info",,1,Passed,"Comments: selected environment is ++ ",basic.comment,
"Info",,0,Passed,"Comments: oatsuser",basic.comment,
"Navigate https://erpptp1.fin.yahoo.com:8000/",2,85,Passed,"",ft.action,
"Think: 10 (sec).",,11038,Passed,"",basic.comment,
"Click link(""@text='Continue to this website (not recommended).'"")",,329,Passed,"",ft.action,
"WaitForPage res://ieframe.dll/invalidcert.htm?SSLError=67108864#https://erpptp1.fin.yahoo.com:8000/",,497,Passed,"",web.pageComplete,
"SetText textBox(""@id='usernameField'"") oatsuser",,4914,Passed,"",ft.action,
"SetPassword textBox(""@id='passwordField'"") ******",,47,Passed,"",ft.action,
"Click button(""@index='0'"")",,226,Passed,"",ft.action,
"WaitForPage https://erpptp1.fin.yahoo.com:8000/OA_HTML/AppsLocalLogin.jsp",,434,Passed,"",web.pageComplete,
"Call Function: EBS_Reusable_Methods.expand_NodeFromList",,41868,Passed,"",basic.stepGroup,
"Think: 0 (sec).",,21,Passed,"",basic.comment,
"[3] Expand Node from the List",,1246,Passed,"",basic.stepGroup,
"Click element(""@text='System Administrator'"")",,1195,Passed,"",ft.action,
"Think: 0 (sec).",,25,Passed,"",basic.comment,
"[3] Expand Node from the List",,1940,Passed,"",basic.stepGroup,
"Click element(""@text='Concurrent'"")",,1880,Passed,"",ft.action,
"Think: 0 (sec).",,17,Passed,"",basic.comment,
"[4] Click on the link under the Node",,1006,Passed,"",basic.stepGroup,
"WaitForPage https://erpptp1.fin.yahoo.com:8000/OA_HTML/OA.jsp?OAFunc=OAHOMEPAGE#dummyAnchor",,416,Passed,"",web.pageComplete,
"Frame (URL=https://erpptp1.fin.yahoo.com:8000/OA_HTML/cabo/images/skyros/t.htm)",,0,Passed,"",web.frame,
"Frame (URL=https://erpptp1.fin.yahoo.com:8000/OA_HTML/blank.html)",,0,Passed,"",web.frame,
"Click element(""@text='Requests'"")",,414,Passed,"",ft.action,
"Close window(""@name='JOBS_QF'"")",,21118,Passed,"",ft.action,
"Activate window(""@name='NAVIGATOR'"")",,18,Passed,"",ft.action,
"Think: 10 (sec).",,9821,Passed,"",basic.comment,
"Iteration Total (sec)",,88811,Passed,"",basic.iteration,
"Call Function: EBS_Reusable_Methods.SwitchResponsibility",,9618,Passed,"",basic.stepGroup,
"ClickToolbarButton window(""@name='NAVIGATOR'"") Switch Responsibility...",,726,Passed,"",ft.action,
"Think: 2 (sec).",,1798,Passed,"",basic.comment,
"Find listOfValues(""forms:listOfValues"") Receivables Manager",,965,Passed,"",ft.action,
"SelectItem treeList(""@name='NAVIGATOR_LIST_0'"") Transactions",191,794,Passed,"",ft.action,
"FocusItem treeList(""@name='NAVIGATOR_LIST_0'"") Transactions|Transactions",214,736,Passed,"",ft.action,
"SelectItem treeList(""@name='NAVIGATOR_LIST_0'"") Transactions|Transactions",215,2488,Passed,"",ft.action,
"SetText textField(""@name='TGW_HEADER_BS_BATCH_SOURCE_NAME_MIR_0'"") US Manual",240,300,Passed,"",ft.action,
"InvokeSoftKey textField(""@name='TGW_HEADER_BS_BATCH_SOURCE_NAME_MIR_0'"")",241,308,Passed,"",ft.action,
"SelectItem  list(""@name='TGW_HEADER_CTT_CLASS_MIR_0'"") Invoice",244,447,Passed,"",ft.action,
