347439,1,ARDMInvoicewithmultiplelines&distributions,10/23/2017 19:53:59 PM,Passed,10/23/2017 19:48:11 PM,basic.step,AR Sceanrios,,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,108465,Passed,"",basic.init,
"Launch Browser: InternetExplorer 10.0.9200.17609",,3638,Passed,"",basic.step,
"Call Function: EBS_Reusable_Methods.login_EBS",,18543,Passed,"",basic.stepGroup,
"Launch Browser: InternetExplorer 10.0.9200.17609",,1516,Passed,"",basic.step,
"Think: 0 (sec).",,40,Passed,"",basic.comment,
"[1] Import Excel",,11489,Passed,"",basic.stepGroup,
"Info",,2,Passed,"Comments: selected environment is ++ ",basic.comment,
"Info",,0,Passed,"Comments: oatsuser",basic.comment,
"Navigate https://erpint.fin.yahoo.com:8000/",2,76,Passed,"",ft.action,
"Think: 10 (sec).",,10036,Passed,"",basic.comment,
"SetText textBox(""@id='usernameField'"") oatsuser",,164,Passed,"",ft.action,
"SetPassword textBox(""@id='passwordField'"") ******",,37,Passed,"",ft.action,
"Click button(""@index='0'"")",,127,Passed,"",ft.action,
"WaitForPage https://erpint.fin.yahoo.com:8000/OA_HTML/AppsLocalLogin.jsp",,460,Passed,"",web.pageComplete,
"Call Function: EBS_Reusable_Methods.expand_NodeFromList",,42467,Passed,"",basic.stepGroup,
"Think: 0 (sec).",,28,Passed,"",basic.comment,
"[3] Expand Node from the List",,464,Passed,"",basic.stepGroup,
"Click element(""@text='System Administrator'"")",,350,Passed,"",ft.action,
"Think: 0 (sec).",,20,Passed,"",basic.comment,
"[3] Expand Node from the List",,2535,Passed,"",basic.stepGroup,
"Click element(""@text='Concurrent'"")",,2471,Passed,"",ft.action,
"Think: 0 (sec).",,22,Passed,"",basic.comment,
"[4] Click on the link under the Node",,946,Passed,"",basic.stepGroup,
"WaitForPage https://erpint.fin.yahoo.com:8000/OA_HTML/OA.jsp?OAFunc=OAHOMEPAGE#dummyAnchor",,438,Passed,"",web.pageComplete,
"Frame (URL=https://erpint.fin.yahoo.com:8000/OA_HTML/cabo/images/skyros/t.htm)",,0,Passed,"",web.frame,
"Frame (URL=https://erpint.fin.yahoo.com:8000/OA_HTML/blank.html)",,0,Passed,"",web.frame,
"Click element(""@text='Requests'"")",,317,Passed,"",ft.action,
"Close window(""@name='JOBS_QF'"")",,32795,Passed,"",ft.action,
"Activate window(""@name='NAVIGATOR'"")",,41,Passed,"",ft.action,
"Think: 10 (sec).",,10024,Passed,"",basic.comment,
"Iteration Total (sec)",,238497,Passed,"",basic.iteration,
"Info",,0,Passed,"Comments: ITEM Invoice",basic.comment,
"Info",,0,Passed,"Comments: -100",basic.comment,
"Call Function: EBS_Reusable_Methods.SwitchResponsibility",,11445,Passed,"",basic.stepGroup,
"ClickToolbarButton window(""@name='NAVIGATOR'"") Switch Responsibility...",,1316,Passed,"",ft.action,
"Think: 2 (sec).",,2024,Passed,"",basic.comment,
"Find listOfValues(""forms:listOfValues"") Receivables Manager",,1965,Passed,"",ft.action,
"SelectItem treeList(""@name='NAVIGATOR_LIST_0'"") Transactions",,1349,Passed,"",ft.action,
"FocusItem treeList(""@name='NAVIGATOR_LIST_0'"") Transactions|Transactions",,1148,Passed,"",ft.action,
"SelectItem treeList(""@name='NAVIGATOR_LIST_0'"") Transactions|Transactions",,4215,Passed,"",ft.action,
"SetText textField(""@name='TGW_HEADER_BS_BATCH_SOURCE_NAME_MIR_0'"") US Manual",,300,Passed,"",ft.action,
"InvokeSoftKey textField(""@name='TGW_HEADER_BS_BATCH_SOURCE_NAME_MIR_0'"")",,461,Passed,"",ft.action,
"SelectItem  list(""@name='TGW_HEADER_CTT_CLASS_MIR_0'"") Credit Memo",,742,Passed,"",ft.action,
"InvokeSoftKey list(""@name='TGW_HEADER_CTT_CLASS_MIR_0'"")",,355,Passed,"",ft.action,
