121067,1,ARDepositInvoice,10/25/2017 12:28:49 PM,Passed,10/25/2017 12:26:48 PM,basic.step,AR Sceanrios,,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,95066,Passed,"",basic.init,
"Launch Browser: InternetExplorer 10.0.9200.17609",,2196,Passed,"",basic.step,
"Call Function: EBS_Reusable_Methods.login_EBS",,18265,Passed,"",basic.stepGroup,
"Launch Browser: InternetExplorer 10.0.9200.17609",,1536,Passed,"",basic.step,
"Think: 0 (sec).",,27,Passed,"",basic.comment,
"[1] Import Excel",,11272,Passed,"",basic.stepGroup,
"Info",,1,Passed,"Comments: selected environment is ++ ",basic.comment,
"Info",,0,Passed,"Comments: oatsuser",basic.comment,
"Navigate https://erpint.fin.yahoo.com:8000/",2,67,Passed,"",ft.action,
"Think: 10 (sec).",,10036,Passed,"",basic.comment,
"SetText textBox(""@id='usernameField'"") oatsuser",,136,Passed,"",ft.action,
"SetPassword textBox(""@id='passwordField'"") ******",,40,Passed,"",ft.action,
"Click button(""@index='0'"")",,102,Passed,"",ft.action,
"WaitForPage https://erpint.fin.yahoo.com:8000/OA_HTML/AppsLocalLogin.jsp",,438,Passed,"",web.pageComplete,
"Call Function: EBS_Reusable_Methods.expand_NodeFromList",,41114,Passed,"",basic.stepGroup,
"Think: 0 (sec).",,25,Passed,"",basic.comment,
"[3] Expand Node from the List",,428,Passed,"",basic.stepGroup,
"Click element(""@text='System Administrator'"")",,328,Passed,"",ft.action,
"Think: 0 (sec).",,17,Passed,"",basic.comment,
"[3] Expand Node from the List",,1418,Passed,"",basic.stepGroup,
"Click element(""@text='Concurrent'"")",,1356,Passed,"",ft.action,
"Think: 0 (sec).",,21,Passed,"",basic.comment,
"[4] Click on the link under the Node",,879,Passed,"",basic.stepGroup,
"WaitForPage https://erpint.fin.yahoo.com:8000/OA_HTML/OA.jsp?OAFunc=OAHOMEPAGE#dummyAnchor",,419,Passed,"",web.pageComplete,
"Frame (URL=https://erpint.fin.yahoo.com:8000/OA_HTML/cabo/images/skyros/t.htm)",,0,Passed,"",web.frame,
"Frame (URL=https://erpint.fin.yahoo.com:8000/OA_HTML/blank.html)",,0,Passed,"",web.frame,
"Click element(""@text='Requests'"")",,294,Passed,"",ft.action,
"Close window(""@name='JOBS_QF'"")",,22670,Passed,"",ft.action,
