140715,1,AR Invoice,9/08/2017 15:55:54 PM,Passed,9/08/2017 15:53:33 PM,basic.step,AR Sceanrios,,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,99300,Passed,"",basic.init,
"Launch Browser: InternetExplorer 8.0.7601.17514",,2202,Passed,"",basic.step,
"Call Function: EBS_Reusable_Methods.login_EBS",,20061,Passed,"",basic.stepGroup,
"Launch Browser: InternetExplorer 8.0.7601.17514",,1397,Passed,"",basic.step,
"Think: 0 (sec).",,25,Passed,"",basic.comment,
"[1] Import Excel",,13175,Passed,"",basic.stepGroup,
"Info",,1,Passed,"Comments: selected environment is ++ ",basic.comment,
"Info",,0,Passed,"Comments: oatsuser",basic.comment,
"Navigate https://erpint.fin.yahoo.com:8000/",2,72,Passed,"",ft.action,
"Think: 10 (sec).",,10915,Passed,"",basic.comment,
"WaitForPage https://erpint.fin.yahoo.com:8000/OA_HTML/AppsLocalLogin.jsp",,447,Passed,"",web.pageComplete,
"Click link(""@text='Continue to this website (not recommended).'"")",,257,Passed,"",ft.action,
"SetText textBox(""@id='usernameField'"") oatsuser",,135,Passed,"",ft.action,
"SetPassword textBox(""@id='passwordField'"") ******",,71,Passed,"",ft.action,
"Click button(""@index='0'"")",,189,Passed,"",ft.action,
"WaitForPage https://erpint.fin.yahoo.com:8000/OA_HTML/AppsLocalLogin.jsp#",,403,Passed,"",web.pageComplete,
"Call Function: EBS_Reusable_Methods.expand_NodeFromList",,43820,Passed,"",basic.stepGroup,
"Think: 0 (sec).",,24,Passed,"",basic.comment,
"[3] Expand Node from the List",,1430,Passed,"",basic.stepGroup,
"Click element(""@text='System Administrator'"")",,1378,Passed,"",ft.action,
"Think: 0 (sec).",,19,Passed,"",basic.comment,
"[3] Expand Node from the List",,2541,Passed,"",basic.stepGroup,
"Click element(""@text='Concurrent'"")",,2480,Passed,"",ft.action,
"Think: 0 (sec).",,15,Passed,"",basic.comment,
"[4] Click on the link under the Node",,2088,Passed,"",basic.stepGroup,
"WaitForPage https://erpint.fin.yahoo.com:8000/OA_HTML/OA.jsp?OAFunc=OAHOMEPAGE#dummyAnchor",,412,Passed,"",web.pageComplete,
"Frame (URL=https://erpint.fin.yahoo.com:8000/OA_HTML/cabo/images/skyros/t.htm)",,0,Passed,"",web.frame,
"Frame (URL=https://erpint.fin.yahoo.com:8000/OA_HTML/blank.html)",,0,Passed,"",web.frame,
"Click element(""@text='Requests'"")",,1392,Passed,"",ft.action,
"Close window(""@name='JOBS_QF'"")",,22482,Passed,"",ft.action,
"Activate window(""@name='NAVIGATOR'"")",,17,Passed,"",ft.action,
"Think: 10 (sec).",,10014,Passed,"",basic.comment,
"Iteration Total (sec)",,41023,Passed,"",basic.iteration,
"Call Function: EBS_Reusable_Methods.SwitchResponsibility",,10143,Passed,"",basic.stepGroup,
"ClickToolbarButton window(""@name='NAVIGATOR'"") Switch Responsibility...",,819,Passed,"",ft.action,
"Think: 2 (sec).",,2021,Passed,"",basic.comment,
"Find listOfValues(""forms:listOfValues"") Receivables Manager",,1170,Passed,"",ft.action,
"SelectItem treeList(""@name='NAVIGATOR_LIST_0'"") Transactions",191,719,Passed,"",ft.action,
"FocusItem treeList(""@name='NAVIGATOR_LIST_0'"") Transactions|Transactions",214,614,Passed,"",ft.action,
"SelectItem treeList(""@name='NAVIGATOR_LIST_0'"") Transactions|Transactions",215,2889,Passed,"",ft.action,
"SetText textField(""@name='TGW_HEADER_BS_BATCH_SOURCE_NAME_MIR_0'"") US Manual",240,319,Passed,"",ft.action,
"InvokeSoftKey textField(""@name='TGW_HEADER_BS_BATCH_SOURCE_NAME_MIR_0'"")",241,331,Passed,"",ft.action,
"SelectItem  list(""@name='TGW_HEADER_CTT_CLASS_MIR_0'"") Invoice",244,461,Passed,"",ft.action,
"InvokeSoftKey list(""@name='TGW_HEADER_CTT_CLASS_MIR_0'"")",245,223,Passed,"",ft.action,
"SetText textField(""@name='TGW_HEADER_CTT_TYPE_NAME_MIR_0'"") Invoice",247,375,Passed,"",ft.action,
"SetText textField(""@name='TGW_HEADER_RAC_SHIP_TO_CUSTOMER_NUM_MIR_0'"") 1000145398",261,415,Passed,"",ft.action,
"InvokeSoftKey textField(""@name='TGW_HEADER_RAC_SHIP_TO_CUSTOMER_NUM_MIR_0'"")",,321,Passed,"",ft.action,
"SetText textField(""@name='TGW_HEADER_RAC_BILL_TO_CUSTOMER_NUM_MIR_0'"") 1000145398",259,391,Passed,"",ft.action,
"InvokeSoftKey textField(""@name='TGW_HEADER_RAC_BILL_TO_CUSTOMER_NUM_MIR_0'"")",259,232,Passed,"",ft.action,
"Click button(""@name='TGW_HEADER_HEADER_LINE_ITEMS_0'"")",263,2584,Passed,"",ft.action,
"SetFocus textField(""@name='TLIN_LINES_LINE_NUMBER_0'"")",267,109,Passed,"",ft.action,
"SetText textField(""@name='TLIN_LINES_DESCRIPTION_0'"") ITEM Invoice",268,408,Passed,"",ft.action,
"SetText textField(""@name='TLIN_LINES_QUANTITY_0'"") 10",276,444,Passed,"",ft.action,
"InvokeSoftKey textField(""@name='TLIN_LINES_QUANTITY_0'"")",277,499,Passed,"",ft.action,
