419688,1,ConvertCIPtoCapitlize,10/10/2017 11:00:06 AM,Passed,10/10/2017 10:53:06 AM,basic.step,FA Sceanrios,,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,98237,Passed,"",basic.init,
"Launch Browser: InternetExplorer 10.0.9200.17609",,2021,Passed,"",basic.step,
"Call Function: EBS_Reusable_Methods.login_EBS",,18476,Passed,"",basic.stepGroup,
"Launch Browser: InternetExplorer 10.0.9200.17609",,1749,Passed,"",basic.step,
"Think: 0 (sec).",,26,Passed,"",basic.comment,
"[1] Import Excel",,11308,Passed,"",basic.stepGroup,
"Info",,2,Passed,"Comments: selected environment is ++ ",basic.comment,
"Info",,0,Passed,"Comments: oatsuser",basic.comment,
"Navigate https://erpint.fin.yahoo.com:8000/",2,68,Passed,"",ft.action,
"Think: 10 (sec).",,10031,Passed,"",basic.comment,
"SetText textBox(""@id='usernameField'"") oatsuser",,169,Passed,"",ft.action,
"SetPassword textBox(""@id='passwordField'"") ******",,39,Passed,"",ft.action,
"Click button(""@index='0'"")",,100,Passed,"",ft.action,
"WaitForPage https://erpint.fin.yahoo.com:8000/OA_HTML/AppsLocalLogin.jsp",,437,Passed,"",web.pageComplete,
"Call Function: EBS_Reusable_Methods.expand_NodeFromList",,45608,Passed,"",basic.stepGroup,
"Think: 0 (sec).",,21,Passed,"",basic.comment,
"[3] Expand Node from the List",,1734,Passed,"",basic.stepGroup,
"Click element(""@text='System Administrator'"")",,1693,Passed,"",ft.action,
"Think: 0 (sec).",,18,Passed,"",basic.comment,
"[3] Expand Node from the List",,3673,Passed,"",basic.stepGroup,
"Click element(""@text='Concurrent'"")",,3627,Passed,"",ft.action,
"Think: 0 (sec).",,24,Passed,"",basic.comment,
"[4] Click on the link under the Node",,1780,Passed,"",basic.stepGroup,
"WaitForPage https://erpint.fin.yahoo.com:8000/OA_HTML/OA.jsp?OAFunc=OAHOMEPAGE#dummyAnchor",,424,Passed,"",web.pageComplete,
"Frame (URL=https://erpint.fin.yahoo.com:8000/OA_HTML/cabo/images/skyros/t.htm)",,0,Passed,"",web.frame,
"Frame (URL=https://erpint.fin.yahoo.com:8000/OA_HTML/blank.html)",,0,Passed,"",web.frame,
"Click element(""@text='Requests'"")",,1155,Passed,"",ft.action,
"Close window(""@name='JOBS_QF'"")",,21438,Passed,"",ft.action,
"Activate window(""@name='NAVIGATOR'"")",,18,Passed,"",ft.action,
"Think: 10 (sec).",,10017,Passed,"",basic.comment,
"Iteration Total (sec)",,321055,Passed,"",basic.iteration,
"Call Function: EBS_Reusable_Methods.generateUniqueData",,14,Passed,"",basic.stepGroup,
"Call Function: EBS_Reusable_Methods.SwitchResponsibility",,10403,Passed,"",basic.stepGroup,
"ClickToolbarButton window(""@name='NAVIGATOR'"") Switch Responsibility...",,1076,Passed,"",ft.action,
"Think: 2 (sec).",,2022,Passed,"",basic.comment,
"Find listOfValues(""forms:listOfValues"") Payables Manager",,1186,Passed,"",ft.action,
"SelectItem treeList(""@name='NAVIGATOR_LIST_0'"") Invoices",,874,Passed,"",ft.action,
