726100,1,ConvertCIPtoCapitlize,9/18/2017 12:39:39 PM,Failed,9/18/2017 12:27:32 PM,basic.step,FA Sceanrios,,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,115191,Passed,"",basic.init,
"Launch Browser: InternetExplorer 8.0.7601.17514",,2183,Passed,"",basic.step,
"Call Function: EBS_Reusable_Methods.login_EBS",,24262,Passed,"",basic.stepGroup,
"Launch Browser: InternetExplorer 8.0.7601.17514",,1267,Passed,"",basic.step,
"Think: 0 (sec).",,22,Passed,"",basic.comment,
"[1] Import Excel",,17067,Passed,"",basic.stepGroup,
"Info",,1,Passed,"Comments: selected environment is ++ ",basic.comment,
"Info",,0,Passed,"Comments: oatsuser",basic.comment,
"Navigate https://erpptp1.fin.yahoo.com:8000/",2,73,Passed,"",ft.action,
"Think: 10 (sec).",,9753,Passed,"",basic.comment,
"Click link(""@text='Continue to this website (not recommended).'"")",,213,Passed,"",ft.action,
"WaitForPage res://ieframe.dll/invalidcert.htm?SSLError=67108864#https://erpptp1.fin.yahoo.com:8000/",,371,Passed,"",web.pageComplete,
"SetText textBox(""@id='usernameField'"") oatsuser",,5484,Passed,"",ft.action,
"SetPassword textBox(""@id='passwordField'"") ******",,60,Passed,"",ft.action,
"Click button(""@index='0'"")",,177,Passed,"",ft.action,
"WaitForPage https://erpptp1.fin.yahoo.com:8000/OA_HTML/AppsLocalLogin.jsp",,320,Passed,"",web.pageComplete,
"Call Function: EBS_Reusable_Methods.expand_NodeFromList",,44479,Passed,"",basic.stepGroup,
"Think: 0 (sec).",,21,Passed,"",basic.comment,
"[3] Expand Node from the List",,1198,Passed,"",basic.stepGroup,
"Click element(""@text='System Administrator'"")",,1150,Passed,"",ft.action,
"Think: 0 (sec).",,24,Passed,"",basic.comment,
"[3] Expand Node from the List",,3066,Passed,"",basic.stepGroup,
"Click element(""@text='Concurrent'"")",,3004,Passed,"",ft.action,
"Think: 0 (sec).",,16,Passed,"",basic.comment,
"[4] Click on the link under the Node",,1202,Passed,"",basic.stepGroup,
"WaitForPage https://erpptp1.fin.yahoo.com:8000/OA_HTML/OA.jsp?OAFunc=OAHOMEPAGE#dummyAnchor",,413,Passed,"",web.pageComplete,
"Frame (URL=https://erpptp1.fin.yahoo.com:8000/OA_HTML/cabo/images/skyros/t.htm)",,0,Passed,"",web.frame,
"Frame (URL=https://erpptp1.fin.yahoo.com:8000/OA_HTML/blank.html)",,0,Passed,"",web.frame,
"Click element(""@text='Requests'"")",,516,Passed,"",ft.action,
"Close window(""@name='JOBS_QF'"")",,33489,Passed,"",ft.action,
"Activate window(""@name='NAVIGATOR'"")",,43,Passed,"",ft.action,
"Think: 10 (sec).",,10031,Passed,"",basic.comment,
"Iteration Total (sec)",,610489,Failed,"",basic.iteration,
"Call Function: EBS_Reusable_Methods.generateUniqueData",,21,Passed,"",basic.stepGroup,
"Call Function: EBS_Reusable_Methods.SwitchResponsibility",,11485,Passed,"",basic.stepGroup,
"ClickToolbarButton window(""@name='NAVIGATOR'"") Switch Responsibility...",,1406,Passed,"",ft.action,
"Think: 2 (sec).",,2019,Passed,"",basic.comment,
"Find listOfValues(""forms:listOfValues"") Payables Manager",,1925,Passed,"",ft.action,
"SelectItem treeList(""@name='NAVIGATOR_LIST_0'"") Invoices",,1417,Passed,"",ft.action,
"Call Function: EBS_Reusable_Methods.selecttreelist",,1516,Passed,"",basic.stepGroup,
"FocusItem treeList(""@name='NAVIGATOR_LIST_0'"") Invoices|Entry",,307,Passed,"",ft.action,
"SelectItem treeList(""@name='NAVIGATOR_LIST_0'"") Invoices|Entry",,1109,Passed,"",ft.action,
"Call Function: EBS_Reusable_Methods.selecttreelist",,3407,Passed,"",basic.stepGroup,
"FocusItem treeList(""@name='NAVIGATOR_LIST_0'"") Invoices|Entry|Invoice Batches",,309,Passed,"",ft.action,
"SelectItem treeList(""@name='NAVIGATOR_LIST_0'"") Invoices|Entry|Invoice Batches",,3019,Passed,"",ft.action,
"SetText textField(""@name='BAT_SUM_FOLDER_BATCH_NAME_0'"") OATS-2927",,204,Passed,"",ft.action,
"Click button(""@name='BAT_CONTROL_BLOCK_INVOICE_0'"")",,41631,Passed,"",ft.action,
"Call Function: EBS_Reusable_Methods.generateUniqueData",,17,Passed,"",basic.stepGroup,
"Call Function: EBS_Reusable_Methods.getDateTimeFormat",,74,Passed,"",basic.stepGroup,
"Info",,0,Passed,"Comments: insside getDateTimeFormat",basic.comment,
"Info",,0,Passed,"Comments: 18-Sep-2017",basic.comment,
"SetText textField(""@name='INV_SUM_FOLDER_VENDOR_NAME_0'"") Approved Networks",,1372,Passed,"",ft.action,
"InvokeSoftKey textField(""@name='INV_SUM_FOLDER_VENDOR_NAME_0'"")",,22790,Passed,"",ft.action,
"Click textField(""@name='INV_SUM_FOLDER_INVOICE_DATE_0'"") ",,1503,Passed,"",ft.action,
"SetText textField(""@name='INV_SUM_FOLDER_INVOICE_DATE_0'"") 18-Sep-2017",,1069,Passed,"",ft.action,
"InvokeSoftKey textField(""@name='INV_SUM_FOLDER_INVOICE_DATE_0'"")",,6593,Passed,"",ft.action,
"SetText textField(""@name='INV_SUM_FOLDER_INVOICE_NUM_0'"") INV-3027",,650,Passed,"",ft.action,
"SetText textField(""@name='INV_SUM_FOLDER_INVOICE_AMOUNT_DSP_0'"") 200",,1078,Passed,"",ft.action,
"InvokeSoftKey textField(""@name='INV_SUM_FOLDER_INVOICE_AMOUNT_DSP_0'"")",,1090,Passed,"",ft.action,
