451090,1,ConvertCIPtoCapitlize,10/02/2017 15:05:05 PM,Passed,10/02/2017 14:57:33 PM,basic.step,FA Sceanrios,,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,100753,Passed,"",basic.init,
"Launch Browser: InternetExplorer 10.0.9200.17609",,2079,Passed,"",basic.step,
"Call Function: EBS_Reusable_Methods.login_EBS",,22267,Passed,"",basic.stepGroup,
"Launch Browser: InternetExplorer 10.0.9200.17609",,1579,Passed,"",basic.step,
"Think: 0 (sec).",,27,Passed,"",basic.comment,
"[1] Import Excel",,14974,Passed,"",basic.stepGroup,
"Info",,2,Passed,"Comments: selected environment is ++ ",basic.comment,
"Info",,0,Passed,"Comments: oatsuser",basic.comment,
"Navigate https://erpptp1.fin.yahoo.com:8000/",2,71,Passed,"",ft.action,
"Think: 10 (sec).",,10536,Passed,"",basic.comment,
"Click link(""@text='Continue to this website (not recommended).'"")",,181,Passed,"",ft.action,
"ClickButton dialog(""@text='The current webpage is trying to open a site in your Trusted sites list. Do you want to allow this?'"") 0",,553,Passed,"",ft.action,
"WaitForPage https://erpptp1.fin.yahoo.com:8000/",,406,Passed,"",web.pageComplete,
"SetText textBox(""@id='usernameField'"") oatsuser",,2098,Passed,"",ft.action,
"SetPassword textBox(""@id='passwordField'"") ******",,38,Passed,"",ft.action,
"Click button(""@index='0'"")",,86,Passed,"",ft.action,
"WaitForPage https://erpptp1.fin.yahoo.com:8000/OA_HTML/AppsLocalLogin.jsp",,381,Passed,"",web.pageComplete,
"Call Function: EBS_Reusable_Methods.expand_NodeFromList",,41042,Passed,"",basic.stepGroup,
"Think: 0 (sec).",,15,Passed,"",basic.comment,
"[3] Expand Node from the List",,374,Passed,"",basic.stepGroup,
"Click element(""@text='System Administrator'"")",,309,Passed,"",ft.action,
"Think: 0 (sec).",,20,Passed,"",basic.comment,
"[3] Expand Node from the List",,1731,Passed,"",basic.stepGroup,
"Click element(""@text='Concurrent'"")",,1642,Passed,"",ft.action,
"Think: 0 (sec).",,19,Passed,"",basic.comment,
"[4] Click on the link under the Node",,1071,Passed,"",basic.stepGroup,
"WaitForPage https://erpptp1.fin.yahoo.com:8000/OA_HTML/OA.jsp?OAFunc=OAHOMEPAGE#dummyAnchor",,399,Passed,"",web.pageComplete,
"Frame (URL=https://erpptp1.fin.yahoo.com:8000/OA_HTML/cabo/images/skyros/t.htm)",,0,Passed,"",web.frame,
"Frame (URL=https://erpptp1.fin.yahoo.com:8000/OA_HTML/blank.html)",,0,Passed,"",web.frame,
"Click element(""@text='Requests'"")",,512,Passed,"",ft.action,
"Close window(""@name='JOBS_QF'"")",,24679,Passed,"",ft.action,
"Activate window(""@name='NAVIGATOR'"")",,41,Passed,"",ft.action,
"Think: 10 (sec).",,10018,Passed,"",basic.comment,
"Iteration Total (sec)",,349925,Passed,"",basic.iteration,
"Call Function: EBS_Reusable_Methods.generateUniqueData",,21,Passed,"",basic.stepGroup,
"Call Function: EBS_Reusable_Methods.SwitchResponsibility",,10672,Passed,"",basic.stepGroup,
"ClickToolbarButton window(""@name='NAVIGATOR'"") Switch Responsibility...",,1022,Passed,"",ft.action,
"Think: 2 (sec).",,2023,Passed,"",basic.comment,
"Find listOfValues(""forms:listOfValues"") Payables Manager",,1487,Passed,"",ft.action,
"SelectItem treeList(""@name='NAVIGATOR_LIST_0'"") Invoices",,836,Passed,"",ft.action,
"Call Function: EBS_Reusable_Methods.selecttreelist",,1275,Passed,"",basic.stepGroup,
"FocusItem treeList(""@name='NAVIGATOR_LIST_0'"") Invoices|Entry",,271,Passed,"",ft.action,
"SelectItem treeList(""@name='NAVIGATOR_LIST_0'"") Invoices|Entry",,862,Passed,"",ft.action,
"Call Function: EBS_Reusable_Methods.selecttreelist",,4427,Passed,"",basic.stepGroup,
"FocusItem treeList(""@name='NAVIGATOR_LIST_0'"") Invoices|Entry|Invoice Batches",,248,Passed,"",ft.action,
"SelectItem treeList(""@name='NAVIGATOR_LIST_0'"") Invoices|Entry|Invoice Batches",,4093,Passed,"",ft.action,
"SetText textField(""@name='BAT_SUM_FOLDER_BATCH_NAME_0'"") OATS-5914",,189,Passed,"",ft.action,
"Click button(""@name='BAT_CONTROL_BLOCK_INVOICE_0'"")",,3977,Passed,"",ft.action,
"Call Function: EBS_Reusable_Methods.generateUniqueData",,23,Passed,"",basic.stepGroup,
"Call Function: EBS_Reusable_Methods.getDateTimeFormat",,97,Passed,"",basic.stepGroup,
"Info",,0,Passed,"Comments: insside getDateTimeFormat",basic.comment,
