636497,1,Create Asset,10/27/2017 11:36:41 AM,Passed,10/27/2017 11:26:04 AM,basic.step,FA Sceanrios,,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,95746,Passed,"",basic.init,
"Launch Browser: InternetExplorer 10.0.9200.17609",,2202,Passed,"",basic.step,
"Call Function: EBS_Reusable_Methods.login_EBS",,18377,Passed,"",basic.stepGroup,
"Launch Browser: InternetExplorer 10.0.9200.17609",,1587,Passed,"",basic.step,
"Think: 0 (sec).",,13,Passed,"",basic.comment,
"[1] Import Excel",,11277,Passed,"",basic.stepGroup,
"Info",,1,Passed,"Comments: selected environment is ++ ",basic.comment,
"Info",,0,Passed,"Comments: oatsuser",basic.comment,
"Navigate https://erpint.fin.yahoo.com:8000/",2,61,Passed,"",ft.action,
"Think: 10 (sec).",,10021,Passed,"",basic.comment,
"SetText textBox(""@id='usernameField'"") oatsuser",,132,Passed,"",ft.action,
"SetPassword textBox(""@id='passwordField'"") ******",,37,Passed,"",ft.action,
"Click button(""@index='0'"")",,109,Passed,"",ft.action,
"WaitForPage https://erpint.fin.yahoo.com:8000/OA_HTML/AppsLocalLogin.jsp",,450,Passed,"",web.pageComplete,
"Call Function: EBS_Reusable_Methods.expand_NodeFromList",,42275,Passed,"",basic.stepGroup,
"Think: 0 (sec).",,22,Passed,"",basic.comment,
"[3] Expand Node from the List",,460,Passed,"",basic.stepGroup,
"Click element(""@text='System Administrator'"")",,349,Passed,"",ft.action,
"Think: 0 (sec).",,18,Passed,"",basic.comment,
"[3] Expand Node from the List",,2460,Passed,"",basic.stepGroup,
"Click element(""@text='Concurrent'"")",,2406,Passed,"",ft.action,
"Think: 0 (sec).",,17,Passed,"",basic.comment,
"[4] Click on the link under the Node",,882,Passed,"",basic.stepGroup,
"WaitForPage https://erpint.fin.yahoo.com:8000/OA_HTML/OA.jsp?OAFunc=OAHOMEPAGE#dummyAnchor",,420,Passed,"",web.pageComplete,
"Frame (URL=https://erpint.fin.yahoo.com:8000/OA_HTML/cabo/images/skyros/t.htm)",,0,Passed,"",web.frame,
"Frame (URL=https://erpint.fin.yahoo.com:8000/OA_HTML/blank.html)",,0,Passed,"",web.frame,
"Click element(""@text='Requests'"")",,304,Passed,"",ft.action,
"Close window(""@name='JOBS_QF'"")",,22132,Passed,"",ft.action,
"Activate window(""@name='NAVIGATOR'"")",,19,Passed,"",ft.action,
"Think: 10 (sec).",,10031,Passed,"",basic.comment,
"Iteration Total (sec)",,540358,Passed,"",basic.iteration,
"Call Function: EBS_Reusable_Methods.SwitchResponsibility",,10294,Passed,"",basic.stepGroup,
"ClickToolbarButton window(""@name='NAVIGATOR'"") Switch Responsibility...",,912,Passed,"",ft.action,
"Think: 2 (sec).",,2020,Passed,"",basic.comment,
"Find listOfValues(""forms:listOfValues"") Fixed Assets Manager",,1240,Passed,"",ft.action,
"FocusItem treeList(""@name='NAVIGATOR_LIST_0'"") Assets",,663,Passed,"",ft.action,
"SelectItem treeList(""@name='NAVIGATOR_LIST_0'"") Assets",,634,Passed,"",ft.action,
"SelectItem treeList(""@name='NAVIGATOR_LIST_0'"") Assets|Asset Workbench",,3710,Passed,"",ft.action,
"Click button(""@name='SMART_FIND_SF_NEW_BUTTON_0'"")",,1675,Passed,"",ft.action,
"SetText textField(""@name='ASSET_DESCRIPTION_0'"") Dell PowerEdge",,2008,Passed,"",ft.action,
"OpenDialog textField(""@name='ASSET_ATTRIBUTE_CATEGORY_CODE_0'"")",,1058,Passed,"",ft.action,
"OpenDialog flexWindow(""forms:flexWindow"") Major Category, ",,1197,Passed,"",ft.action,
"Select listOfValues(""forms:listOfValues"") COMPUTERS|Computer Equipment",,198,Passed,"",ft.action,
"OpenDialog flexWindow(""forms:flexWindow"") Minor Category, ",,1200,Passed,"",ft.action,
"Select listOfValues(""forms:listOfValues"") SERVER|Server",,187,Passed,"",ft.action,
"SetText flexWindow(""forms:flexWindow"") Location, , 00",,248,Passed,"",ft.action,
"ClickOk flexWindow(""forms:flexWindow"")",,2726,Passed,"",ft.action,
"ClickOk flexWindow(""forms:flexWindow"")",,810,Passed,"",ft.action,
"SelectItem  list(""@name='ASSET_CAP_ASSET_TYPE_0'"") Capitalized",,470,Passed,"",ft.action,
"Click button(""@name='ASSET_BOOKS_ASSET_0'"")",,2088,Passed,"",ft.action,
"OpenDialog textField(""@name='FA_BOOKS_HEADER_BOOK_TYPE_CODE_0'"")",,1713,Passed,"",ft.action,
"Activate window(""@name='FA_BOOKS'"")",117,58,Passed,"",ft.action,
"Select listOfValues(""forms:listOfValues"") YAHOO! INC.|YAHOO! INC.",,2125,Passed,"",ft.action,
"SetFocus textField(""@name='FA_BOOKS_HEADER_TRANSACTION_NAME_0'"")",,107,Passed,"",ft.action,
"SetText textField(""@name='FA_BOOKS_COST_0'"") 1500",,687,Passed,"",ft.action,
"SetText textField(""@name='FA_BOOKS_YTD_DEPRN_0'"") 10",,411,Passed,"",ft.action,
"SetText textField(""@name='FA_BOOKS_LTD_DEPRN_0'"") 10",,422,Passed,"",ft.action,
"SetText textField(""@name='FA_BOOKS_SALVAGE_VALUE_0'"") 10",,426,Passed,"",ft.action,
"SetText textField(""@name='FA_BOOKS_DATE_PLACED_IN_SERVICE_0'"") 10-JUl-2017",,423,Passed,"",ft.action,
"SetFocus textField(""@name='FA_BOOKS_PRORATE_CONVENTION_CODE_0'"")",,1684,Passed,"",ft.action,
"Click button(""@name='FA_BOOKS_ASSIGNMENTS_BOOKS_0'"")",,2008,Passed,"",ft.action,
"SetText textField(""@name='ASSIGNMENTS_DIST_IN_OUT_0'"") 1",,559,Passed,"",ft.action,
"OpenDialog textField(""@name='ASSIGNMENTS_DIST_EXPENSE_ACCOUNT_0'"")",,1147,Passed,"",ft.action,
"OpenDialog flexWindow(""forms:flexWindow"") Company, ",135,1761,Passed,"",ft.action,
"Select listOfValues(""forms:listOfValues"") 110|Yahoo! Inc.",136,30590,Passed,"",ft.action,
"SetText flexWindow(""forms:flexWindow"") Sub Account, , 1010",139,30033,Passed,"",ft.action,
"SetText flexWindow(""forms:flexWindow"") Region, , 3840",140,30029,Passed,"",ft.action,
"SetText flexWindow(""forms:flexWindow"") Function, , 160",141,10244,Passed,"",ft.action,
"SetText flexWindow(""forms:flexWindow"") Cost Center, , 502695",142,218,Passed,"",ft.action,
"SetText flexWindow(""forms:flexWindow"") Interco, , 000",143,206,Passed,"",ft.action,
"SetText flexWindow(""forms:flexWindow"") Future, , 0000",144,203,Passed,"",ft.action,
"ClickOk flexWindow(""forms:flexWindow"")",145,431,Passed,"",ft.action,
"OpenDialog textField(""@name='ASSIGNMENTS_DIST_LOCATION_DISP_0'"")",,30192,Passed,"",ft.action,
"OpenDialog flexWindow(""forms:flexWindow"") Country, ",151,30039,Passed,"",ft.action,
"Select listOfValues(""forms:listOfValues"") US|United States",152,30033,Passed,"",ft.action,
"OpenDialog flexWindow(""forms:flexWindow"") State, ",155,30038,Passed,"",ft.action,
"Select listOfValues(""forms:listOfValues"") CA|California",156,30060,Passed,"",ft.action,
"OpenDialog flexWindow(""forms:flexWindow"") County, ",159,30037,Passed,"",ft.action,
"Select listOfValues(""forms:listOfValues"") LA COUNTY|Los Angeles County",160,30032,Passed,"",ft.action,
"OpenDialog flexWindow(""forms:flexWindow"") City, ",163,30034,Passed,"",ft.action,
"Select listOfValues(""forms:listOfValues"") SAN DIEGO|San Diego",164,30033,Passed,"",ft.action,
"OpenDialog flexWindow(""forms:flexWindow"") Building, ",167,30034,Passed,"",ft.action,
"Select listOfValues(""forms:listOfValues"") 1 ALHAMBRA|1 Alhambra Plaza",168,30033,Passed,"",ft.action,
"ClickOk flexWindow(""forms:flexWindow"")",171,30030,Passed,"",ft.action,
"ClickToolbarButton window(""@name='ASSIGNMENTS'"") Save",182,343,Passed,"",ft.action,
"ClickButton choiceBox(""forms:choiceBox"") OK",185,30498,Passed,"",ft.action,
"Finish Total (sec)",,53,Passed,"",basic.finish,
