547691,1,Create CIP Asset,8/28/2017 15:50:39 PM,Failed,8/28/2017 15:41:31 PM,basic.step,FA Sceanrios,,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,96515,Passed,"",basic.init,
"Launch Browser: InternetExplorer 8.0.7601.17514",,1793,Passed,"",basic.step,
"Call Function: EBS_Reusable_Methods.login_EBS",,15897,Passed,"",basic.stepGroup,
"Launch Browser: InternetExplorer 8.0.7601.17514",,1286,Passed,"",basic.step,
"Think: 0 (sec).",,24,Passed,"",basic.comment,
"[1] Import Excel",,9720,Passed,"",basic.stepGroup,
"Info",,1,Passed,"Comments: selected environment is ++ ",basic.comment,
"Navigate https://erpptp1.fin.yahoo.com:8000/",2,74,Passed,"",ft.action,
"Think: 5 (sec).",,4921,Passed,"",basic.comment,
"WaitForPage res://ieframe.dll/invalidcert.htm?SSLError=67108864#https://erpptp1.fin.yahoo.com:8000/",,393,Passed,"",web.pageComplete,
"Click link(""@text='Continue to this website (not recommended).'"")",,244,Passed,"",ft.action,
"WaitForPage https://erpptp1.fin.yahoo.com:8000/",,540,Passed,"",web.pageComplete,
"SetText textBox(""@id='usernameField'"") oatsuser",,2086,Passed,"",ft.action,
"PressTab textBox(""@id='usernameField'"")",,134,Passed,"",ft.action,
"SetPassword textBox(""@id='passwordField'"") ******",,48,Passed,"",ft.action,
"Click button(""@index='0'"")",,194,Passed,"",ft.action,
"WaitForPage https://erpptp1.fin.yahoo.com:8000/OA_HTML/AppsLocalLogin.jsp",,398,Passed,"",web.pageComplete,
"Call Function: EBS_Reusable_Methods.expand_NodeFromList",,50943,Passed,"",basic.stepGroup,
"Think: 0 (sec).",,20,Passed,"",basic.comment,
"[3] Expand Node from the List",,615,Passed,"",basic.stepGroup,
"Click element(""@text='System Administrator'"")",,541,Passed,"",ft.action,
"Think: 0 (sec).",,25,Passed,"",basic.comment,
"[3] Expand Node from the List",,2740,Passed,"",basic.stepGroup,
"Click element(""@text='Concurrent'"")",,2676,Passed,"",ft.action,
"Think: 0 (sec).",,23,Passed,"",basic.comment,
"[4] Click on the link under the Node",,2071,Passed,"",basic.stepGroup,
"WaitForPage https://erpptp1.fin.yahoo.com:8000/OA_HTML/OA.jsp?OAFunc=OAHOMEPAGE#dummyAnchor",,442,Passed,"",web.pageComplete,
"Frame (URL=https://erpptp1.fin.yahoo.com:8000/OA_HTML/cabo/images/skyros/t.htm)",,0,Passed,"",web.frame,
"Frame (URL=https://erpptp1.fin.yahoo.com:8000/OA_HTML/blank.html)",,0,Passed,"",web.frame,
"Click element(""@text='Requests'"")",,1351,Passed,"",ft.action,
"Close window(""@name='JOBS_QF'"")",,19007,Passed,"",ft.action,
"Activate window(""@name='NAVIGATOR'"")",,14,Passed,"",ft.action,
"Think: 10 (sec).",,8239,Passed,"",basic.comment,
"Iteration Total (sec)",,450819,Failed,"",basic.iteration,
"Call Function: EBS_Reusable_Methods.SwitchResponsibility",,8960,Passed,"",basic.stepGroup,
"ClickToolbarButton window(""@name='NAVIGATOR'"") Switch Responsibility...",,594,Passed,"",ft.action,
"Think: 2 (sec).",,1551,Passed,"",basic.comment,
"Find listOfValues(""forms:listOfValues"") Fixed Assets Manager",,701,Passed,"",ft.action,
"FocusItem treeList(""@name='NAVIGATOR_LIST_0'"") Assets",,424,Passed,"",ft.action,
"SelectItem treeList(""@name='NAVIGATOR_LIST_0'"") Assets",,390,Passed,"",ft.action,
"SelectItem treeList(""@name='NAVIGATOR_LIST_0'"") Assets|Asset Workbench",,1506,Passed,"",ft.action,
"Click button(""@name='SMART_FIND_SF_NEW_BUTTON_0'"")",,999,Passed,"",ft.action,
"SetText textField(""@name='ASSET_DESCRIPTION_0'"") Dell Laptop",,293,Passed,"",ft.action,
"OpenDialog textField(""@name='ASSET_ATTRIBUTE_CATEGORY_CODE_0'"")",,872,Passed,"",ft.action,
"OpenDialog flexWindow(""forms:flexWindow"") Major Category, ",,790,Passed,"",ft.action,
"Select listOfValues(""forms:listOfValues"") COMPUTERS|Computer Equipment",,153,Passed,"",ft.action,
"OpenDialog flexWindow(""forms:flexWindow"") Minor Category, ",,642,Passed,"",ft.action,
"Select listOfValues(""forms:listOfValues"") LAPTOP|Laptop",,148,Passed,"",ft.action,
"SetText flexWindow(""forms:flexWindow"") Location, , 00",,234,Passed,"",ft.action,
"ClickOk flexWindow(""forms:flexWindow"")",,835,Passed,"",ft.action,
"ClickOk flexWindow(""forms:flexWindow"")",,516,Passed,"",ft.action,
"SelectItem  list(""@name='ASSET_CAP_ASSET_TYPE_0'"") CIP",,433,Passed,"",ft.action,
"Click button(""@name='ASSET_BOOKS_ASSET_0'"")",,1004,Passed,"",ft.action,
"OpenDialog textField(""@name='FA_BOOKS_HEADER_BOOK_TYPE_CODE_0'"")",,964,Passed,"",ft.action,
"Activate window(""@name='FA_BOOKS'"")",117,50,Passed,"",ft.action,
"Select listOfValues(""forms:listOfValues"") YAHOO! INC.|YAHOO! INC.",,21991,Passed,"",ft.action,
"SetFocus textField(""@name='FA_BOOKS_HEADER_TRANSACTION_NAME_0'"")",,95,Passed,"",ft.action,
"SetText textField(""@name='FA_BOOKS_COST_0'"") 0",,2633,Passed,"",ft.action,
"SetFocus textField(""@name='FA_BOOKS_PRORATE_CONVENTION_CODE_0'"")",,406,Passed,"",ft.action,
"Click button(""@name='FA_BOOKS_ASSIGNMENTS_BOOKS_0'"")",,10150,Passed,"",ft.action,
"SetText textField(""@name='ASSIGNMENTS_DIST_IN_OUT_0'"") 1",,495,Passed,"",ft.action,
"OpenDialog textField(""@name='ASSIGNMENTS_DIST_EXPENSE_ACCOUNT_0'"")",,1083,Passed,"",ft.action,
"OpenDialog flexWindow(""forms:flexWindow"") Company, ",135,936,Passed,"",ft.action,
"Select listOfValues(""forms:listOfValues"") 110|Yahoo! Inc.",136,195,Passed,"",ft.action,
"SetText flexWindow(""forms:flexWindow"") Sub Account, , 1010",139,208,Passed,"",ft.action,
"SetText flexWindow(""forms:flexWindow"") Region, , 3840",140,197,Passed,"",ft.action,
"SetText flexWindow(""forms:flexWindow"") Function, , 000",141,202,Passed,"",ft.action,
"SetText flexWindow(""forms:flexWindow"") Cost Center, , 100180",142,195,Passed,"",ft.action,
"SetText flexWindow(""forms:flexWindow"") Interco, , 000",143,195,Passed,"",ft.action,
"SetText flexWindow(""forms:flexWindow"") Future, , 0000",144,167,Passed,"",ft.action,
"ClickOk flexWindow(""forms:flexWindow"")",145,882,Passed,"",ft.action,
"OpenDialog textField(""@name='ASSIGNMENTS_DIST_LOCATION_DISP_0'"")",,29008,Passed,"",ft.action,
"OpenDialog flexWindow(""forms:flexWindow"") Country, ",151,28286,Passed,"",ft.action,
