73903,0,Create CIP Asset,8/30/2017 13:08:43 PM,Failed,8/30/2017 13:07:29 PM,basic.step,FA Sceanrios,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,73486,Failed,"",basic.init,
"Launch Browser: InternetExplorer 8.0.7601.17514",,2950,Passed,"",basic.step,
"Call Function: EBS_Reusable_Methods.login_EBS",,69838,Failed,"",basic.stepGroup,
"Launch Browser: InternetExplorer 8.0.7601.17514",,1517,Passed,"",basic.step,
"Think: 0 (sec).",,32,Passed,"",basic.comment,
"[1] Import Excel",,62752,Failed,"",basic.stepGroup,
"Info",,1,Passed,"Comments: selected environment is ++ ",basic.comment,
"Navigate https://erpint.fin.yahoo.com:8000/",2,70,Passed,"",ft.action,
"Think: 5 (sec).",,5027,Passed,"",basic.comment,
"Failed to playback",,57410,Failed,"Failed to playback: No browser launched.",ft.action,
"Finish Total (sec)",,42,Passed,"",basic.finish,
