163951,1,GL-JE,8/22/2017 16:40:36 PM,Passed,8/22/2017 16:37:52 PM,basic.step,OFT,,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,1966,Passed,"",basic.init,
"Launch Browser: InternetExplorer 8.0.7601.17514",,1626,Passed,"",basic.step,
"Iteration Total (sec)",,161775,Passed,"",basic.iteration,
"Think: 0 (sec).",,22,Passed,"",basic.comment,
"[1] Certificate Error: Navigation Blocked (/erpptp1.fin.yahoo.com:8000/)",,2796,Passed,"",basic.stepGroup,
"Navigate https://erpptp1.fin.yahoo.com:8000/",2,82,Passed,"",ft.action,
"WaitForPage res://ieframe.dll/invalidcert.htm?SSLError=67108864#https://erpptp1.fin.yahoo.com:8000/",4,556,Passed,"",web.pageComplete,
"Think: 1.523 (sec).",,1676,Passed,"",basic.comment,
"Click link(""@text='Continue to this website (not recommended).'"")",5,259,Passed,"",ft.action,
"Think: 0 (sec).",,31,Passed,"",basic.comment,
"[2] E-Business Suite Home Page Redirect (/erpptp1.fin.yahoo.com:8000/)",,12189,Passed,"",basic.stepGroup,
"WaitForPage https://erpptp1.fin.yahoo.com:8000/",6,594,Passed,"",web.pageComplete,
"Think: 4.221 (sec).",,4663,Passed,"",basic.comment,
"SetText textBox(""@id='usernameField'"") oatsuser",7,70,Passed,"",ft.action,
"Think: 2.252 (sec).",,2505,Passed,"",basic.comment,
"Click textBox(""@id='passwordField'"")",8,215,Passed,"",ft.action,
"Think: 1.245 (sec).",,1337,Passed,"",basic.comment,
"SetPassword textBox(""@id='passwordField'"") ******",9,143,Passed,"",ft.action,
"Think: 2.168 (sec).",,2160,Passed,"",basic.comment,
"Click button(""@index='0'"")",10,184,Passed,"",ft.action,
"Think: 0 (sec).",,16,Passed,"",basic.comment,
"[3] Home (/OA.jsp)",,13589,Passed,"",basic.stepGroup,
"WaitForPage https://erpptp1.fin.yahoo.com:8000/OA_HTML/AppsLocalLogin.jsp",11,369,Passed,"",web.pageComplete,
"Think: 4.247 (sec).",,4219,Passed,"",basic.comment,
"Click element(""@text='General Ledger Super User'"")",14,8889,Passed,"",ft.action,
"Think: 0 (sec).",,18,Passed,"",basic.comment,
"[4] Home (/OA.jsp)",,7813,Passed,"",basic.stepGroup,
"WaitForPage https://erpptp1.fin.yahoo.com:8000/OA_HTML/OA.jsp?OAFunc=OAHOMEPAGE",15,3147,Passed,"",web.pageComplete,
"Frame (URL=https://erpptp1.fin.yahoo.com:8000/OA_HTML/cabo/images/skyros/t.htm)",,0,Passed,"",web.frame,
"Frame (URL=https://erpptp1.fin.yahoo.com:8000/OA_HTML/blank.html)",,0,Passed,"",web.frame,
"Think: 4.126 (sec).",,4065,Passed,"",basic.comment,
"Click element(""@text='Journals'"")",18,453,Passed,"",ft.action,
"Think: 0 (sec).",,25,Passed,"",basic.comment,
"[5] Home (/OA.jsp)",,3100,Passed,"",basic.stepGroup,
"WaitForPage https://erpptp1.fin.yahoo.com:8000/OA_HTML/OA.jsp?OAFunc=OAHOMEPAGE#dummyAnchor1",19,387,Passed,"",web.pageComplete,
"Frame (URL=https://erpptp1.fin.yahoo.com:8000/OA_HTML/cabo/images/skyros/t.htm)",,0,Passed,"",web.frame,
"Frame (URL=https://erpptp1.fin.yahoo.com:8000/OA_HTML/blank.html)",,0,Passed,"",web.frame,
"Think: 2.217 (sec).",,2196,Passed,"",basic.comment,
"Click element(""@text='Enter'"")",22,373,Passed,"",ft.action,
"Think: 0 (sec).",,19,Passed,"",basic.comment,
"[6] Home (/fndlist.jar&jinit_appletcache=off&gp15=icx_ticket&gv15=dlKQXcIBt78VGZDt-u9TAg..&gp2=resp_app&gv2=SQLGL&gp3=resp&gv3=GENERAL_LEDGER_SUPER_USER&gp4=sec_group&gv4=STANDARD&gp5=function&gv5=GLXJEENT_A&gp6=other_params&gv6=&gp7=jsp_agent&gv7=htt...",,8547,Passed,"",basic.stepGroup,
"WaitForPage https://erpptp1.fin.yahoo.com:8000/forms/frmservlet?lang=US&lookAndFeel=ORACLE&colorScheme=SWAN&serverApp=OracleApplications&digitSubstitution=CONTEXT&env=NLS_LANG='AMERICAN_AMERICA'+FORMS_USER_DATE_FORMAT='DD-MON-RRRR'+FORMS_USER_DATETIME...",23,8489,Passed,"",web.pageComplete,
"Think: 0 (sec).",,19,Passed,"",basic.comment,
"[7] Find Journals",,112997,Passed,"",basic.stepGroup,
"Forms Screen shot",27,1572,Passed,"",ft.screenshot,
"Think: 10 (sec).",,10097,Passed,"",basic.comment,
"SetFocus textField(""@name='FOLDER_QF_BATCH_NAME_0'"")",28,145,Passed,"",ft.action,
