223482,1,GL-JLAutoapproval,9/06/2017 11:51:44 AM,Passed,9/06/2017 11:48:00 AM,basic.step,GL Sceanrios,,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,96933,Passed,"",basic.init,
"Launch Browser: InternetExplorer 8.0.7601.17514",,1933,Passed,"",basic.step,
"Call Function: EBS_Reusable_Methods.login_EBS",,19639,Passed,"",basic.stepGroup,
"Launch Browser: InternetExplorer 8.0.7601.17514",,1276,Passed,"",basic.step,
"Think: 0 (sec).",,20,Passed,"",basic.comment,
"[1] Import Excel",,12932,Passed,"",basic.stepGroup,
"Info",,1,Passed,"Comments: selected environment is ++ ",basic.comment,
"Info",,0,Passed,"Comments: oatsuser",basic.comment,
"Navigate https://erpint.fin.yahoo.com:8000/",2,73,Passed,"",ft.action,
"Think: 10 (sec).",,10681,Passed,"",basic.comment,
"WaitForPage https://erpint.fin.yahoo.com:8000/OA_HTML/AppsLocalLogin.jsp",,449,Passed,"",web.pageComplete,
"Click link(""@text='Continue to this website (not recommended).'"")",,268,Passed,"",ft.action,
"SetText textBox(""@id='usernameField'"") oatsuser",,130,Passed,"",ft.action,
"SetPassword textBox(""@id='passwordField'"") ******",,74,Passed,"",ft.action,
"Click button(""@index='0'"")",,203,Passed,"",ft.action,
"WaitForPage https://erpint.fin.yahoo.com:8000/OA_HTML/AppsLocalLogin.jsp#",,401,Passed,"",web.pageComplete,
"Call Function: EBS_Reusable_Methods.expand_NodeFromList",,43791,Passed,"",basic.stepGroup,
"Think: 0 (sec).",,20,Passed,"",basic.comment,
"[3] Expand Node from the List",,508,Passed,"",basic.stepGroup,
"Click element(""@text='System Administrator'"")",,447,Passed,"",ft.action,
"Think: 0 (sec).",,23,Passed,"",basic.comment,
"[3] Expand Node from the List",,3776,Passed,"",basic.stepGroup,
"Click element(""@text='Concurrent'"")",,3715,Passed,"",ft.action,
"Think: 0 (sec).",,17,Passed,"",basic.comment,
"[4] Click on the link under the Node",,1786,Passed,"",basic.stepGroup,
"WaitForPage https://erpint.fin.yahoo.com:8000/OA_HTML/OA.jsp?OAFunc=OAHOMEPAGE#dummyAnchor",,414,Passed,"",web.pageComplete,
"Frame (URL=https://erpint.fin.yahoo.com:8000/OA_HTML/cabo/images/skyros/t.htm)",,0,Passed,"",web.frame,
"Frame (URL=https://erpint.fin.yahoo.com:8000/OA_HTML/blank.html)",,0,Passed,"",web.frame,
"Click element(""@text='Requests'"")",,1106,Passed,"",ft.action,
"Close window(""@name='JOBS_QF'"")",,20806,Passed,"",ft.action,
"Activate window(""@name='NAVIGATOR'"")",,23,Passed,"",ft.action,
"Think: 10 (sec).",,10046,Passed,"",basic.comment,
"Iteration Total (sec)",,126158,Passed,"",basic.iteration,
"Info",,0,Passed,"Comments: 110-100130-1013-0000-000-000000-000-0000",basic.comment,
"Info",,0,Passed,"Comments: 110-100300-1015-0000-000-000000-000-0000",basic.comment,
"Info",,0,Passed,"Comments: 30",basic.comment,
"Call Function: EBS_Reusable_Methods.SwitchResponsibility",,9936,Passed,"",basic.stepGroup,
"ClickToolbarButton window(""@name='NAVIGATOR'"") Switch Responsibility...",,813,Passed,"",ft.action,
"Think: 2 (sec).",,2020,Passed,"",basic.comment,
"Find listOfValues(""forms:listOfValues"") General Ledger Super User",,967,Passed,"",ft.action,
"SelectItem treeList(""@name='NAVIGATOR_LIST_0'"") Journals",114,744,Passed,"",ft.action,
"SelectItem treeList(""@name='NAVIGATOR_LIST_0'"") Journals|Enter",161,1591,Passed,"",ft.action,
"SetFocus textField(""@name='FOLDER_QF_BATCH_NAME_0'"")",26,363,Passed,"",ft.action,
"Click button(""@name='FOLDER_QF_NEW_HEADER_0'"")",27,1250,Passed,"",ft.action,
"Call Function: EBS_Reusable_Methods.generateUniqueData",,19,Passed,"",basic.stepGroup,
"SetText textField(""@name='HEADER_NAME_0'"") OATSUser-4952",,101,Passed,"",ft.action,
"Call Function: EBS_Reusable_Methods.GetText",,97,Passed,"",basic.stepGroup,
"Info",,1,Passed,"Comments: Text: OATSUser-4952",basic.comment,
"OpenDialog textField(""@name='HEADER_USER_JE_CATEGORY_NAME_0'"")",,1895,Passed,"",ft.action,
"Activate window(""@name='HEADER'"")",32,51,Passed,"",ft.action,
"Select listOfValues(""forms:listOfValues"") Adjustment|Adjusting Journal Entry",33,461,Passed,"",ft.action,
"SetFocus textField(""@name='HEADER_PERIOD_NAME_0'"")",,50,Passed,"",ft.action,
