172544,1,GL-JLAutoapproval,9/06/2017 12:11:31 PM,Passed,9/06/2017 12:08:38 PM,basic.step,GL Sceanrios,,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,97167,Passed,"",basic.init,
"Launch Browser: InternetExplorer 8.0.7601.17514",,2059,Passed,"",basic.step,
"Call Function: EBS_Reusable_Methods.login_EBS",,19051,Passed,"",basic.stepGroup,
"Launch Browser: InternetExplorer 8.0.7601.17514",,1410,Passed,"",basic.step,
"Think: 0 (sec).",,28,Passed,"",basic.comment,
"[1] Import Excel",,12162,Passed,"",basic.stepGroup,
"Info",,1,Passed,"Comments: selected environment is ++ ",basic.comment,
"Info",,0,Passed,"Comments: oatsuser",basic.comment,
"Navigate https://erpint.fin.yahoo.com:8000/",2,72,Passed,"",ft.action,
"Think: 10 (sec).",,10138,Passed,"",basic.comment,
"WaitForPage https://erpint.fin.yahoo.com:8000/OA_HTML/AppsLocalLogin.jsp",,406,Passed,"",web.pageComplete,
"Click link(""@text='Continue to this website (not recommended).'"")",,241,Passed,"",ft.action,
"SetText textBox(""@id='usernameField'"") oatsuser",,121,Passed,"",ft.action,
"SetPassword textBox(""@id='passwordField'"") ******",,55,Passed,"",ft.action,
"Click button(""@index='0'"")",,173,Passed,"",ft.action,
"WaitForPage https://erpint.fin.yahoo.com:8000/OA_HTML/AppsLocalLogin.jsp#",,360,Passed,"",web.pageComplete,
"Call Function: EBS_Reusable_Methods.expand_NodeFromList",,44279,Passed,"",basic.stepGroup,
"Think: 0 (sec).",,20,Passed,"",basic.comment,
"[3] Expand Node from the List",,493,Passed,"",basic.stepGroup,
"Click element(""@text='System Administrator'"")",,429,Passed,"",ft.action,
"Think: 0 (sec).",,24,Passed,"",basic.comment,
"[3] Expand Node from the List",,3533,Passed,"",basic.stepGroup,
"Click element(""@text='Concurrent'"")",,3475,Passed,"",ft.action,
"Think: 0 (sec).",,14,Passed,"",basic.comment,
"[4] Click on the link under the Node",,1698,Passed,"",basic.stepGroup,
"WaitForPage https://erpint.fin.yahoo.com:8000/OA_HTML/OA.jsp?OAFunc=OAHOMEPAGE#dummyAnchor",,426,Passed,"",web.pageComplete,
"Frame (URL=https://erpint.fin.yahoo.com:8000/OA_HTML/cabo/images/skyros/t.htm)",,0,Passed,"",web.frame,
"Frame (URL=https://erpint.fin.yahoo.com:8000/OA_HTML/blank.html)",,0,Passed,"",web.frame,
"Click element(""@text='Requests'"")",,1113,Passed,"",ft.action,
"Close window(""@name='JOBS_QF'"")",,21045,Passed,"",ft.action,
"Activate window(""@name='NAVIGATOR'"")",,23,Passed,"",ft.action,
"Think: 10 (sec).",,10019,Passed,"",basic.comment,
"Iteration Total (sec)",,74948,Passed,"",basic.iteration,
"Info",,0,Passed,"Comments: 110-100130-1013-0000-000-000000-000-0000",basic.comment,
"Info",,0,Passed,"Comments: 110-100300-1015-0000-000-000000-000-0000",basic.comment,
"Info",,0,Passed,"Comments: 30",basic.comment,
"Call Function: EBS_Reusable_Methods.SwitchResponsibility",,9921,Passed,"",basic.stepGroup,
"ClickToolbarButton window(""@name='NAVIGATOR'"") Switch Responsibility...",,838,Passed,"",ft.action,
"Think: 2 (sec).",,2020,Passed,"",basic.comment,
"Find listOfValues(""forms:listOfValues"") General Ledger Super User",,925,Passed,"",ft.action,
"SelectItem treeList(""@name='NAVIGATOR_LIST_0'"") Journals",114,716,Passed,"",ft.action,
"SelectItem treeList(""@name='NAVIGATOR_LIST_0'"") Journals|Enter",161,1717,Passed,"",ft.action,
"SetFocus textField(""@name='FOLDER_QF_BATCH_NAME_0'"")",26,353,Passed,"",ft.action,
"Click button(""@name='FOLDER_QF_NEW_HEADER_0'"")",27,1267,Passed,"",ft.action,
"Call Function: EBS_Reusable_Methods.generateUniqueData",,20,Passed,"",basic.stepGroup,
"SetText textField(""@name='HEADER_NAME_0'"") OATSUser-1030",,108,Passed,"",ft.action,
"Call Function: EBS_Reusable_Methods.GetText",,105,Passed,"",basic.stepGroup,
"Info",,1,Passed,"Comments: Text: OATSUser-1030",basic.comment,
"OpenDialog textField(""@name='HEADER_USER_JE_CATEGORY_NAME_0'"")",,1863,Passed,"",ft.action,
