157123,1,GL-JLAutoapproval,10/10/2017 11:38:42 AM,Failed,10/10/2017 11:36:05 AM,basic.step,GL Sceanrios,,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,98278,Passed,"",basic.init,
"Launch Browser: InternetExplorer 10.0.9200.17609",,2272,Passed,"",basic.step,
"Call Function: EBS_Reusable_Methods.login_EBS",,18212,Passed,"",basic.stepGroup,
"Launch Browser: InternetExplorer 10.0.9200.17609",,1448,Passed,"",basic.step,
"Think: 0 (sec).",,22,Passed,"",basic.comment,
"[1] Import Excel",,11263,Passed,"",basic.stepGroup,
"Info",,1,Passed,"Comments: selected environment is ++ ",basic.comment,
"Info",,0,Passed,"Comments: oatsuser",basic.comment,
"Navigate https://erpint.fin.yahoo.com:8000/",2,67,Passed,"",ft.action,
"Think: 10 (sec).",,10045,Passed,"",basic.comment,
"SetText textBox(""@id='usernameField'"") oatsuser",,133,Passed,"",ft.action,
"SetPassword textBox(""@id='passwordField'"") ******",,36,Passed,"",ft.action,
"Click button(""@index='0'"")",,95,Passed,"",ft.action,
"WaitForPage https://erpint.fin.yahoo.com:8000/OA_HTML/AppsLocalLogin.jsp",,413,Passed,"",web.pageComplete,
"Call Function: EBS_Reusable_Methods.expand_NodeFromList",,45612,Passed,"",basic.stepGroup,
"Think: 0 (sec).",,22,Passed,"",basic.comment,
"[3] Expand Node from the List",,1731,Passed,"",basic.stepGroup,
"Click element(""@text='System Administrator'"")",,1627,Passed,"",ft.action,
"Think: 0 (sec).",,16,Passed,"",basic.comment,
"[3] Expand Node from the List",,3703,Passed,"",basic.stepGroup,
"Click element(""@text='Concurrent'"")",,3648,Passed,"",ft.action,
"Think: 0 (sec).",,20,Passed,"",basic.comment,
"[4] Click on the link under the Node",,1761,Passed,"",basic.stepGroup,
"WaitForPage https://erpint.fin.yahoo.com:8000/OA_HTML/OA.jsp?OAFunc=OAHOMEPAGE#dummyAnchor",,443,Passed,"",web.pageComplete,
"Frame (URL=https://erpint.fin.yahoo.com:8000/OA_HTML/cabo/images/skyros/t.htm)",,0,Passed,"",web.frame,
"Frame (URL=https://erpint.fin.yahoo.com:8000/OA_HTML/blank.html)",,0,Passed,"",web.frame,
"Click element(""@text='Requests'"")",,1150,Passed,"",ft.action,
"Close window(""@name='JOBS_QF'"")",,21424,Passed,"",ft.action,
"Activate window(""@name='NAVIGATOR'"")",,13,Passed,"",ft.action,
"Think: 10 (sec).",,10047,Passed,"",basic.comment,
"Iteration Total (sec)",,58417,Failed,"",basic.iteration,
"Info",,0,Passed,"Comments: 110-100130-1013-0000-000-000000-000-0000",basic.comment,
"Info",,0,Passed,"Comments: 110-100300-1015-0000-000-000000-000-0000",basic.comment,
"Info",,0,Passed,"Comments: 30",basic.comment,
"Call Function: EBS_Reusable_Methods.SwitchResponsibility",,10095,Passed,"",basic.stepGroup,
"ClickToolbarButton window(""@name='NAVIGATOR'"") Switch Responsibility...",,826,Passed,"",ft.action,
"Think: 2 (sec).",,2024,Passed,"",basic.comment,
"Find listOfValues(""forms:listOfValues"") General Ledger Super User",,1122,Passed,"",ft.action,
"SelectItem treeList(""@name='NAVIGATOR_LIST_0'"") Journals",114,712,Passed,"",ft.action,
"SelectItem treeList(""@name='NAVIGATOR_LIST_0'"") Journals|Enter",161,3112,Passed,"",ft.action,
"SetFocus textField(""@name='FOLDER_QF_BATCH_NAME_0'"")",26,352,Passed,"",ft.action,
"Click button(""@name='FOLDER_QF_NEW_HEADER_0'"")",27,2543,Passed,"",ft.action,
"Call Function: EBS_Reusable_Methods.generateUniqueData",,21,Passed,"",basic.stepGroup,
"SetText textField(""@name='HEADER_NAME_0'"") OATSUser-381",,97,Passed,"",ft.action,
"Call Function: EBS_Reusable_Methods.GetText",,89,Passed,"",basic.stepGroup,
"Info",,0,Passed,"Comments: Text: OATSUser-381",basic.comment,
"OpenDialog textField(""@name='HEADER_USER_JE_CATEGORY_NAME_0'"")",,1991,Passed,"",ft.action,
"Activate window(""@name='HEADER'"")",32,51,Passed,"",ft.action,
"Select listOfValues(""forms:listOfValues"") Adjustment|Adjusting Journal Entry",33,867,Passed,"",ft.action,
"SetFocus textField(""@name='HEADER_PERIOD_NAME_0'"")",,44,Passed,"",ft.action,
"SetText textField(""@name='LINES_JE_LINE_NUM_0'"") 1",,645,Passed,"",ft.action,
"InvokeSoftKey textField(""@name='LINES_JE_LINE_NUM_0'"")",,488,Passed,"",ft.action,
"SetText textField(""@name='LINES_ACCOUNTING_FLEXFIELD_0'"") 110-100130-1013-0000-000-000000-000-0000",,51,Passed,"",ft.action,
"SetText textField(""@name='LINES_ENTERED_DR_0'"") 30",,1272,Passed,"",ft.action,
"InvokeSoftKey textField(""@name='LINES_ENTERED_DR_0'"")",,474,Passed,"",ft.action,
"SetText textField(""@name='LINES_ACCOUNTING_FLEXFIELD_1'"") 110-100300-1015-0000-000-000000-000-0000",,472,Passed,"",ft.action,
"SetText textField(""@name='LINES_ENTERED_CR_1'"") 30",,655,Passed,"",ft.action,
"InvokeSoftKey textField(""@name='LINES_ENTERED_CR_1'"")",,454,Passed,"",ft.action,
"ClickToolbarButton window(""@name='HEADER'"") Save",,1900,Passed,"",ft.action,
"Click button(""@name='CONTROL_HEADER_APPROVE_0'"")",,346,Passed,"",ft.action,
"Unexpected Failure",,0,Failed,"basic Caused by: NullPointerException occured.",basic.step,
"Finish Total (sec)",,52,Passed,"",basic.finish,
