158266,1,GL-JLAutoapproval,10/12/2017 15:29:10 PM,Failed,10/12/2017 15:26:31 PM,basic.step,GL Sceanrios,,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,95570,Passed,"",basic.init,
"Launch Browser: InternetExplorer 10.0.9200.17609",,2105,Passed,"",basic.step,
"Call Function: EBS_Reusable_Methods.login_EBS",,18303,Passed,"",basic.stepGroup,
"Launch Browser: InternetExplorer 10.0.9200.17609",,1488,Passed,"",basic.step,
"Think: 0 (sec).",,29,Passed,"",basic.comment,
"[1] Import Excel",,11292,Passed,"",basic.stepGroup,
"Info",,2,Passed,"Comments: selected environment is ++ ",basic.comment,
"Info",,0,Passed,"Comments: oatsuser",basic.comment,
"Navigate https://erpint.fin.yahoo.com:8000/",2,76,Passed,"",ft.action,
"Think: 10 (sec).",,10028,Passed,"",basic.comment,
"SetText textBox(""@id='usernameField'"") oatsuser",,132,Passed,"",ft.action,
"SetPassword textBox(""@id='passwordField'"") ******",,45,Passed,"",ft.action,
"Click button(""@index='0'"")",,109,Passed,"",ft.action,
"WaitForPage https://erpint.fin.yahoo.com:8000/OA_HTML/AppsLocalLogin.jsp",,426,Passed,"",web.pageComplete,
"Call Function: EBS_Reusable_Methods.expand_NodeFromList",,41389,Passed,"",basic.stepGroup,
"Think: 0 (sec).",,26,Passed,"",basic.comment,
"[3] Expand Node from the List",,665,Passed,"",basic.stepGroup,
"Click element(""@text='System Administrator'"")",,564,Passed,"",ft.action,
"Think: 0 (sec).",,20,Passed,"",basic.comment,
"[3] Expand Node from the List",,1435,Passed,"",basic.stepGroup,
"Click element(""@text='Concurrent'"")",,1366,Passed,"",ft.action,
"Think: 0 (sec).",,20,Passed,"",basic.comment,
"[4] Click on the link under the Node",,892,Passed,"",basic.stepGroup,
"WaitForPage https://erpint.fin.yahoo.com:8000/OA_HTML/OA.jsp?OAFunc=OAHOMEPAGE#dummyAnchor",,422,Passed,"",web.pageComplete,
"Frame (URL=https://erpint.fin.yahoo.com:8000/OA_HTML/cabo/images/skyros/t.htm)",,0,Passed,"",web.frame,
"Frame (URL=https://erpint.fin.yahoo.com:8000/OA_HTML/blank.html)",,0,Passed,"",web.frame,
"Click element(""@text='Requests'"")",,301,Passed,"",ft.action,
"Close window(""@name='JOBS_QF'"")",,22954,Passed,"",ft.action,
"Activate window(""@name='NAVIGATOR'"")",,19,Passed,"",ft.action,
"Think: 10 (sec).",,10020,Passed,"",basic.comment,
"Iteration Total (sec)",,62260,Failed,"",basic.iteration,
"Info",,0,Passed,"Comments: 110-100130-1013-0000-000-000000-000-0000",basic.comment,
"Info",,0,Passed,"Comments: 110-100300-1015-0000-000-000000-000-0000",basic.comment,
"Info",,1,Passed,"Comments: 30",basic.comment,
"Call Function: EBS_Reusable_Methods.SwitchResponsibility",,10869,Passed,"",basic.stepGroup,
"ClickToolbarButton window(""@name='NAVIGATOR'"") Switch Responsibility...",,946,Passed,"",ft.action,
"Think: 2 (sec).",,2020,Passed,"",basic.comment,
"Find listOfValues(""forms:listOfValues"") General Ledger Super User",,1746,Passed,"",ft.action,
"SelectItem treeList(""@name='NAVIGATOR_LIST_0'"") Journals",114,792,Passed,"",ft.action,
"SelectItem treeList(""@name='NAVIGATOR_LIST_0'"") Journals|Enter",161,3561,Passed,"",ft.action,
"SetFocus textField(""@name='FOLDER_QF_BATCH_NAME_0'"")",26,346,Passed,"",ft.action,
"Click button(""@name='FOLDER_QF_NEW_HEADER_0'"")",27,2889,Passed,"",ft.action,
"Call Function: EBS_Reusable_Methods.generateUniqueData",,26,Passed,"",basic.stepGroup,
"SetText textField(""@name='HEADER_NAME_0'"") OATSUser-2826",,113,Passed,"",ft.action,
"Call Function: EBS_Reusable_Methods.GetText",,100,Passed,"",basic.stepGroup,
"Info",,0,Passed,"Comments: Text: OATSUser-2826",basic.comment,
"OpenDialog textField(""@name='HEADER_USER_JE_CATEGORY_NAME_0'"")",,2117,Passed,"",ft.action,
"Activate window(""@name='HEADER'"")",32,50,Passed,"",ft.action,
"Select listOfValues(""forms:listOfValues"") Adjustment|Adjusting Journal Entry",33,801,Passed,"",ft.action,
"SetFocus textField(""@name='HEADER_PERIOD_NAME_0'"")",,49,Passed,"",ft.action,
"SetText textField(""@name='LINES_JE_LINE_NUM_0'"") 1",,564,Passed,"",ft.action,
"InvokeSoftKey textField(""@name='LINES_JE_LINE_NUM_0'"")",,495,Passed,"",ft.action,
"SetText textField(""@name='LINES_ACCOUNTING_FLEXFIELD_0'"") 110-100130-1013-0000-000-000000-000-0000",,52,Passed,"",ft.action,
"SetText textField(""@name='LINES_ENTERED_DR_0'"") 30",,1347,Passed,"",ft.action,
"InvokeSoftKey textField(""@name='LINES_ENTERED_DR_0'"")",,486,Passed,"",ft.action,
"SetText textField(""@name='LINES_ACCOUNTING_FLEXFIELD_1'"") 110-100300-1015-0000-000-000000-000-0000",,634,Passed,"",ft.action,
"SetText textField(""@name='LINES_ENTERED_CR_1'"") 30",,750,Passed,"",ft.action,
"InvokeSoftKey textField(""@name='LINES_ENTERED_CR_1'"")",,535,Passed,"",ft.action,
"ClickToolbarButton window(""@name='HEADER'"") Save",,3412,Passed,"",ft.action,
"Reported Failure",,0,Failed,"CONTROL_HEADER_APPROVE_0button is disabled",basic.comment,
"Unexpected Failure",,0,Failed,"basic Caused by: NullPointerException occured.",basic.step,
"Finish Total (sec)",,50,Passed,"",basic.finish,
