150482,1,TC GL Reverse,8/22/2017 15:51:22 PM,Passed,8/22/2017 15:48:51 PM,basic.step,OFT,,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,1946,Passed,"",basic.init,
"Launch Browser: InternetExplorer 8.0.7601.17514",,1577,Passed,"",basic.step,
"Iteration Total (sec)",,148325,Passed,"",basic.iteration,
"Think: 0 (sec).",,26,Passed,"",basic.comment,
"[1] Certificate Error: Navigation Blocked (/erpptp1.fin.yahoo.com:8000/)",,2468,Passed,"",basic.stepGroup,
"Navigate https://erpptp1.fin.yahoo.com:8000/",2,81,Passed,"",ft.action,
"WaitForPage res://ieframe.dll/invalidcert.htm?SSLError=67108864#https://erpptp1.fin.yahoo.com:8000/",4,694,Passed,"",web.pageComplete,
"Think: 1.219 (sec).",,1240,Passed,"",basic.comment,
"Click link(""@text='Continue to this website (not recommended).'"")",5,242,Passed,"",ft.action,
"Think: 0 (sec).",,31,Passed,"",basic.comment,
"[2] E-Business Suite Home Page Redirect (/erpptp1.fin.yahoo.com:8000/)",,9949,Passed,"",basic.stepGroup,
"WaitForPage https://erpptp1.fin.yahoo.com:8000/",6,525,Passed,"",web.pageComplete,
"Think: 5.119 (sec).",,5138,Passed,"",basic.comment,
"SetText textBox(""@id='usernameField'"") oatsuser",7,79,Passed,"",ft.action,
"Think: 0.562 (sec).",,586,Passed,"",basic.comment,
"PressTab textBox(""@id='usernameField'"")",8,104,Passed,"",ft.action,
"Think: 1.014 (sec).",,1034,Passed,"",basic.comment,
"SetPassword textBox(""@id='passwordField'"") ******",9,143,Passed,"",ft.action,
"Think: 1.797 (sec).",,1811,Passed,"",basic.comment,
"Click button(""@index='0'"")",10,191,Passed,"",ft.action,
"Think: 0 (sec).",,25,Passed,"",basic.comment,
"[3] Home (/OA.jsp)",,7474,Passed,"",basic.stepGroup,
"WaitForPage https://erpptp1.fin.yahoo.com:8000/OA_HTML/AppsLocalLogin.jsp",11,402,Passed,"",web.pageComplete,
"Think: 6.438 (sec).",,6455,Passed,"",basic.comment,
"Click element(""@text='General Ledger Super User'"")",14,479,Passed,"",ft.action,
"Think: 0 (sec).",,20,Passed,"",basic.comment,
"[4] Home (/OA.jsp)",,5070,Passed,"",basic.stepGroup,
"WaitForPage https://erpptp1.fin.yahoo.com:8000/OA_HTML/OA.jsp?OAFunc=OAHOMEPAGE#dummyAnchor1",15,429,Passed,"",web.pageComplete,
"Frame (URL=https://erpptp1.fin.yahoo.com:8000/OA_HTML/cabo/images/skyros/t.htm)",,0,Passed,"",web.frame,
"Frame (URL=https://erpptp1.fin.yahoo.com:8000/OA_HTML/blank.html)",,0,Passed,"",web.frame,
"Think: 3.141 (sec).",,3156,Passed,"",basic.comment,
"Click element(""@text='Journals'"")",18,1318,Passed,"",ft.action,
"Think: 0 (sec).",,19,Passed,"",basic.comment,
"[5] Home (/OA.jsp)",,4756,Passed,"",basic.stepGroup,
"WaitForPage https://erpptp1.fin.yahoo.com:8000/OA_HTML/OA.jsp?OAFunc=OAHOMEPAGE#dummyAnchor",19,419,Passed,"",web.pageComplete,
"Frame (URL=https://erpptp1.fin.yahoo.com:8000/OA_HTML/cabo/images/skyros/t.htm)",,0,Passed,"",web.frame,
"Frame (URL=https://erpptp1.fin.yahoo.com:8000/OA_HTML/blank.html)",,0,Passed,"",web.frame,
"Think: 2.25 (sec).",,2277,Passed,"",basic.comment,
"Click element(""@text='Enter'"")",22,1904,Passed,"",ft.action,
"Think: 0 (sec).",,18,Passed,"",basic.comment,
"[6] Home (/fndlist.jar&jinit_appletcache=off&gp15=icx_ticket&gv15=jGsum7a6gkLdjBDCqj7xcw..&gp2=resp_app&gv2=SQLGL&gp3=resp&gv3=GENERAL_LEDGER_SUPER_USER&gp4=sec_group&gv4=STANDARD&gp5=function&gv5=GLXJEENT_A&gp6=other_params&gv6=&gp7=jsp_agent&gv7=htt...",,6369,Passed,"",basic.stepGroup,
"WaitForPage https://erpptp1.fin.yahoo.com:8000/forms/frmservlet?lang=US&lookAndFeel=ORACLE&colorScheme=SWAN&serverApp=OracleApplications&digitSubstitution=CONTEXT&env=NLS_LANG='AMERICAN_AMERICA'+FORMS_USER_DATE_FORMAT='DD-MON-RRRR'+FORMS_USER_DATETIME...",23,6329,Passed,"",web.pageComplete,
"Think: 0 (sec).",,34,Passed,"",basic.comment,
"[7] Find Journals",,111530,Passed,"",basic.stepGroup,
"Forms Screen shot",27,1473,Passed,"",ft.screenshot,
