176634,1,AddUsers&Resp,11/02/2017 17:05:29 PM,Passed,11/02/2017 17:02:32 PM,basic.step,GeneralScenarios,,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,93194,Passed,"",basic.init,
"Launch Browser: InternetExplorer 10.0.9200.17609",,2110,Passed,"",basic.step,
"Call Function: EBS_Reusable_Methods.login_EBS",,18319,Passed,"",basic.stepGroup,
"Launch Browser: InternetExplorer 10.0.9200.17609",,1534,Passed,"",basic.step,
"Think: 0 (sec).",,24,Passed,"",basic.comment,
"[1] Import Excel",,11294,Passed,"",basic.stepGroup,
"Info",,1,Passed,"Comments: selected environment is ++ ",basic.comment,
"Info",,0,Passed,"Comments: oatsuser",basic.comment,
"Navigate https://erpint.fin.yahoo.com:8000/",2,64,Passed,"",ft.action,
"Think: 10 (sec).",,10034,Passed,"",basic.comment,
"SetText textBox(""@id='usernameField'"") oatsuser",,151,Passed,"",ft.action,
"SetPassword textBox(""@id='passwordField'"") ******",,39,Passed,"",ft.action,
"Click button(""@index='0'"")",,112,Passed,"",ft.action,
"WaitForPage https://erpint.fin.yahoo.com:8000/OA_HTML/AppsLocalLogin.jsp",,438,Passed,"",web.pageComplete,
"Call Function: EBS_Reusable_Methods.expand_NodeFromList",,41147,Passed,"",basic.stepGroup,
"Think: 0 (sec).",,26,Passed,"",basic.comment,
"[3] Expand Node from the List",,671,Passed,"",basic.stepGroup,
"Click element(""@text='System Administrator'"")",,612,Passed,"",ft.action,
"Think: 0 (sec).",,18,Passed,"",basic.comment,
"[3] Expand Node from the List",,1395,Passed,"",basic.stepGroup,
"Click element(""@text='Concurrent'"")",,1338,Passed,"",ft.action,
"Think: 0 (sec).",,18,Passed,"",basic.comment,
"[4] Click on the link under the Node",,928,Passed,"",basic.stepGroup,
"WaitForPage https://erpint.fin.yahoo.com:8000/OA_HTML/OA.jsp?OAFunc=OAHOMEPAGE#dummyAnchor",,430,Passed,"",web.pageComplete,
"Frame (URL=https://erpint.fin.yahoo.com:8000/OA_HTML/cabo/images/skyros/t.htm)",,0,Passed,"",web.frame,
"Frame (URL=https://erpint.fin.yahoo.com:8000/OA_HTML/blank.html)",,0,Passed,"",web.frame,
"Click element(""@text='Requests'"")",,294,Passed,"",ft.action,
"Close window(""@name='JOBS_QF'"")",,20913,Passed,"",ft.action,
"Activate window(""@name='NAVIGATOR'"")",,19,Passed,"",ft.action,
"Think: 10 (sec).",,9979,Passed,"",basic.comment,
"Iteration Total (sec)",,83076,Passed,"",basic.iteration,
"Call Function: EBS_Reusable_Methods.SwitchResponsibility",,9883,Passed,"",basic.stepGroup,
"ClickToolbarButton window(""@name='NAVIGATOR'"") Switch Responsibility...",,830,Passed,"",ft.action,
"Think: 2 (sec).",,2018,Passed,"",basic.comment,
"Find listOfValues(""forms:listOfValues"") System Administrator",,916,Passed,"",ft.action,
"FocusItem treeList(""@name='NAVIGATOR_LIST_0'"") Security",,585,Passed,"",ft.action,
"SelectItem treeList(""@name='NAVIGATOR_LIST_0'"") Security",,558,Passed,"",ft.action,
"SelectItem treeList(""@name='NAVIGATOR_LIST_0'"") Security|User",,696,Passed,"",ft.action,
"SelectItem treeList(""@name='NAVIGATOR_LIST_0'"") Security|User|Define",,1097,Passed,"",ft.action,
"InvokeSoftKey textField(""@name='USER_USER_NAME_0'"")",,244,Passed,"",ft.action,
"SetText textField(""@name='USER_USER_NAME_0'"") oatsmgr",,69,Passed,"",ft.action,
"InvokeSoftKey textField(""@name='USER_USER_NAME_0'"")",,317,Passed,"",ft.action,
"Call Function: EBS_Reusable_Methods.GetText",,84,Passed,"",basic.stepGroup,
"Info",,0,Passed,"Comments: Text: OATSMGR",basic.comment,
"Call Function: EBS_Reusable_Methods.GetText",,69,Passed,"",basic.stepGroup,
"Info",,1,Passed,"Comments: Text: 30-NOV-2017",basic.comment,
"Call Function: EBS_Reusable_Methods.getDateTimeFormat",,84,Passed,"",basic.stepGroup,
"Info",,0,Passed,"Comments: insside getDateTimeFormat",basic.comment,
"Info",,1,Passed,"Comments: 2-Nov-2017",basic.comment,
"Info",,1,Passed,"Comments: OATSMGR",basic.comment,
"Info",,0,Passed,"Comments: 30-NOV-2017",basic.comment,
"Info",,0,Passed,"Comments: 2-Nov-2017",basic.comment,
"Reported Pass",,0,Passed,"Comments: user Already Exists",basic.comment,
"Info",,0,Passed,"Comments: test",basic.comment,
"Click textField(""@name='USER_RESP_RESPONSIBILITY_NAME_0'"") ",,238,Passed,"",ft.action,
"SelectMenuItem window(""@name='USER_WINDOW'"") View|Query By Example|Enter",,3023,Passed,"",ft.action,
"SetText textField(""@name='USER_RESP_RESPONSIBILITY_NAME_0'"") Purchasing Super User",,71,Passed,"",ft.action,
"InvokeSoftKey textField(""@name='USER_RESP_RESPONSIBILITY_NAME_0'"")",,431,Passed,"",ft.action,
"Think: 5 (sec).",,5020,Passed,"",basic.comment,
"Call Function: EBS_Reusable_Methods.GetText",,73,Passed,"",basic.stepGroup,
"Info",,0,Passed,"Comments: Text: Purchasing Super User",basic.comment,
"Info",,0,Passed,"Comments: Purchasing Super User",basic.comment,
"Click textField(""@name='USER_RESP_RESPONSIBILITY_NAME_0'"") ",,21,Passed,"",ft.action,
"SelectMenuItem window(""@name='USER_WINDOW'"") View|Query By Example|Enter",,3027,Passed,"",ft.action,
"SetText textField(""@name='USER_RESP_RESPONSIBILITY_NAME_0'"") System Administration",,63,Passed,"",ft.action,
"InvokeSoftKey textField(""@name='USER_RESP_RESPONSIBILITY_NAME_0'"")",,257,Passed,"",ft.action,
"Think: 5 (sec).",,5019,Passed,"",basic.comment,
"Call Function: EBS_Reusable_Methods.GetText",,69,Passed,"",basic.stepGroup,
"Info",,0,Passed,"Comments: Text: System Administration",basic.comment,
"Info",,0,Passed,"Comments: System Administration",basic.comment,
"Click textField(""@name='USER_RESP_RESPONSIBILITY_NAME_0'"") ",,19,Passed,"",ft.action,
"SelectMenuItem window(""@name='USER_WINDOW'"") View|Query By Example|Enter",,3015,Passed,"",ft.action,
"SetText textField(""@name='USER_RESP_RESPONSIBILITY_NAME_0'"") Payables Manager",,80,Passed,"",ft.action,
"InvokeSoftKey textField(""@name='USER_RESP_RESPONSIBILITY_NAME_0'"")",,61,Passed,"",ft.action,
"Think: 5 (sec).",,5019,Passed,"",basic.comment,
"Call Function: EBS_Reusable_Methods.GetText",,66,Passed,"",basic.stepGroup,
"Info",,0,Passed,"Comments: Text: Payables Manager",basic.comment,
"Info",,0,Passed,"Comments: Payables Manager",basic.comment,
"Click textField(""@name='USER_RESP_RESPONSIBILITY_NAME_0'"") ",,19,Passed,"",ft.action,
"SelectMenuItem window(""@name='USER_WINDOW'"") View|Query By Example|Enter",,3017,Passed,"",ft.action,
"SetText textField(""@name='USER_RESP_RESPONSIBILITY_NAME_0'"") Project Billing Super User",,64,Passed,"",ft.action,
"InvokeSoftKey textField(""@name='USER_RESP_RESPONSIBILITY_NAME_0'"")",,58,Passed,"",ft.action,
"Think: 5 (sec).",,5028,Passed,"",basic.comment,
"Call Function: EBS_Reusable_Methods.GetText",,71,Passed,"",basic.stepGroup,
"Info",,0,Passed,"Comments: Text: Project Billing Super User",basic.comment,
"Info",,0,Passed,"Comments: Project Billing Super User",basic.comment,
"Click textField(""@name='USER_RESP_RESPONSIBILITY_NAME_0'"") ",,17,Passed,"",ft.action,
"SelectMenuItem window(""@name='USER_WINDOW'"") View|Query By Example|Enter",,3017,Passed,"",ft.action,
"SetText textField(""@name='USER_RESP_RESPONSIBILITY_NAME_0'"") Fixed Assets Manager",,67,Passed,"",ft.action,
"InvokeSoftKey textField(""@name='USER_RESP_RESPONSIBILITY_NAME_0'"")",,58,Passed,"",ft.action,
"Think: 5 (sec).",,5016,Passed,"",basic.comment,
"Call Function: EBS_Reusable_Methods.GetText",,66,Passed,"",basic.stepGroup,
"Info",,0,Passed,"Comments: Text: Fixed Assets Manager",basic.comment,
"Info",,0,Passed,"Comments: Fixed Assets Manager",basic.comment,
"Click textField(""@name='USER_RESP_RESPONSIBILITY_NAME_0'"") ",,18,Passed,"",ft.action,
"SelectMenuItem window(""@name='USER_WINDOW'"") View|Query By Example|Enter",,3017,Passed,"",ft.action,
"SetText textField(""@name='USER_RESP_RESPONSIBILITY_NAME_0'"") General Ledger SuperUser",,72,Passed,"",ft.action,
"InvokeSoftKey textField(""@name='USER_RESP_RESPONSIBILITY_NAME_0'"")",,63,Passed,"",ft.action,
"Think: 5 (sec).",,5031,Passed,"",basic.comment,
"Call Function: EBS_Reusable_Methods.GetText",,65,Passed,"",basic.stepGroup,
"Info",,0,Passed,"Comments: Text: General Ledger SuperUser",basic.comment,
"Info",,0,Passed,"Comments: General Ledger SuperUser",basic.comment,
"Click textField(""@name='USER_RESP_RESPONSIBILITY_NAME_0'"") ",,18,Passed,"",ft.action,
"SelectMenuItem window(""@name='USER_WINDOW'"") View|Query By Example|Enter",,3018,Passed,"",ft.action,
"SetText textField(""@name='USER_RESP_RESPONSIBILITY_NAME_0'"") Receivables Manager",,63,Passed,"",ft.action,
"InvokeSoftKey textField(""@name='USER_RESP_RESPONSIBILITY_NAME_0'"")",,61,Passed,"",ft.action,
"Think: 5 (sec).",,5030,Passed,"",basic.comment,
"Call Function: EBS_Reusable_Methods.GetText",,72,Passed,"",basic.stepGroup,
"Info",,0,Passed,"Comments: Text: Receivables Manager",basic.comment,
"Info",,0,Passed,"Comments: Receivables Manager",basic.comment,
"Click textField(""@name='USER_RESP_RESPONSIBILITY_NAME_0'"") ",,16,Passed,"",ft.action,
"SelectMenuItem window(""@name='USER_WINDOW'"") View|Query By Example|Enter",,3016,Passed,"",ft.action,
"SetText textField(""@name='USER_RESP_RESPONSIBILITY_NAME_0'"") Tax Managers",,67,Passed,"",ft.action,
"InvokeSoftKey textField(""@name='USER_RESP_RESPONSIBILITY_NAME_0'"")",,60,Passed,"",ft.action,
"Think: 5 (sec).",,5018,Passed,"",basic.comment,
"Call Function: EBS_Reusable_Methods.GetText",,68,Passed,"",basic.stepGroup,
"Info",,1,Passed,"Comments: Text: Tax Managers",basic.comment,
"Info",,0,Passed,"Comments: Tax Managers",basic.comment,
"Finish Total (sec)",,34,Passed,"",basic.finish,
