289521,1,AddUsers&Resp,10/19/2017 11:55:13 AM,Passed,10/19/2017 11:50:22 AM,basic.step,GeneralScenarios,,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,106274,Passed,"",basic.init,
"Launch Browser: InternetExplorer 10.0.9200.17609",,2148,Passed,"",basic.step,
"Call Function: EBS_Reusable_Methods.login_EBS",,18225,Passed,"",basic.stepGroup,
"Launch Browser: InternetExplorer 10.0.9200.17609",,1408,Passed,"",basic.step,
"Think: 0 (sec).",,31,Passed,"",basic.comment,
"[1] Import Excel",,11335,Passed,"",basic.stepGroup,
"Info",,1,Passed,"Comments: selected environment is ++ ",basic.comment,
"Info",,0,Passed,"Comments: oatsuser",basic.comment,
"Navigate https://erpint.fin.yahoo.com:8000/",2,70,Passed,"",ft.action,
"Think: 10 (sec).",,10043,Passed,"",basic.comment,
"SetText textBox(""@id='usernameField'"") oatsuser",,136,Passed,"",ft.action,
"SetPassword textBox(""@id='passwordField'"") ******",,41,Passed,"",ft.action,
"Click button(""@index='0'"")",,116,Passed,"",ft.action,
"WaitForPage https://erpint.fin.yahoo.com:8000/OA_HTML/AppsLocalLogin.jsp",,423,Passed,"",web.pageComplete,
"Call Function: EBS_Reusable_Methods.expand_NodeFromList",,42520,Passed,"",basic.stepGroup,
"Think: 0 (sec).",,28,Passed,"",basic.comment,
"[3] Expand Node from the List",,533,Passed,"",basic.stepGroup,
"Click element(""@text='System Administrator'"")",,445,Passed,"",ft.action,
"Think: 0 (sec).",,19,Passed,"",basic.comment,
"[3] Expand Node from the List",,2630,Passed,"",basic.stepGroup,
"Click element(""@text='Concurrent'"")",,2570,Passed,"",ft.action,
"Think: 0 (sec).",,19,Passed,"",basic.comment,
"[4] Click on the link under the Node",,908,Passed,"",basic.stepGroup,
"WaitForPage https://erpint.fin.yahoo.com:8000/OA_HTML/OA.jsp?OAFunc=OAHOMEPAGE#dummyAnchor",,438,Passed,"",web.pageComplete,
"Frame (URL=https://erpint.fin.yahoo.com:8000/OA_HTML/cabo/images/skyros/t.htm)",,0,Passed,"",web.frame,
"Frame (URL=https://erpint.fin.yahoo.com:8000/OA_HTML/blank.html)",,0,Passed,"",web.frame,
"Click element(""@text='Requests'"")",,300,Passed,"",ft.action,
"Close window(""@name='JOBS_QF'"")",,32485,Passed,"",ft.action,
"Activate window(""@name='NAVIGATOR'"")",,95,Passed,"",ft.action,
"Think: 10 (sec).",,10019,Passed,"",basic.comment,
"Iteration Total (sec)",,182843,Passed,"",basic.iteration,
"Call Function: EBS_Reusable_Methods.SwitchResponsibility",,11203,Passed,"",basic.stepGroup,
"ClickToolbarButton window(""@name='NAVIGATOR'"") Switch Responsibility...",,1388,Passed,"",ft.action,
"Think: 2 (sec).",,2029,Passed,"",basic.comment,
"Find listOfValues(""forms:listOfValues"") System Administrator",,1653,Passed,"",ft.action,
"FocusItem treeList(""@name='NAVIGATOR_LIST_0'"") Security",,1131,Passed,"",ft.action,
"SelectItem treeList(""@name='NAVIGATOR_LIST_0'"") Security",,1081,Passed,"",ft.action,
"SelectItem treeList(""@name='NAVIGATOR_LIST_0'"") Security|User",,1448,Passed,"",ft.action,
"SelectItem treeList(""@name='NAVIGATOR_LIST_0'"") Security|User|Define",,1871,Passed,"",ft.action,
"InvokeSoftKey textField(""@name='USER_USER_NAME_0'"")",,432,Passed,"",ft.action,
"SetText textField(""@name='USER_USER_NAME_0'"") automationuser5",,135,Passed,"",ft.action,
"InvokeSoftKey textField(""@name='USER_USER_NAME_0'"")",,441,Passed,"",ft.action,
"Call Function: EBS_Reusable_Methods.GetText",,75,Passed,"",basic.stepGroup,
"Info",,1,Passed,"Comments: Text: AUTOMATIONUSER5",basic.comment,
"Call Function: EBS_Reusable_Methods.createuser",,14755,Passed,"",basic.stepGroup,
"ClickToolbarButton window(""@name='USER_WINDOW'"") Close Form",,607,Passed,"",ft.action,
"SelectItem treeList(""@name='NAVIGATOR_LIST_0'"") Security|User|Define",,1841,Passed,"",ft.action,
"Think: 5 (sec).",,5030,Passed,"",basic.comment,
"SetText textField(""@name='USER_USER_NAME_0'"") automationuser5",,143,Passed,"",ft.action,
"SetText textField(""@name='USER_USER_PASSWORD_0'"") welcome1",,479,Passed,"",ft.action,
"ClickToolbarButton window(""@name='USER_WINDOW'"") Save",,676,Passed,"",ft.action,
"SetText textField(""@name='USER_USER_PASSWORD_0'"") welcome1",,129,Passed,"",ft.action,
"ClickToolbarButton window(""@name='USER_WINDOW'"") Save",,4709,Passed,"",ft.action,
"Info",,0,Passed,"Comments: Text: Active",basic.comment,
"Info",,0,Passed,"Comments: Text: 19-OCT-2017",basic.comment,
"ClickToolbarButton window(""@name='USER_WINDOW'"") Close Form",,591,Passed,"",ft.action,
"SelectItem treeList(""@name='NAVIGATOR_LIST_0'"") Security|User|Define",,1853,Passed,"",ft.action,
"InvokeSoftKey textField(""@name='USER_USER_NAME_0'"")",,439,Passed,"",ft.action,
"SetText textField(""@name='USER_USER_NAME_0'"") automationuser5",,128,Passed,"",ft.action,
"InvokeSoftKey textField(""@name='USER_USER_NAME_0'"")",,507,Passed,"",ft.action,
"Think: 5 (sec).",,5028,Passed,"",basic.comment,
"Call Function: EBS_Reusable_Methods.addResponsibility",,13097,Passed,"",basic.stepGroup,
