234058,1,AddingAttachmenttoSupplier,10/11/2017 10:03:20 AM,Passed,10/11/2017 09:59:25 AM,basic.step,OFT,,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,93428,Passed,"",basic.init,
"Launch Browser: InternetExplorer 10.0.9200.17609",,2043,Passed,"",basic.step,
"Call Function: EBS_Reusable_Methods.login_EBS",,18894,Passed,"",basic.stepGroup,
"Launch Browser: InternetExplorer 10.0.9200.17609",,1415,Passed,"",basic.step,
"Think: 0 (sec).",,41,Passed,"",basic.comment,
"[1] Import Excel",,11995,Passed,"",basic.stepGroup,
"Info",,1,Passed,"Comments: selected environment is ++ ",basic.comment,
"Info",,0,Passed,"Comments: oatsuser",basic.comment,
"Navigate https://erpint.fin.yahoo.com:8000/",2,66,Passed,"",ft.action,
"Think: 10 (sec).",,10703,Passed,"",basic.comment,
"SetText textBox(""@id='usernameField'"") oatsuser",,146,Passed,"",ft.action,
"SetPassword textBox(""@id='passwordField'"") ******",,47,Passed,"",ft.action,
"Click button(""@index='0'"")",,110,Passed,"",ft.action,
"WaitForPage https://erpint.fin.yahoo.com:8000/OA_HTML/AppsLocalLogin.jsp",,476,Passed,"",web.pageComplete,
"Call Function: EBS_Reusable_Methods.expand_NodeFromList",,41570,Passed,"",basic.stepGroup,
"Think: 0 (sec).",,26,Passed,"",basic.comment,
"[3] Expand Node from the List",,677,Passed,"",basic.stepGroup,
"Click element(""@text='System Administrator'"")",,624,Passed,"",ft.action,
"Think: 0 (sec).",,24,Passed,"",basic.comment,
"[3] Expand Node from the List",,2089,Passed,"",basic.stepGroup,
"Click element(""@text='Concurrent'"")",,2035,Passed,"",ft.action,
"Think: 0 (sec).",,22,Passed,"",basic.comment,
"[4] Click on the link under the Node",,1024,Passed,"",basic.stepGroup,
"WaitForPage https://erpint.fin.yahoo.com:8000/OA_HTML/OA.jsp?OAFunc=OAHOMEPAGE#dummyAnchor",,459,Passed,"",web.pageComplete,
"Frame (URL=https://erpint.fin.yahoo.com:8000/OA_HTML/cabo/images/skyros/t.htm)",,0,Passed,"",web.frame,
"Frame (URL=https://erpint.fin.yahoo.com:8000/OA_HTML/blank.html)",,0,Passed,"",web.frame,
"Click element(""@text='Requests'"")",,384,Passed,"",ft.action,
"Close window(""@name='JOBS_QF'"")",,20156,Passed,"",ft.action,
"Activate window(""@name='NAVIGATOR'"")",,16,Passed,"",ft.action,
"Think: 10 (sec).",,10017,Passed,"",basic.comment,
"Iteration Total (sec)",,140234,Passed,"",basic.iteration,
