215191,1,AddingAttachmenttoSupplier,10/11/2017 15:27:31 PM,Passed,10/11/2017 15:23:55 PM,basic.step,Purchasing,,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,92190,Passed,"",basic.init,
"Launch Browser: InternetExplorer 10.0.9200.17609",,1933,Passed,"",basic.step,
"Call Function: EBS_Reusable_Methods.login_EBS",,17964,Passed,"",basic.stepGroup,
"Launch Browser: InternetExplorer 10.0.9200.17609",,1349,Passed,"",basic.step,
"Think: 0 (sec).",,24,Passed,"",basic.comment,
"[1] Import Excel",,11200,Passed,"",basic.stepGroup,
"Info",,1,Passed,"Comments: selected environment is ++ ",basic.comment,
"Info",,0,Passed,"Comments: oatsuser",basic.comment,
"Navigate https://erpint.fin.yahoo.com:8000/",2,68,Passed,"",ft.action,
"Think: 10 (sec).",,10029,Passed,"",basic.comment,
"SetText textBox(""@id='usernameField'"") oatsuser",,126,Passed,"",ft.action,
"SetPassword textBox(""@id='passwordField'"") ******",,42,Passed,"",ft.action,
"Click button(""@index='0'"")",,113,Passed,"",ft.action,
"WaitForPage https://erpint.fin.yahoo.com:8000/OA_HTML/AppsLocalLogin.jsp",,436,Passed,"",web.pageComplete,
"Call Function: EBS_Reusable_Methods.expand_NodeFromList",,40398,Passed,"",basic.stepGroup,
"Think: 0 (sec).",,24,Passed,"",basic.comment,
"[3] Expand Node from the List",,568,Passed,"",basic.stepGroup,
"Click element(""@text='System Administrator'"")",,526,Passed,"",ft.action,
"Think: 0 (sec).",,20,Passed,"",basic.comment,
"[3] Expand Node from the List",,1505,Passed,"",basic.stepGroup,
"Click element(""@text='Concurrent'"")",,1449,Passed,"",ft.action,
"Think: 0 (sec).",,20,Passed,"",basic.comment,
"[4] Click on the link under the Node",,926,Passed,"",basic.stepGroup,
"WaitForPage https://erpint.fin.yahoo.com:8000/OA_HTML/OA.jsp?OAFunc=OAHOMEPAGE#dummyAnchor",,456,Passed,"",web.pageComplete,
"Frame (URL=https://erpint.fin.yahoo.com:8000/OA_HTML/cabo/images/skyros/t.htm)",,0,Passed,"",web.frame,
"Frame (URL=https://erpint.fin.yahoo.com:8000/OA_HTML/blank.html)",,0,Passed,"",web.frame,
"Click element(""@text='Requests'"")",,300,Passed,"",ft.action,
"Close window(""@name='JOBS_QF'"")",,21194,Passed,"",ft.action,
"Activate window(""@name='NAVIGATOR'"")",,11,Passed,"",ft.action,
"Think: 10 (sec).",,10030,Passed,"",basic.comment,
"Iteration Total (sec)",,122630,Passed,"",basic.iteration,
"Call Function: EBS_Reusable_Methods.SwitchResponsibility",,10035,Passed,"",basic.stepGroup,
"ClickToolbarButton window(""@name='NAVIGATOR'"") Switch Responsibility...",,835,Passed,"",ft.action,
"Think: 2 (sec).",,2020,Passed,"",basic.comment,
"Find listOfValues(""forms:listOfValues"") Payables Manager",,1059,Passed,"",ft.action,
"FocusItem treeList(""@name='NAVIGATOR_LIST_0'"") Suppliers",,634,Passed,"",ft.action,
"SelectItem treeList(""@name='NAVIGATOR_LIST_0'"") Suppliers",,696,Passed,"",ft.action,
"SelectItem treeList(""@name='NAVIGATOR_LIST_0'"") Suppliers|Entry",,974,Passed,"",ft.action,
