9/15/2017 10:06:01 AM - Launch Browser: IE version 8.0.7601.17514
9/15/2017 10:28:16 AM - Save Script: Version 12.5.0.3.1012 User oats
9/15/2017 10:29:14 AM - Save Script: Version 12.5.0.3.1012 User oats
9/15/2017 10:30:51 AM - Save Script: Version 12.5.0.3.1012 User oats
9/15/2017 10:31:24 AM - Save Script: Version 12.5.0.3.1012 User oats
9/15/2017 10:31:53 AM - Save Script: Version 12.5.0.3.1012 User oats
9/15/2017 10:32:17 AM - Save Script: Version 12.5.0.3.1012 User oats
9/15/2017 10:47:55 AM - Save Script: Version 12.5.0.3.1012 User oats
9/15/2017 11:06:17 AM - Save Script: Version 12.5.0.3.1012 User oats
9/15/2017 11:33:50 AM - Save Script: Version 12.5.0.3.1012 User oats
9/15/2017 12:24:33 PM - Save Script: Version 12.5.0.3.1012 User oats
9/15/2017 12:27:02 PM - Save Script: Version 12.5.0.3.1012 User oats
9/15/2017 12:31:43 PM - Save Script: Version 12.5.0.3.1012 User oats
9/15/2017 12:36:07 PM - Save Script: Version 12.5.0.3.1012 User oats
9/15/2017 12:48:00 PM - Save Script: Version 12.5.0.3.1012 User oats
9/15/2017 12:53:33 PM - Save Script: Version 12.5.0.3.1012 User oats
9/15/2017 13:01:07 PM - Save Script: Version 12.5.0.3.1012 User oats
9/15/2017 13:33:39 PM - Save Script: Version 12.5.0.3.1012 User oats
9/15/2017 13:41:01 PM - Save Script: Version 12.5.0.3.1012 User oats
9/15/2017 13:44:14 PM - Save Script: Version 12.5.0.3.1012 User oats
9/15/2017 13:45:40 PM - Save Script: Version 12.5.0.3.1012 User oats
9/15/2017 13:48:16 PM - Save Script: Version 12.5.0.3.1012 User oats
9/15/2017 13:48:26 PM - Save Script: Version 12.5.0.3.1012 User oats
9/15/2017 13:49:17 PM - Save Script: Version 12.5.0.3.1012 User oats
9/15/2017 13:49:50 PM - Save Script: Version 12.5.0.3.1012 User oats
9/15/2017 19:33:12 PM - Upgrade Script Results: Successfully upgraded script results.
9/18/2017 08:41:59 AM - Upgrade Script Results: Successfully upgraded script results.
9/18/2017 09:20:30 AM - Upgrade Script Results: Successfully upgraded script results.
10/03/2017 09:24:03 AM - Save Script: Version 12.5.0.3.1012 User oats
10/03/2017 10:56:30 AM - Save Script: Version 12.5.0.3.1012 User oats
10/03/2017 10:56:38 AM - Save Script: Version 12.5.0.3.1012 User oats
10/03/2017 10:57:11 AM - Save Script: Version 12.5.0.3.1012 User oats
10/03/2017 12:31:01 PM - Save Script: Version 12.5.0.3.1012 User oats
10/03/2017 12:32:18 PM - Save Script: Version 12.5.0.3.1012 User oats
10/03/2017 12:33:23 PM - Save Script: Version 12.5.0.3.1012 User oats
10/03/2017 12:33:39 PM - Save Script: Version 12.5.0.3.1012 User oats
10/03/2017 12:34:50 PM - Save Script: Version 12.5.0.3.1012 User oats
10/03/2017 14:57:17 PM - Save Script: Version 12.5.0.3.1012 User oats
10/03/2017 14:57:42 PM - Save Script: Version 12.5.0.3.1012 User oats
10/03/2017 14:57:50 PM - Save Script: Version 12.5.0.3.1012 User oats
10/03/2017 14:58:37 PM - Save Script: Version 12.5.0.3.1012 User oats
10/03/2017 14:59:04 PM - Save Script: Version 12.5.0.3.1012 User oats
10/03/2017 15:23:13 PM - Save Script: Version 12.5.0.3.1012 User oats
10/03/2017 15:24:33 PM - Save Script: Version 12.5.0.3.1012 User oats
10/03/2017 15:25:26 PM - Save Script: Version 12.5.0.3.1012 User oats
10/03/2017 15:55:46 PM - Save Script: Version 12.5.0.3.1012 User oats
10/03/2017 15:55:59 PM - Save Script: Version 12.5.0.3.1012 User oats
10/03/2017 15:56:15 PM - Save Script: Version 12.5.0.3.1012 User oats
10/03/2017 15:56:24 PM - Save Script: Version 12.5.0.3.1012 User oats
10/03/2017 15:56:33 PM - Save Script: Version 12.5.0.3.1012 User oats
10/03/2017 15:56:42 PM - Save Script: Version 12.5.0.3.1012 User oats
10/03/2017 15:57:16 PM - Save Script: Version 12.5.0.3.1012 User oats
10/03/2017 15:57:31 PM - Save Script: Version 12.5.0.3.1012 User oats
10/03/2017 15:57:55 PM - Save Script: Version 12.5.0.3.1012 User oats
10/03/2017 16:03:23 PM - Save Script: Version 12.5.0.3.1012 User oats
10/03/2017 16:04:35 PM - Save Script: Version 12.5.0.3.1012 User oats
10/03/2017 16:06:12 PM - Save Script: Version 12.5.0.3.1012 User oats
10/03/2017 16:06:49 PM - Save Script: Version 12.5.0.3.1012 User oats
10/03/2017 16:07:25 PM - Save Script: Version 12.5.0.3.1012 User oats
10/03/2017 16:07:53 PM - Save Script: Version 12.5.0.3.1012 User oats
10/03/2017 16:08:18 PM - Save Script: Version 12.5.0.3.1012 User oats
10/03/2017 16:08:50 PM - Save Script: Version 12.5.0.3.1012 User oats
10/03/2017 16:09:39 PM - Save Script: Version 12.5.0.3.1012 User oats
10/03/2017 16:14:54 PM - Save Script: Version 12.5.0.3.1012 User oats
10/03/2017 16:32:52 PM - Save Script: Version 12.5.0.3.1012 User oats
10/03/2017 16:33:25 PM - Save Script: Version 12.5.0.3.1012 User oats
10/03/2017 16:38:44 PM - Save Script: Version 12.5.0.3.1012 User oats
10/03/2017 16:40:36 PM - Save Script: Version 12.5.0.3.1012 User oats
10/03/2017 16:40:58 PM - Save Script: Version 12.5.0.3.1012 User oats
