419842,1,Create And Approve Requistion,10/10/2017 10:12:33 AM,Passed,10/10/2017 10:05:33 AM,basic.step,Purchasing,,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,98114,Passed,"",basic.init,
"Launch Browser: InternetExplorer 10.0.9200.17609",,2128,Passed,"",basic.step,
"Call Function: EBS_Reusable_Methods.login_EBS",,18208,Passed,"",basic.stepGroup,
"Launch Browser: InternetExplorer 10.0.9200.17609",,1463,Passed,"",basic.step,
"Think: 0 (sec).",,27,Passed,"",basic.comment,
"[1] Import Excel",,11259,Passed,"",basic.stepGroup,
"Info",,1,Passed,"Comments: selected environment is ++ ",basic.comment,
"Info",,0,Passed,"Comments: oatsuser",basic.comment,
"Navigate https://erpint.fin.yahoo.com:8000/",2,70,Passed,"",ft.action,
"Think: 10 (sec).",,10033,Passed,"",basic.comment,
"SetText textBox(""@id='usernameField'"") oatsuser",,128,Passed,"",ft.action,
"SetPassword textBox(""@id='passwordField'"") ******",,41,Passed,"",ft.action,
"Click button(""@index='0'"")",,106,Passed,"",ft.action,
"WaitForPage https://erpint.fin.yahoo.com:8000/OA_HTML/AppsLocalLogin.jsp",,426,Passed,"",web.pageComplete,
"Call Function: EBS_Reusable_Methods.expand_NodeFromList",,45424,Passed,"",basic.stepGroup,
"Think: 0 (sec).",,25,Passed,"",basic.comment,
"[3] Expand Node from the List",,1718,Passed,"",basic.stepGroup,
"Click element(""@text='System Administrator'"")",,1622,Passed,"",ft.action,
"Think: 0 (sec).",,20,Passed,"",basic.comment,
"[3] Expand Node from the List",,3639,Passed,"",basic.stepGroup,
"Click element(""@text='Concurrent'"")",,3577,Passed,"",ft.action,
"Think: 0 (sec).",,21,Passed,"",basic.comment,
"[4] Click on the link under the Node",,1681,Passed,"",basic.stepGroup,
"WaitForPage https://erpint.fin.yahoo.com:8000/OA_HTML/OA.jsp?OAFunc=OAHOMEPAGE#dummyAnchor",,421,Passed,"",web.pageComplete,
"Frame (URL=https://erpint.fin.yahoo.com:8000/OA_HTML/cabo/images/skyros/t.htm)",,0,Passed,"",web.frame,
"Frame (URL=https://erpint.fin.yahoo.com:8000/OA_HTML/blank.html)",,0,Passed,"",web.frame,
"Click element(""@text='Requests'"")",,1100,Passed,"",ft.action,
"Close window(""@name='JOBS_QF'"")",,21523,Passed,"",ft.action,
"Activate window(""@name='NAVIGATOR'"")",,20,Passed,"",ft.action,
"Think: 10 (sec).",,10018,Passed,"",basic.comment,
"Iteration Total (sec)",,321315,Passed,"",basic.iteration,
"Info",,0,Passed,"Comments: C:\OracleATS\OFT\Purchasing\Create And Approve Requistion\Create And Approve Requistion.jwg",basic.comment,
"Info",,0,Passed,"Comments: C:\OracleATS\OFT\Purchasing",basic.comment,
"Info",,0,Passed,"Comments: Create And Approve Requistion",basic.comment,
"Call Function: EBS_Reusable_Methods.SwitchResponsibility",,10394,Passed,"",basic.stepGroup,
"ClickToolbarButton window(""@name='NAVIGATOR'"") Switch Responsibility...",,810,Passed,"",ft.action,
"Think: 2 (sec).",,2027,Passed,"",basic.comment,
"Find listOfValues(""forms:listOfValues"") Purchasing Super User",,1435,Passed,"",ft.action,
"FocusItem treeList(""@name='NAVIGATOR_LIST_0'"") Requisitions",,617,Passed,"",ft.action,
"SelectItem treeList(""@name='NAVIGATOR_LIST_0'"") Requisitions",,601,Passed,"",ft.action,
"SelectItem treeList(""@name='NAVIGATOR_LIST_0'"") Requisitions|Requisitions",,1691,Passed,"",ft.action,
"Call Function: EBS_Reusable_Methods.getDateTimeFormat",,65,Passed,"",basic.stepGroup,
"Info",,1,Passed,"Comments: insside getDateTimeFormat",basic.comment,
"Info",,0,Passed,"Comments: 12-Oct-2017",basic.comment,
"SetText textField(""@name='PO_REQ_HDR_OPERATING_UNIT_0'"") YAHOO! US",,46,Passed,"",ft.action,
"InvokeSoftKey textField(""@name='PO_REQ_HDR_OPERATING_UNIT_0'"")",,507,Passed,"",ft.action,
"OpenDialog textField(""@name='PO_REQ_HDR_DOCUMENT_TYPE_DISPLAY_0'"")",,978,Passed,"",ft.action,
"Select listOfValues(""forms:listOfValues"") Purchase Requisition",,459,Passed,"",ft.action,
"SetFocus textField(""@name='PO_REQ_HDR_DESCRIPTION_0'"")",,94,Passed,"",ft.action,
"Click textField(""@name='PO_REQ_HDR_DESCRIPTIVE_FLEX_0'"") ",,728,Passed,"",ft.action,
"OpenDialog flexWindow(""forms:flexWindow"") Requisition Type, ",,927,Passed,"",ft.action,
"Select listOfValues(""forms:listOfValues"") Purchase Requisition",,188,Passed,"",ft.action,
"ClickOk flexWindow(""forms:flexWindow"")",,950,Passed,"",ft.action,
"Click textField(""@name='LINES_LINE_NUM_0'"") ",,35,Passed,"",ft.action,
"SetFocus textField(""@name='LINES_ITEM_NUMBER_0'"")",,332,Passed,"",ft.action,
"OpenDialog textField(""@name='LINES_ITEM_CATEGORY_0'"")",,798,Passed,"",ft.action,
"combination flexWindow(""forms:flexWindow"")",141,407,Passed,"",ft.action,
"setTextAndClickOk flexWindow(""forms:flexWindow"") Major PO Category, , %",144,869,Passed,"",ft.action,
"Select listOfValues(""forms:listOfValues"") Brand/Media Marketing|Creative Production|Brand/Media Marketing.Creative Production",,772,Passed,"",ft.action,
"SetText textField(""@name='LINES_ITEM_DESCRIPTION_0'"") Reqtesting",,82,Passed,"",ft.action,
"InvokeSoftKey textField(""@name='LINES_ITEM_DESCRIPTION_0'"")",,431,Passed,"",ft.action,
"InvokeSoftKey textField(""@name='LINES_UNIT_MEAS_LOOKUP_CODE_TL_0'"")",,247,Passed,"",ft.action,
"SetText textField(""@name='LINES_QUANTITY_0'"") 5",,83,Passed,"",ft.action,
"InvokeSoftKey textField(""@name='LINES_QUANTITY_0'"")",,472,Passed,"",ft.action,
"SetText textField(""@name='LINES_UNIT_PRICE_0'"") 10",,88,Passed,"",ft.action,
"InvokeSoftKey textField(""@name='LINES_UNIT_PRICE_0'"")",,451,Passed,"",ft.action,
"SetText textField(""@name='LINES_NEED_BY_DATE_0'"") 12-Oct-2017",,29,Passed,"",ft.action,
"SelectItem tab(""@name='LINES_STACKED_REGIONS'"") Lines",165,262,Passed,"",ft.action,
"OpenDialog textField(""@name='LINES_DEST_ORGANIZATION_0'"")",,2149,Passed,"",ft.action,
"Activate window(""@name='HEADER_LINES'"")",167,32,Passed,"",ft.action,
"Select listOfValues(""forms:listOfValues"") NEX Factory|NEX",168,457,Passed,"",ft.action,
"SetText textField(""@name='LINES_DELIVER_TO_LOCATION_0'"") US - Sunnyvale",,28,Passed,"",ft.action,
"InvokeSoftKey textField(""@name='LINES_DELIVER_TO_LOCATION_0'"")",,382,Passed,"",ft.action,
"SetText textField(""@name='LINES_SUGGESTED_VENDOR_NAME_0'"") APPROVED NETWORKS INC",,296,Passed,"",ft.action,
"InvokeSoftKey textField(""@name='LINES_SUGGESTED_VENDOR_NAME_0'"")",,378,Passed,"",ft.action,
"SetText textField(""@name='LINES_SUGGESTED_VENDOR_LOCATION_0'"") USTU717USD",,31,Passed,"",ft.action,
"InvokeSoftKey textField(""@name='LINES_SUGGESTED_VENDOR_LOCATION_0'"")",,885,Passed,"",ft.action,
"ClickToolbarButton window(""@name='HEADER_LINES'"") Save",204,5618,Passed,"",ft.action,
"Click button(""@name='CONTROL_DISTRIBUTIONS_0'"")",,870,Passed,"",ft.action,
"SetText textField(""@name='DISTRIBUTIONS_CHARGE_ACCOUNT_FLEX_0'"") 110-156270-0000-3840-000-501901-000-0000",,922,Passed,"",ft.action,
"InvokeSoftKey textField(""@name='DISTRIBUTIONS_CHARGE_ACCOUNT_FLEX_0'"")",,1156,Passed,"",ft.action,
"Call Function: EBS_Reusable_Methods.captureformserror",,3023,Passed,"",basic.stepGroup,
"ClickToolbarButton window(""@name='DISTRIBUTIONS'"") Save",,922,Passed,"",ft.action,
"Close window(""@name='DISTRIBUTIONS'"")",,537,Passed,"",ft.action,
