554785,1,Create And Approve Requistion,10/12/2017 16:46:55 PM,Passed,10/12/2017 16:37:39 PM,basic.step,Purchasing,,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,97094,Passed,"",basic.init,
"Launch Browser: InternetExplorer 10.0.9200.17609",,2477,Passed,"",basic.step,
"Call Function: EBS_Reusable_Methods.login_EBS",,19484,Passed,"",basic.stepGroup,
"Launch Browser: InternetExplorer 10.0.9200.17609",,1932,Passed,"",basic.step,
"Think: 0 (sec).",,35,Passed,"",basic.comment,
"[1] Import Excel",,11452,Passed,"",basic.stepGroup,
"Info",,2,Passed,"Comments: selected environment is ++ ",basic.comment,
"Info",,0,Passed,"Comments: oatsuser",basic.comment,
"Navigate https://erpint.fin.yahoo.com:8000/",2,77,Passed,"",ft.action,
"Think: 10 (sec).",,10101,Passed,"",basic.comment,
"SetText textBox(""@id='usernameField'"") oatsuser",,151,Passed,"",ft.action,
"SetPassword textBox(""@id='passwordField'"") ******",,34,Passed,"",ft.action,
"Click button(""@index='0'"")",,118,Passed,"",ft.action,
"WaitForPage https://erpint.fin.yahoo.com:8000/OA_HTML/AppsLocalLogin.jsp",,450,Passed,"",web.pageComplete,
"Call Function: EBS_Reusable_Methods.expand_NodeFromList",,42112,Passed,"",basic.stepGroup,
"Think: 0 (sec).",,37,Passed,"",basic.comment,
"[3] Expand Node from the List",,726,Passed,"",basic.stepGroup,
"Click element(""@text='System Administrator'"")",,618,Passed,"",ft.action,
"Think: 0 (sec).",,21,Passed,"",basic.comment,
"[3] Expand Node from the List",,2485,Passed,"",basic.stepGroup,
"Click element(""@text='Concurrent'"")",,2422,Passed,"",ft.action,
"Think: 0 (sec).",,23,Passed,"",basic.comment,
"[4] Click on the link under the Node",,917,Passed,"",basic.stepGroup,
"WaitForPage https://erpint.fin.yahoo.com:8000/OA_HTML/OA.jsp?OAFunc=OAHOMEPAGE#dummyAnchor",,434,Passed,"",web.pageComplete,
"Frame (URL=https://erpint.fin.yahoo.com:8000/OA_HTML/cabo/images/skyros/t.htm)",,0,Passed,"",web.frame,
"Frame (URL=https://erpint.fin.yahoo.com:8000/OA_HTML/blank.html)",,0,Passed,"",web.frame,
"Click element(""@text='Requests'"")",,290,Passed,"",ft.action,
"Close window(""@name='JOBS_QF'"")",,22087,Passed,"",ft.action,
"Activate window(""@name='NAVIGATOR'"")",,15,Passed,"",ft.action,
"Think: 10 (sec).",,10021,Passed,"",basic.comment,
"Iteration Total (sec)",,457267,Passed,"",basic.iteration,
"Info",,0,Passed,"Comments: C:\OracleATS\OFT\Purchasing\Create And Approve Requistion\Create And Approve Requistion.jwg",basic.comment,
"Info",,0,Passed,"Comments: C:\OracleATS\OFT\Purchasing",basic.comment,
"Info",,0,Passed,"Comments: Create And Approve Requistion",basic.comment,
"Call Function: EBS_Reusable_Methods.SwitchResponsibility",,10438,Passed,"",basic.stepGroup,
"ClickToolbarButton window(""@name='NAVIGATOR'"") Switch Responsibility...",,962,Passed,"",ft.action,
"Think: 2 (sec).",,2026,Passed,"",basic.comment,
"Find listOfValues(""forms:listOfValues"") Purchasing Super User",,1306,Passed,"",ft.action,
"FocusItem treeList(""@name='NAVIGATOR_LIST_0'"") Requisitions",,651,Passed,"",ft.action,
"SelectItem treeList(""@name='NAVIGATOR_LIST_0'"") Requisitions",,624,Passed,"",ft.action,
"SelectItem treeList(""@name='NAVIGATOR_LIST_0'"") Requisitions|Requisitions",,4072,Passed,"",ft.action,
"Call Function: EBS_Reusable_Methods.getDateTimeFormat",,130,Passed,"",basic.stepGroup,
"Info",,0,Passed,"Comments: insside getDateTimeFormat",basic.comment,
"Info",,0,Passed,"Comments: 14-Oct-2017",basic.comment,
"SetText textField(""@name='PO_REQ_HDR_OPERATING_UNIT_0'"") YAHOO! US",,49,Passed,"",ft.action,
"InvokeSoftKey textField(""@name='PO_REQ_HDR_OPERATING_UNIT_0'"")",,3420,Passed,"",ft.action,
"OpenDialog textField(""@name='PO_REQ_HDR_DOCUMENT_TYPE_DISPLAY_0'"")",,974,Passed,"",ft.action,
"Select listOfValues(""forms:listOfValues"") Purchase Requisition",,427,Passed,"",ft.action,
"SetFocus textField(""@name='PO_REQ_HDR_DESCRIPTION_0'"")",,86,Passed,"",ft.action,
"Click textField(""@name='PO_REQ_HDR_DESCRIPTIVE_FLEX_0'"") ",,660,Passed,"",ft.action,
"OpenDialog flexWindow(""forms:flexWindow"") Requisition Type, ",,893,Passed,"",ft.action,
"Select listOfValues(""forms:listOfValues"") Purchase Requisition",,201,Passed,"",ft.action,
"ClickOk flexWindow(""forms:flexWindow"")",,1321,Passed,"",ft.action,
"Click textField(""@name='LINES_LINE_NUM_0'"") ",,34,Passed,"",ft.action,
"SetFocus textField(""@name='LINES_ITEM_NUMBER_0'"")",,527,Passed,"",ft.action,
"OpenDialog textField(""@name='LINES_ITEM_CATEGORY_0'"")",,905,Passed,"",ft.action,
"combination flexWindow(""forms:flexWindow"")",141,431,Passed,"",ft.action,
"setTextAndClickOk flexWindow(""forms:flexWindow"") Major PO Category, , %",144,839,Passed,"",ft.action,
"Select listOfValues(""forms:listOfValues"") Brand/Media Marketing|Creative Production|Brand/Media Marketing.Creative Production",,989,Passed,"",ft.action,
"SetText textField(""@name='LINES_ITEM_DESCRIPTION_0'"") Reqtesting",,79,Passed,"",ft.action,
"InvokeSoftKey textField(""@name='LINES_ITEM_DESCRIPTION_0'"")",,513,Passed,"",ft.action,
"InvokeSoftKey textField(""@name='LINES_UNIT_MEAS_LOOKUP_CODE_TL_0'"")",,248,Passed,"",ft.action,
"SetText textField(""@name='LINES_QUANTITY_0'"") 5",,79,Passed,"",ft.action,
"InvokeSoftKey textField(""@name='LINES_QUANTITY_0'"")",,441,Passed,"",ft.action,
"SetText textField(""@name='LINES_UNIT_PRICE_0'"") 10",,77,Passed,"",ft.action,
"InvokeSoftKey textField(""@name='LINES_UNIT_PRICE_0'"")",,461,Passed,"",ft.action,
"SetText textField(""@name='LINES_NEED_BY_DATE_0'"") 14-Oct-2017",,31,Passed,"",ft.action,
"SelectItem tab(""@name='LINES_STACKED_REGIONS'"") Lines",165,261,Passed,"",ft.action,
"OpenDialog textField(""@name='LINES_DEST_ORGANIZATION_0'"")",,3582,Passed,"",ft.action,
"Activate window(""@name='HEADER_LINES'"")",167,36,Passed,"",ft.action,
"Select listOfValues(""forms:listOfValues"") NEX Factory|NEX",168,745,Passed,"",ft.action,
"SetText textField(""@name='LINES_DELIVER_TO_LOCATION_0'"") US - Sunnyvale",,32,Passed,"",ft.action,
"InvokeSoftKey textField(""@name='LINES_DELIVER_TO_LOCATION_0'"")",,631,Passed,"",ft.action,
"SetText textField(""@name='LINES_SUGGESTED_VENDOR_NAME_0'"") APPROVED NETWORKS INC",,365,Passed,"",ft.action,
"InvokeSoftKey textField(""@name='LINES_SUGGESTED_VENDOR_NAME_0'"")",,387,Passed,"",ft.action,
"SetText textField(""@name='LINES_SUGGESTED_VENDOR_LOCATION_0'"") USTU717USD",,29,Passed,"",ft.action,
"InvokeSoftKey textField(""@name='LINES_SUGGESTED_VENDOR_LOCATION_0'"")",,2056,Passed,"",ft.action,
"ClickToolbarButton window(""@name='HEADER_LINES'"") Save",204,27268,Passed,"",ft.action,
"Click button(""@name='CONTROL_DISTRIBUTIONS_0'"")",,219,Passed,"",ft.action,
"SetText textField(""@name='DISTRIBUTIONS_CHARGE_ACCOUNT_FLEX_0'"") 110-156270-0000-3840-000-501901-000-0000",,1309,Passed,"",ft.action,
"InvokeSoftKey textField(""@name='DISTRIBUTIONS_CHARGE_ACCOUNT_FLEX_0'"")",,1047,Passed,"",ft.action,
"Call Function: EBS_Reusable_Methods.captureformserror",,3025,Passed,"",basic.stepGroup,
"ClickToolbarButton window(""@name='DISTRIBUTIONS'"") Save",,1886,Passed,"",ft.action,
"Close window(""@name='DISTRIBUTIONS'"")",,605,Passed,"",ft.action,
"ClickToolbarButton window(""@name='HEADER_LINES'"") Save",530,363,Passed,"",ft.action,
"Call Function: EBS_Reusable_Methods.GetText",,110,Passed,"",basic.stepGroup,
"Info",,1,Passed,"Comments: Text: 194510",basic.comment,
"Think: 5 (sec).",,5019,Passed,"",basic.comment,
"InvokeSoftKey textField(""@name='PO_REQ_HDR_SEGMENT1_0'"")",,1290,Passed,"",ft.action,
"Think: 10 (sec).",,10020,Passed,"",basic.comment,
"ClickYes alertDialog(""forms:alertDialog"")",,19,Passed,"",ft.action,
"ClickYes alertDialog(""forms:alertDialog"")",,10039,Passed,"",ft.action,
"SetText textField(""@name='PO_REQ_HDR_SEGMENT1_0'"") 194510",,637,Passed,"",ft.action,
"InvokeSoftKey textField(""@name='PO_REQ_HDR_SEGMENT1_0'"")",,4045,Passed,"",ft.action,
"Think: 10 (sec).",,10022,Passed,"",basic.comment,
"Click button(""@name='CONTROL_APPROVAL_0'"")",,4654,Passed,"",ft.action,
"Call Function: EBS_Reusable_Methods.captureformserror",,3018,Passed,"",basic.stepGroup,
"Think: 10 (sec).",,10027,Passed,"",basic.comment,
"Click button(""@name='PO_APPROVE_WF_OK_BUTTON_0'"")",,60000,Passed,"",ft.action,
"Call Function: EBS_Reusable_Methods.captureformserror",,60141,Passed,"",basic.stepGroup,
"Close window(""@name='HEADER_LINES'"")",,60000,Passed,"",ft.action,
"ClickButton choiceBox(""forms:choiceBox"") OK",,60003,Passed,"",ft.action,
