9/22/2017 14:51:03 PM - Launch Browser: IE version 8.0.7601.17514
9/22/2017 15:01:38 PM - Save Script: Version 12.5.0.3.1012 User oats
10/02/2017 10:43:25 AM - Save Script: Version 12.5.0.3.1012 User oats
10/02/2017 10:43:58 AM - Save Script: Version 12.5.0.3.1012 User oats
10/02/2017 10:45:30 AM - Save Script: Version 12.5.0.3.1012 User oats
10/02/2017 10:46:48 AM - Save Script: Version 12.5.0.3.1012 User oats
10/02/2017 10:51:52 AM - Save Script: Version 12.5.0.3.1012 User oats
10/02/2017 10:57:51 AM - Save Script: Version 12.5.0.3.1012 User oats
10/02/2017 11:05:12 AM - Save Script: Version 12.5.0.3.1012 User oats
10/02/2017 11:05:45 AM - Save Script: Version 12.5.0.3.1012 User oats
10/02/2017 11:06:04 AM - Save Script: Version 12.5.0.3.1012 User oats
10/02/2017 11:06:39 AM - Save Script: Version 12.5.0.3.1012 User oats
10/02/2017 11:07:19 AM - Save Script: Version 12.5.0.3.1012 User oats
10/02/2017 11:22:19 AM - Save Script: Version 12.5.0.3.1012 User oats
10/02/2017 11:31:05 AM - Launch Browser: IE version 9.10.9200.17609
10/02/2017 11:40:14 AM - Save Script: Version 12.5.0.3.1012 User oats
10/02/2017 11:45:39 AM - Save Script: Version 12.5.0.3.1012 User oats
10/09/2017 10:24:26 AM - Save Script: Version 12.5.0.3.1012 User oats
10/09/2017 10:30:56 AM - Save Script: Version 12.5.0.3.1012 User oats
10/09/2017 10:31:51 AM - Save Script: Version 12.5.0.3.1012 User oats
10/09/2017 10:33:55 AM - Save Script: Version 12.5.0.3.1012 User oats
10/09/2017 11:25:58 AM - Save Script: Version 12.5.0.3.1012 User oats
10/09/2017 11:26:43 AM - Save Script: Version 12.5.0.3.1012 User oats
10/09/2017 11:28:01 AM - Save Script: Version 12.5.0.3.1012 User oats
10/09/2017 11:28:23 AM - Save Script: Version 12.5.0.3.1012 User oats
10/09/2017 11:28:44 AM - Save Script: Version 12.5.0.3.1012 User oats
10/09/2017 11:29:07 AM - Save Script: Version 12.5.0.3.1012 User oats
10/09/2017 11:31:12 AM - Save Script: Version 12.5.0.3.1012 User oats
10/09/2017 11:33:20 AM - Save Script: Version 12.5.0.3.1012 User oats
10/09/2017 11:40:53 AM - Save Script: Version 12.5.0.3.1012 User oats
10/09/2017 11:42:50 AM - Save Script: Version 12.5.0.3.1012 User oats
10/09/2017 11:47:15 AM - Save Script: Version 12.5.0.3.1012 User oats
10/09/2017 11:50:12 AM - Save Script: Version 12.5.0.3.1012 User oats
10/09/2017 11:50:16 AM - Save Script: Version 12.5.0.3.1012 User oats
10/09/2017 11:51:22 AM - Save Script: Version 12.5.0.3.1012 User oats
10/09/2017 13:44:43 PM - Launch Browser: IE version 9.10.9200.17609
10/09/2017 13:47:10 PM - Save Script: Version 12.5.0.3.1012 User oats
10/09/2017 13:55:07 PM - Save Script: Version 12.5.0.3.1012 User oats
10/09/2017 13:57:11 PM - Save Script: Version 12.5.0.3.1012 User oats
10/09/2017 13:57:41 PM - Save Script: Version 12.5.0.3.1012 User oats
10/09/2017 13:58:17 PM - Save Script: Version 12.5.0.3.1012 User oats
10/09/2017 13:58:23 PM - Save Script: Version 12.5.0.3.1012 User oats
10/09/2017 13:58:55 PM - Save Script: Version 12.5.0.3.1012 User oats
10/09/2017 13:59:46 PM - Save Script: Version 12.5.0.3.1012 User oats
10/09/2017 14:01:43 PM - Save Script: Version 12.5.0.3.1012 User oats
10/09/2017 14:03:57 PM - Save Script: Version 12.5.0.3.1012 User oats
10/09/2017 14:04:12 PM - Save Script: Version 12.5.0.3.1012 User oats
10/09/2017 14:14:15 PM - Save Script: Version 12.5.0.3.1012 User oats
10/09/2017 14:14:43 PM - Save Script: Version 12.5.0.3.1012 User oats
10/09/2017 14:15:23 PM - Save Script: Version 12.5.0.3.1012 User oats
10/09/2017 14:17:11 PM - Save Script: Version 12.5.0.3.1012 User oats
10/09/2017 14:39:37 PM - Save Script: Version 12.5.0.3.1012 User oats
10/09/2017 14:44:22 PM - Launch Browser: IE version 9.10.9200.17609
10/09/2017 14:45:35 PM - Save Script: Version 12.5.0.3.1012 User oats
10/09/2017 14:45:51 PM - Save Script: Version 12.5.0.3.1012 User oats
10/09/2017 14:50:14 PM - Save Script: Version 12.5.0.3.1012 User oats
10/09/2017 15:32:58 PM - Save Script: Version 12.5.0.3.1012 User oats
10/09/2017 15:33:21 PM - Save Script: Version 12.5.0.3.1012 User oats
10/09/2017 15:44:08 PM - Save Script: Version 12.5.0.3.1012 User oats
10/09/2017 15:44:29 PM - Save Script: Version 12.5.0.3.1012 User oats
10/09/2017 15:48:12 PM - Save Script: Version 12.5.0.3.1012 User oats
10/09/2017 15:50:02 PM - Save Script: Version 12.5.0.3.1012 User oats
10/09/2017 15:51:48 PM - Save Script: Version 12.5.0.3.1012 User oats
10/09/2017 15:56:01 PM - Save Script: Version 12.5.0.3.1012 User oats
10/09/2017 16:16:25 PM - Save Script: Version 12.5.0.3.1012 User oats
10/09/2017 16:24:01 PM - Save Script: Version 12.5.0.3.1012 User oats
10/09/2017 16:46:08 PM - Upgrade Script Results: Successfully upgraded script results.
