650106,1,CreateandApprovePO,10/09/2017 12:06:09 PM,Passed,10/09/2017 11:55:19 AM,basic.step,Purchasing,,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,97351,Passed,"",basic.init,
"Launch Browser: InternetExplorer 10.0.9200.17609",,2003,Passed,"",basic.step,
"Call Function: EBS_Reusable_Methods.login_EBS",,18399,Passed,"",basic.stepGroup,
"Launch Browser: InternetExplorer 10.0.9200.17609",,1461,Passed,"",basic.step,
"Think: 0 (sec).",,41,Passed,"",basic.comment,
"[1] Import Excel",,11369,Passed,"",basic.stepGroup,
"Info",,1,Passed,"Comments: selected environment is ++ ",basic.comment,
"Info",,0,Passed,"Comments: oatsuser",basic.comment,
"Navigate https://erpint.fin.yahoo.com:8000/",2,64,Passed,"",ft.action,
"Think: 10 (sec).",,10033,Passed,"",basic.comment,
"SetText textBox(""@id='usernameField'"") oatsuser",,116,Passed,"",ft.action,
"SetPassword textBox(""@id='passwordField'"") ******",,32,Passed,"",ft.action,
"Click button(""@index='0'"")",,130,Passed,"",ft.action,
"WaitForPage https://erpint.fin.yahoo.com:8000/OA_HTML/AppsLocalLogin.jsp",,425,Passed,"",web.pageComplete,
"Call Function: EBS_Reusable_Methods.expand_NodeFromList",,45486,Passed,"",basic.stepGroup,
"Think: 0 (sec).",,30,Passed,"",basic.comment,
"[3] Expand Node from the List",,1709,Passed,"",basic.stepGroup,
"Click element(""@text='System Administrator'"")",,1649,Passed,"",ft.action,
"Think: 0 (sec).",,20,Passed,"",basic.comment,
"[3] Expand Node from the List",,3623,Passed,"",basic.stepGroup,
"Click element(""@text='Concurrent'"")",,3560,Passed,"",ft.action,
"Think: 0 (sec).",,22,Passed,"",basic.comment,
"[4] Click on the link under the Node",,1690,Passed,"",basic.stepGroup,
"WaitForPage https://erpint.fin.yahoo.com:8000/OA_HTML/OA.jsp?OAFunc=OAHOMEPAGE#dummyAnchor",,416,Passed,"",web.pageComplete,
"Frame (URL=https://erpint.fin.yahoo.com:8000/OA_HTML/cabo/images/skyros/t.htm)",,0,Passed,"",web.frame,
"Frame (URL=https://erpint.fin.yahoo.com:8000/OA_HTML/blank.html)",,0,Passed,"",web.frame,
"Click element(""@text='Requests'"")",,1098,Passed,"",ft.action,
"Close window(""@name='JOBS_QF'"")",,20422,Passed,"",ft.action,
"Activate window(""@name='NAVIGATOR'"")",,15,Passed,"",ft.action,
"Think: 10 (sec).",,10031,Passed,"",basic.comment,
"Iteration Total (sec)",,552365,Passed,"",basic.iteration,
"Info",,0,Passed,"Comments: C:\OracleATS\OFT\Purchasing\CreateandApprovePO\CreateandApprovePO.jwg",basic.comment,
"Info",,0,Passed,"Comments: C:\OracleATS\OFT\Purchasing",basic.comment,
"Call Function: EBS_Reusable_Methods.generateUniqueData",,25,Passed,"",basic.stepGroup,
"Call Function: EBS_Reusable_Methods.SwitchResponsibility",,10551,Passed,"",basic.stepGroup,
"ClickToolbarButton window(""@name='NAVIGATOR'"") Switch Responsibility...",,965,Passed,"",ft.action,
"Think: 2 (sec).",,2028,Passed,"",basic.comment,
"Find listOfValues(""forms:listOfValues"") Purchasing Super User",,1438,Passed,"",ft.action,
"FocusItem treeList(""@name='NAVIGATOR_LIST_0'"") Purchase Orders",,765,Passed,"",ft.action,
"SelectItem treeList(""@name='NAVIGATOR_LIST_0'"") Purchase Orders",,652,Passed,"",ft.action,
"FocusItem treeList(""@name='NAVIGATOR_LIST_0'"") Purchase Orders|Purchase Orders",,640,Passed,"",ft.action,
"SelectItem treeList(""@name='NAVIGATOR_LIST_0'"") Purchase Orders|Purchase Orders",,2955,Passed,"",ft.action,
"SetFocus textField(""@name='PO_HEADERS_OPERATING_UNIT_0'"")",,191,Passed,"",ft.action,
"Click textField(""@name='PO_HEADERS_DESC_FLEX_0'"") ",,593,Passed,"",ft.action,
"SetText textField(""@name='PO_HEADERS_VENDOR_NAME_0'"") APPROVED NETWORKS INC",,30150,Passed,"",ft.action,
"InvokeSoftKey textField(""@name='PO_HEADERS_VENDOR_NAME_0'"")",,30150,Passed,"",ft.action,
"Activate window(""@name='PO_HEADERS'"")",,44,Passed,"",ft.action,
"SetFocus textField(""@name='PO_LINES_LINE_NUM_0'"")",,296,Passed,"",ft.action,
"OpenDialog textField(""@name='PO_LINES_ITEM_CATEGORY_0'"")",,30136,Passed,"",ft.action,
"combination flexWindow(""forms:flexWindow"")",,30032,Passed,"",ft.action,
"setTextAndClickOk flexWindow(""forms:flexWindow"") Major PO Category, , %",,20968,Passed,"",ft.action,
"Select listOfValues(""forms:listOfValues"") Brand/Media Marketing|Creative Production|Brand/Media Marketing.Creative Production",,895,Passed,"",ft.action,
"SetText textField(""@name='PO_LINES_ITEM_DESCRIPTION_0'"") Reqtesting",,133,Passed,"",ft.action,
"InvokeSoftKey textField(""@name='PO_LINES_ITEM_DESCRIPTION_0'"")",,503,Passed,"",ft.action,
"InvokeSoftKey textField(""@name='PO_LINES_UNIT_MEAS_LOOKUP_CODE_TL_0'"")",,718,Passed,"",ft.action,
"SetText textField(""@name='PO_LINES_QUANTITY_0'"") 5",,83,Passed,"",ft.action,
"InvokeSoftKey textField(""@name='PO_LINES_QUANTITY_0'"")",,614,Passed,"",ft.action,
"SetText textField(""@name='PO_LINES_UNIT_PRICE_0'"") 10",,132,Passed,"",ft.action,
"InvokeSoftKey textField(""@name='PO_LINES_UNIT_PRICE_0'"")",,539,Passed,"",ft.action,
"InvokeSoftKey textField(""@name='PO_LINES_PROMISED_DATE_0'"")",,305,Passed,"",ft.action,
"Call Function: EBS_Reusable_Methods.getDateTimeFormat",,99,Passed,"",basic.stepGroup,
"Info",,0,Passed,"Comments: insside getDateTimeFormat",basic.comment,
"Info",,0,Passed,"Comments: 11-Oct-2017",basic.comment,
"SetText textField(""@name='PO_LINES_NEED_BY_0'"") 11-Oct-2017",,44,Passed,"",ft.action,
"InvokeSoftKey textField(""@name='PO_LINES_NEED_BY_0'"")",,426,Passed,"",ft.action,
"SetFocus textField(""@name='PO_LINES_NEED_BY_0'"")",,355,Passed,"",ft.action,
"Click button(""@name='PO_CONTROL_SHIPMENTS_0'"")",,2582,Passed,"",ft.action,
"Click button(""@name='SHIP_CONTROL_DISTRIBUTIONS_0'"")",,2425,Passed,"",ft.action,
"SetText textField(""@name='PO_DISTRIBUTIONS_CHARGE_ACCOUNT_FLEX_0'"") 110-100300-1010-0000-000-000000-000-0000",,4063,Passed,"",ft.action,
"InvokeSoftKey textField(""@name='PO_DISTRIBUTIONS_CHARGE_ACCOUNT_FLEX_0'"")",,1497,Passed,"",ft.action,
"ClickToolbarButton window(""@name='PO_DISTRIBUTIONS'"") Save",359,59958,Passed,"",ft.action,
"ClickButton choiceBox(""forms:choiceBox"") OK",362,60424,Passed,"",ft.action,
"Close window(""@name='PO_DISTRIBUTIONS'"")",366,60002,Passed,"",ft.action,
