245656,1,CreateandApprovePO,10/09/2017 14:08:56 PM,Failed,10/09/2017 14:04:50 PM,basic.step,Purchasing,,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,98143,Passed,"",basic.init,
"Launch Browser: InternetExplorer 10.0.9200.17609",,2038,Passed,"",basic.step,
"Call Function: EBS_Reusable_Methods.login_EBS",,18102,Passed,"",basic.stepGroup,
"Launch Browser: InternetExplorer 10.0.9200.17609",,1393,Passed,"",basic.step,
"Think: 0 (sec).",,23,Passed,"",basic.comment,
"[1] Import Excel",,11262,Passed,"",basic.stepGroup,
"Info",,1,Passed,"Comments: selected environment is ++ ",basic.comment,
"Info",,1,Passed,"Comments: oatsuser",basic.comment,
"Navigate https://erpint.fin.yahoo.com:8000/",2,67,Passed,"",ft.action,
"Think: 10 (sec).",,10032,Passed,"",basic.comment,
"SetText textBox(""@id='usernameField'"") oatsuser",,130,Passed,"",ft.action,
"SetPassword textBox(""@id='passwordField'"") ******",,38,Passed,"",ft.action,
"Click button(""@index='0'"")",,98,Passed,"",ft.action,
"WaitForPage https://erpint.fin.yahoo.com:8000/OA_HTML/AppsLocalLogin.jsp",,420,Passed,"",web.pageComplete,
"Call Function: EBS_Reusable_Methods.expand_NodeFromList",,45388,Passed,"",basic.stepGroup,
"Think: 0 (sec).",,22,Passed,"",basic.comment,
"[3] Expand Node from the List",,1751,Passed,"",basic.stepGroup,
"Click element(""@text='System Administrator'"")",,1647,Passed,"",ft.action,
"Think: 0 (sec).",,19,Passed,"",basic.comment,
"[3] Expand Node from the List",,3627,Passed,"",basic.stepGroup,
"Click element(""@text='Concurrent'"")",,3559,Passed,"",ft.action,
"Think: 0 (sec).",,19,Passed,"",basic.comment,
"[4] Click on the link under the Node",,1638,Passed,"",basic.stepGroup,
"WaitForPage https://erpint.fin.yahoo.com:8000/OA_HTML/OA.jsp?OAFunc=OAHOMEPAGE#dummyAnchor",,412,Passed,"",web.pageComplete,
"Frame (URL=https://erpint.fin.yahoo.com:8000/OA_HTML/cabo/images/skyros/t.htm)",,0,Passed,"",web.frame,
"Frame (URL=https://erpint.fin.yahoo.com:8000/OA_HTML/blank.html)",,0,Passed,"",web.frame,
"Click element(""@text='Requests'"")",,1050,Passed,"",ft.action,
"Close window(""@name='JOBS_QF'"")",,21865,Passed,"",ft.action,
"Activate window(""@name='NAVIGATOR'"")",,14,Passed,"",ft.action,
"Think: 10 (sec).",,10022,Passed,"",basic.comment,
"Iteration Total (sec)",,147100,Failed,"",basic.iteration,
"Info",,0,Passed,"Comments: C:\OracleATS\OFT\Purchasing\CreateandApprovePO\CreateandApprovePO.jwg",basic.comment,
"Info",,0,Passed,"Comments: C:\OracleATS\OFT\Purchasing",basic.comment,
"Call Function: EBS_Reusable_Methods.generateUniqueData",,21,Passed,"",basic.stepGroup,
"Call Function: EBS_Reusable_Methods.SwitchResponsibility",,10455,Passed,"",basic.stepGroup,
"ClickToolbarButton window(""@name='NAVIGATOR'"") Switch Responsibility...",,822,Passed,"",ft.action,
"Think: 2 (sec).",,2022,Passed,"",basic.comment,
"Find listOfValues(""forms:listOfValues"") Purchasing Super User",,1468,Passed,"",ft.action,
"FocusItem treeList(""@name='NAVIGATOR_LIST_0'"") Purchase Orders",,631,Passed,"",ft.action,
"SelectItem treeList(""@name='NAVIGATOR_LIST_0'"") Purchase Orders",,690,Passed,"",ft.action,
"FocusItem treeList(""@name='NAVIGATOR_LIST_0'"") Purchase Orders|Purchase Orders",,611,Passed,"",ft.action,
"SelectItem treeList(""@name='NAVIGATOR_LIST_0'"") Purchase Orders|Purchase Orders",,2898,Passed,"",ft.action,
"SetFocus textField(""@name='PO_HEADERS_OPERATING_UNIT_0'"")",,165,Passed,"",ft.action,
"SetText textField(""@name='PO_HEADERS_OPERATING_UNIT_0'"") YAHOO! US",,60,Passed,"",ft.action,
"InvokeSoftKey textField(""@name='PO_HEADERS_OPERATING_UNIT_0'"")",,1471,Passed,"",ft.action,
"Click textField(""@name='PO_HEADERS_DESC_FLEX_0'"") ",,921,Passed,"",ft.action,
"SetText textField(""@name='PO_HEADERS_VENDOR_NAME_0'"") APPROVED NETWORKS INC",,11210,Passed,"",ft.action,
"InvokeSoftKey textField(""@name='PO_HEADERS_VENDOR_NAME_0'"")",,513,Passed,"",ft.action,
"Activate window(""@name='PO_HEADERS'"")",,45,Passed,"",ft.action,
"SetFocus textField(""@name='PO_LINES_LINE_NUM_0'"")",,1730,Passed,"",ft.action,
"OpenDialog textField(""@name='PO_LINES_ITEM_CATEGORY_0'"")",,926,Passed,"",ft.action,
"combination flexWindow(""forms:flexWindow"")",,426,Passed,"",ft.action,
"setTextAndClickOk flexWindow(""forms:flexWindow"") Major PO Category, , %",,835,Passed,"",ft.action,
"Select listOfValues(""forms:listOfValues"") Brand/Media Marketing|Creative Production|Brand/Media Marketing.Creative Production",,845,Passed,"",ft.action,
"SetText textField(""@name='PO_LINES_ITEM_DESCRIPTION_0'"") Reqtesting",,99,Passed,"",ft.action,
"InvokeSoftKey textField(""@name='PO_LINES_ITEM_DESCRIPTION_0'"")",,509,Passed,"",ft.action,
"InvokeSoftKey textField(""@name='PO_LINES_UNIT_MEAS_LOOKUP_CODE_TL_0'"")",,437,Passed,"",ft.action,
"SetText textField(""@name='PO_LINES_QUANTITY_0'"") 5",,88,Passed,"",ft.action,
"InvokeSoftKey textField(""@name='PO_LINES_QUANTITY_0'"")",,488,Passed,"",ft.action,
"SetText textField(""@name='PO_LINES_UNIT_PRICE_0'"") 10",,88,Passed,"",ft.action,
