345206,1,CreateandApprovePO,10/09/2017 15:08:40 PM,Passed,10/09/2017 15:02:54 PM,basic.step,Purchasing,,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,95904,Passed,"",basic.init,
"Launch Browser: InternetExplorer 10.0.9200.17609",,2007,Passed,"",basic.step,
"Call Function: EBS_Reusable_Methods.login_EBS",,18185,Passed,"",basic.stepGroup,
"Launch Browser: InternetExplorer 10.0.9200.17609",,1487,Passed,"",basic.step,
"Think: 0 (sec).",,22,Passed,"",basic.comment,
"[1] Import Excel",,11248,Passed,"",basic.stepGroup,
"Info",,2,Passed,"Comments: selected environment is ++ ",basic.comment,
"Info",,1,Passed,"Comments: oatsuser",basic.comment,
"Navigate https://erpint.fin.yahoo.com:8000/",2,70,Passed,"",ft.action,
"Think: 10 (sec).",,10035,Passed,"",basic.comment,
"SetText textBox(""@id='usernameField'"") oatsuser",,123,Passed,"",ft.action,
"SetPassword textBox(""@id='passwordField'"") ******",,37,Passed,"",ft.action,
"Click button(""@index='0'"")",,103,Passed,"",ft.action,
"WaitForPage https://erpint.fin.yahoo.com:8000/OA_HTML/AppsLocalLogin.jsp",,425,Passed,"",web.pageComplete,
"Call Function: EBS_Reusable_Methods.expand_NodeFromList",,44524,Passed,"",basic.stepGroup,
"Think: 0 (sec).",,22,Passed,"",basic.comment,
"[3] Expand Node from the List",,1803,Passed,"",basic.stepGroup,
"Click element(""@text='System Administrator'"")",,1711,Passed,"",ft.action,
"Think: 0 (sec).",,14,Passed,"",basic.comment,
"[3] Expand Node from the List",,2602,Passed,"",basic.stepGroup,
"Click element(""@text='Concurrent'"")",,2551,Passed,"",ft.action,
"Think: 0 (sec).",,20,Passed,"",basic.comment,
"[4] Click on the link under the Node",,1716,Passed,"",basic.stepGroup,
"WaitForPage https://erpint.fin.yahoo.com:8000/OA_HTML/OA.jsp?OAFunc=OAHOMEPAGE#dummyAnchor",,421,Passed,"",web.pageComplete,
"Frame (URL=https://erpint.fin.yahoo.com:8000/OA_HTML/cabo/images/skyros/t.htm)",,0,Passed,"",web.frame,
"Frame (URL=https://erpint.fin.yahoo.com:8000/OA_HTML/blank.html)",,0,Passed,"",web.frame,
"Click element(""@text='Requests'"")",,1128,Passed,"",ft.action,
"Close window(""@name='JOBS_QF'"")",,20447,Passed,"",ft.action,
"Activate window(""@name='NAVIGATOR'"")",,12,Passed,"",ft.action,
"Think: 10 (sec).",,10034,Passed,"",basic.comment,
"Iteration Total (sec)",,248937,Passed,"",basic.iteration,
"Info",,0,Passed,"Comments: C:\OracleATS\OFT\Purchasing\CreateandApprovePO\CreateandApprovePO.jwg",basic.comment,
"Info",,0,Passed,"Comments: C:\OracleATS\OFT\Purchasing",basic.comment,
"Call Function: EBS_Reusable_Methods.generateUniqueData",,17,Passed,"",basic.stepGroup,
"Call Function: EBS_Reusable_Methods.SwitchResponsibility",,10171,Passed,"",basic.stepGroup,
"ClickToolbarButton window(""@name='NAVIGATOR'"") Switch Responsibility...",,843,Passed,"",ft.action,
"Think: 2 (sec).",,2023,Passed,"",basic.comment,
"Find listOfValues(""forms:listOfValues"") Purchasing Super User",,1187,Passed,"",ft.action,
"FocusItem treeList(""@name='NAVIGATOR_LIST_0'"") Purchase Orders",,637,Passed,"",ft.action,
"SelectItem treeList(""@name='NAVIGATOR_LIST_0'"") Purchase Orders",,582,Passed,"",ft.action,
"FocusItem treeList(""@name='NAVIGATOR_LIST_0'"") Purchase Orders|Purchase Orders",,614,Passed,"",ft.action,
"SelectItem treeList(""@name='NAVIGATOR_LIST_0'"") Purchase Orders|Purchase Orders",,2576,Passed,"",ft.action,
"SetFocus textField(""@name='PO_HEADERS_OPERATING_UNIT_0'"")",,193,Passed,"",ft.action,
"SetText textField(""@name='PO_HEADERS_OPERATING_UNIT_0'"") YAHOO! US",,61,Passed,"",ft.action,
"InvokeSoftKey textField(""@name='PO_HEADERS_OPERATING_UNIT_0'"")",,1574,Passed,"",ft.action,
"Click textField(""@name='PO_HEADERS_DESC_FLEX_0'"") ",,780,Passed,"",ft.action,
"ClickOk flexWindow(""forms:flexWindow"")",,1980,Passed,"",ft.action,
"SetText textField(""@name='PO_HEADERS_VENDOR_NAME_0'"") APPROVED NETWORKS INC",,429,Passed,"",ft.action,
"InvokeSoftKey textField(""@name='PO_HEADERS_VENDOR_NAME_0'"")",,403,Passed,"",ft.action,
"Activate window(""@name='PO_HEADERS'"")",,44,Passed,"",ft.action,
"SetFocus textField(""@name='PO_LINES_LINE_NUM_0'"")",,1625,Passed,"",ft.action,
"OpenDialog textField(""@name='PO_LINES_ITEM_CATEGORY_0'"")",,922,Passed,"",ft.action,
"combination flexWindow(""forms:flexWindow"")",,412,Passed,"",ft.action,
"setTextAndClickOk flexWindow(""forms:flexWindow"") Major PO Category, , %",,888,Passed,"",ft.action,
"Select listOfValues(""forms:listOfValues"") Brand/Media Marketing|Creative Production|Brand/Media Marketing.Creative Production",,917,Passed,"",ft.action,
"SetText textField(""@name='PO_LINES_ITEM_DESCRIPTION_0'"") Reqtesting",,95,Passed,"",ft.action,
"InvokeSoftKey textField(""@name='PO_LINES_ITEM_DESCRIPTION_0'"")",,467,Passed,"",ft.action,
"InvokeSoftKey textField(""@name='PO_LINES_UNIT_MEAS_LOOKUP_CODE_TL_0'"")",,448,Passed,"",ft.action,
"SetText textField(""@name='PO_LINES_QUANTITY_0'"") 5",,91,Passed,"",ft.action,
"InvokeSoftKey textField(""@name='PO_LINES_QUANTITY_0'"")",,573,Passed,"",ft.action,
"SetText textField(""@name='PO_LINES_UNIT_PRICE_0'"") 10",,103,Passed,"",ft.action,
"InvokeSoftKey textField(""@name='PO_LINES_UNIT_PRICE_0'"")",,500,Passed,"",ft.action,
"InvokeSoftKey textField(""@name='PO_LINES_PROMISED_DATE_0'"")",,260,Passed,"",ft.action,
"Call Function: EBS_Reusable_Methods.getDateTimeFormat",,77,Passed,"",basic.stepGroup,
"Info",,1,Passed,"Comments: insside getDateTimeFormat",basic.comment,
"Info",,0,Passed,"Comments: 11-Oct-2017",basic.comment,
"SetText textField(""@name='PO_LINES_NEED_BY_0'"") 11-Oct-2017",,44,Passed,"",ft.action,
"InvokeSoftKey textField(""@name='PO_LINES_NEED_BY_0'"")",,453,Passed,"",ft.action,
"SetFocus textField(""@name='PO_LINES_NEED_BY_0'"")",,343,Passed,"",ft.action,
"Click button(""@name='PO_CONTROL_SHIPMENTS_0'"")",,1963,Passed,"",ft.action,
"Click button(""@name='SHIP_CONTROL_DISTRIBUTIONS_0'"")",,2272,Passed,"",ft.action,
"SetText textField(""@name='PO_DISTRIBUTIONS_CHARGE_ACCOUNT_FLEX_0'"") 110-100300-1010-0000-000-000000-000-0000",,2080,Passed,"",ft.action,
"InvokeSoftKey textField(""@name='PO_DISTRIBUTIONS_CHARGE_ACCOUNT_FLEX_0'"")",,1403,Passed,"",ft.action,
"ClickToolbarButton window(""@name='PO_DISTRIBUTIONS'"") Save",359,20705,Passed,"",ft.action,
"ClickButton choiceBox(""forms:choiceBox"") OK",362,30038,Passed,"",ft.action,
"Close window(""@name='PO_DISTRIBUTIONS'"")",366,769,Passed,"",ft.action,
"Close window(""@name='PO_SHIPMENTS'"")",369,860,Passed,"",ft.action,
"SetFocus textField(""@name='PO_LINES_LINE_NUM_0'"")",372,293,Passed,"",ft.action,
"Call Function: EBS_Reusable_Methods.GetText",,114,Passed,"",basic.stepGroup,
"Info",,0,Passed,"Comments: Text: 158742",basic.comment,
"Think: 10 (sec).",,10031,Passed,"",basic.comment,
"InvokeSoftKey textField(""@name='PO_HEADERS_SEGMENT1_0'"")",,1443,Passed,"",ft.action,
"SetText textField(""@name='PO_HEADERS_SEGMENT1_0'"") 158742",,421,Passed,"",ft.action,
"InvokeSoftKey textField(""@name='PO_HEADERS_SEGMENT1_0'"")",,2493,Passed,"",ft.action,
"Think: 10 (sec).",,10013,Passed,"",basic.comment,
"Click button(""@name='PO_CONTROL_APPROVE_0'"")",,3538,Passed,"",ft.action,
"Click button(""@name='PO_APPROVE_WF_OK_BUTTON_0'"")",,60001,Passed,"",ft.action,
