281299,1,CreateandApprovePO,10/10/2017 10:40:50 AM,Passed,10/10/2017 10:36:08 AM,basic.step,Purchasing,,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,97067,Passed,"",basic.init,
"Launch Browser: InternetExplorer 10.0.9200.17609",,2070,Passed,"",basic.step,
"Call Function: EBS_Reusable_Methods.login_EBS",,18189,Passed,"",basic.stepGroup,
"Launch Browser: InternetExplorer 10.0.9200.17609",,1464,Passed,"",basic.step,
"Think: 0 (sec).",,24,Passed,"",basic.comment,
"[1] Import Excel",,11251,Passed,"",basic.stepGroup,
"Info",,1,Passed,"Comments: selected environment is ++ ",basic.comment,
"Info",,0,Passed,"Comments: oatsuser",basic.comment,
"Navigate https://erpint.fin.yahoo.com:8000/",2,64,Passed,"",ft.action,
"Think: 10 (sec).",,10045,Passed,"",basic.comment,
"SetText textBox(""@id='usernameField'"") oatsuser",,132,Passed,"",ft.action,
"SetPassword textBox(""@id='passwordField'"") ******",,38,Passed,"",ft.action,
"Click button(""@index='0'"")",,98,Passed,"",ft.action,
"WaitForPage https://erpint.fin.yahoo.com:8000/OA_HTML/AppsLocalLogin.jsp",,425,Passed,"",web.pageComplete,
"Call Function: EBS_Reusable_Methods.expand_NodeFromList",,44555,Passed,"",basic.stepGroup,
"Think: 0 (sec).",,20,Passed,"",basic.comment,
"[3] Expand Node from the List",,1716,Passed,"",basic.stepGroup,
"Click element(""@text='System Administrator'"")",,1659,Passed,"",ft.action,
"Think: 0 (sec).",,18,Passed,"",basic.comment,
"[3] Expand Node from the List",,2630,Passed,"",basic.stepGroup,
"Click element(""@text='Concurrent'"")",,2574,Passed,"",ft.action,
"Think: 0 (sec).",,20,Passed,"",basic.comment,
"[4] Click on the link under the Node",,1768,Passed,"",basic.stepGroup,
"WaitForPage https://erpint.fin.yahoo.com:8000/OA_HTML/OA.jsp?OAFunc=OAHOMEPAGE#dummyAnchor",,422,Passed,"",web.pageComplete,
"Frame (URL=https://erpint.fin.yahoo.com:8000/OA_HTML/cabo/images/skyros/t.htm)",,0,Passed,"",web.frame,
