130184,1,PO Approval Verification,10/20/2017 19:58:39 PM,Failed,10/20/2017 19:56:29 PM,basic.step,Purchasing,,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,108489,Passed,"",basic.init,
"Launch Browser: InternetExplorer 10.0.9200.17609",,1970,Passed,"",basic.step,
"Call Function: EBS_Reusable_Methods.login_EBS",,18545,Passed,"",basic.stepGroup,
"Launch Browser: InternetExplorer 10.0.9200.17609",,1422,Passed,"",basic.step,
"Think: 0 (sec).",,32,Passed,"",basic.comment,
"[1] Import Excel",,11785,Passed,"",basic.stepGroup,
"Info",,2,Passed,"Comments: selected environment is ++ ",basic.comment,
"Info",,0,Passed,"Comments: oatsuser",basic.comment,
"Navigate https://erpint.fin.yahoo.com:8000/",2,63,Passed,"",ft.action,
"Think: 10 (sec).",,10411,Passed,"",basic.comment,
"SetText textBox(""@id='usernameField'"") oatsuser",,160,Passed,"",ft.action,
"SetPassword textBox(""@id='passwordField'"") ******",,36,Passed,"",ft.action,
"Click button(""@index='0'"")",,113,Passed,"",ft.action,
"WaitForPage https://erpint.fin.yahoo.com:8000/OA_HTML/AppsLocalLogin.jsp",,450,Passed,"",web.pageComplete,
"Call Function: EBS_Reusable_Methods.expand_NodeFromList",,47886,Passed,"",basic.stepGroup,
"Think: 0 (sec).",,28,Passed,"",basic.comment,
"[3] Expand Node from the List",,461,Passed,"",basic.stepGroup,
"Click element(""@text='System Administrator'"")",,346,Passed,"",ft.action,
"Think: 0 (sec).",,21,Passed,"",basic.comment,
"[3] Expand Node from the List",,2389,Passed,"",basic.stepGroup,
"Click element(""@text='Concurrent'"")",,2331,Passed,"",ft.action,
"Think: 0 (sec).",,23,Passed,"",basic.comment,
"[4] Click on the link under the Node",,837,Passed,"",basic.stepGroup,
"WaitForPage https://erpint.fin.yahoo.com:8000/OA_HTML/OA.jsp?OAFunc=OAHOMEPAGE#dummyAnchor",,395,Passed,"",web.pageComplete,
"Frame (URL=https://erpint.fin.yahoo.com:8000/OA_HTML/cabo/images/skyros/t.htm)",,0,Passed,"",web.frame,
"Frame (URL=https://erpint.fin.yahoo.com:8000/OA_HTML/blank.html)",,0,Passed,"",web.frame,
"Click element(""@text='Requests'"")",,269,Passed,"",ft.action,
"Close window(""@name='JOBS_QF'"")",,29196,Passed,"",ft.action,
"Activate window(""@name='NAVIGATOR'"")",,43,Passed,"",ft.action,
"Think: 10 (sec).",,10020,Passed,"",basic.comment,
"Iteration Total (sec)",,21307,Failed,"",basic.iteration,
"Call Function: EBS_Reusable_Methods.SwitchResponsibility",,11432,Passed,"",basic.stepGroup,
"ClickToolbarButton window(""@name='NAVIGATOR'"") Switch Responsibility...",,1358,Passed,"",ft.action,
"Think: 2 (sec).",,2019,Passed,"",basic.comment,
"Find listOfValues(""forms:listOfValues"") Global HR Manager",,1909,Passed,"",ft.action,
"SelectItem treeList(""@name='NAVIGATOR_LIST_0'"") People",,1404,Passed,"",ft.action,
"SelectItem treeList(""@name='NAVIGATOR_LIST_0'"") People|Enter and Maintain",,3327,Passed,"",ft.action,
"ClickButton choiceBox(""forms:choiceBox"") No",,1234,Passed,"",ft.action,
"SetText textField(""@name='EMP_QF_FULL_NAME_0'"") oats, user",,42,Passed,"",ft.action,
"Click button(""@name='EMP_QF_FIND_0'"")",,2691,Passed,"",ft.action,
"Call Function: EBS_Reusable_Methods.GetText",,88,Passed,"",basic.stepGroup,
"Info",,0,Passed,"Comments: Text: oats",basic.comment,
"Call Function: EBS_Reusable_Methods.GetText",,94,Passed,"",basic.stepGroup,
"Info",,0,Passed,"Comments: Text: user",basic.comment,
"Call Function: EBS_Reusable_Methods.GetText",,91,Passed,"",basic.stepGroup,
"Info",,0,Passed,"Comments: Text: 7799",basic.comment,
"Call Function: EBS_Reusable_Methods.GetText",,87,Passed,"",basic.stepGroup,
"Info",,0,Passed,"Comments: Text: ",basic.comment,
"Failure",,0,Failed,"user is end dated",basic.comment,
"Finish Total (sec)",,41,Passed,"",basic.finish,
