152700,1,PO Approval Verification,10/20/2017 20:06:10 PM,Passed,10/20/2017 20:03:37 PM,basic.step,Purchasing,,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,104667,Passed,"",basic.init,
"Launch Browser: InternetExplorer 10.0.9200.17609",,2252,Passed,"",basic.step,
"Call Function: EBS_Reusable_Methods.login_EBS",,18378,Passed,"",basic.stepGroup,
"Launch Browser: InternetExplorer 10.0.9200.17609",,1550,Passed,"",basic.step,
"Think: 0 (sec).",,31,Passed,"",basic.comment,
"[1] Import Excel",,11317,Passed,"",basic.stepGroup,
"Info",,0,Passed,"Comments: selected environment is ++ ",basic.comment,
"Info",,0,Passed,"Comments: oatsuser",basic.comment,
"Navigate https://erpint.fin.yahoo.com:8000/",2,62,Passed,"",ft.action,
"Think: 10 (sec).",,10037,Passed,"",basic.comment,
"SetText textBox(""@id='usernameField'"") oatsuser",,178,Passed,"",ft.action,
"SetPassword textBox(""@id='passwordField'"") ******",,32,Passed,"",ft.action,
"Click button(""@index='0'"")",,108,Passed,"",ft.action,
"WaitForPage https://erpint.fin.yahoo.com:8000/OA_HTML/AppsLocalLogin.jsp",,425,Passed,"",web.pageComplete,
"Call Function: EBS_Reusable_Methods.expand_NodeFromList",,42305,Passed,"",basic.stepGroup,
"Think: 0 (sec).",,26,Passed,"",basic.comment,
"[3] Expand Node from the List",,457,Passed,"",basic.stepGroup,
"Click element(""@text='System Administrator'"")",,355,Passed,"",ft.action,
"Think: 0 (sec).",,20,Passed,"",basic.comment,
"[3] Expand Node from the List",,2474,Passed,"",basic.stepGroup,
"Click element(""@text='Concurrent'"")",,2417,Passed,"",ft.action,
"Think: 0 (sec).",,23,Passed,"",basic.comment,
"[4] Click on the link under the Node",,916,Passed,"",basic.stepGroup,
"WaitForPage https://erpint.fin.yahoo.com:8000/OA_HTML/OA.jsp?OAFunc=OAHOMEPAGE#dummyAnchor",,433,Passed,"",web.pageComplete,
"Frame (URL=https://erpint.fin.yahoo.com:8000/OA_HTML/cabo/images/skyros/t.htm)",,0,Passed,"",web.frame,
"Frame (URL=https://erpint.fin.yahoo.com:8000/OA_HTML/blank.html)",,0,Passed,"",web.frame,
"Click element(""@text='Requests'"")",,298,Passed,"",ft.action,
"Close window(""@name='JOBS_QF'"")",,30947,Passed,"",ft.action,
"Activate window(""@name='NAVIGATOR'"")",,41,Passed,"",ft.action,
"Think: 10 (sec).",,10026,Passed,"",basic.comment,
"Iteration Total (sec)",,47599,Passed,"",basic.iteration,
"Call Function: EBS_Reusable_Methods.SwitchResponsibility",,11308,Passed,"",basic.stepGroup,
"ClickToolbarButton window(""@name='NAVIGATOR'"") Switch Responsibility...",,1351,Passed,"",ft.action,
"Think: 2 (sec).",,2022,Passed,"",basic.comment,
"Find listOfValues(""forms:listOfValues"") Global HR Manager",,1794,Passed,"",ft.action,
"SelectItem treeList(""@name='NAVIGATOR_LIST_0'"") People",,1770,Passed,"",ft.action,
"SelectItem treeList(""@name='NAVIGATOR_LIST_0'"") People|Enter and Maintain",,3218,Passed,"",ft.action,
"ClickButton choiceBox(""forms:choiceBox"") No",,1206,Passed,"",ft.action,
"SetText textField(""@name='EMP_QF_FULL_NAME_0'"") oats, user",,37,Passed,"",ft.action,
"Click button(""@name='EMP_QF_FIND_0'"")",,1557,Passed,"",ft.action,
"Call Function: EBS_Reusable_Methods.GetText",,82,Passed,"",basic.stepGroup,
"Info",,1,Passed,"Comments: Text: oats",basic.comment,
"Call Function: EBS_Reusable_Methods.GetText",,91,Passed,"",basic.stepGroup,
"Info",,0,Passed,"Comments: Text: user",basic.comment,
"Call Function: EBS_Reusable_Methods.GetText",,81,Passed,"",basic.stepGroup,
"Info",,0,Passed,"Comments: Text: 7799",basic.comment,
"Call Function: EBS_Reusable_Methods.GetText",,100,Passed,"",basic.stepGroup,
"Info",,0,Passed,"Comments: Text: ",basic.comment,
"SelectItem tab(""@name='REGION_LIST'"") Employment",,975,Passed,"",ft.action,
"SelectItem tab(""@name='REGION_LIST'"") Office Details",,1029,Passed,"",ft.action,
"Call Function: EBS_Reusable_Methods.GetText",,81,Passed,"",basic.stepGroup,
"Info",,0,Passed,"Comments: Text: streamservemailtest@yahoo-inc.com",basic.comment,
"Call Function: EBS_Reusable_Methods.GetText",,79,Passed,"",basic.stepGroup,
"Info",,0,Passed,"Comments: Text: ",basic.comment,
"Click button(""@name='CTL_PERWSEPI_NAV_NAV_BUTTON3_0'"")",,1964,Passed,"",ft.action,
"Call Function: EBS_Reusable_Methods.GetText",,84,Passed,"",basic.stepGroup,
"Info",,0,Passed,"Comments: Text: Yahoo Global",basic.comment,
"Call Function: EBS_Reusable_Methods.GetText",,76,Passed,"",basic.stepGroup,
"Info",,0,Passed,"Comments: Text: ""  Technical Support Engineer I""....103339",basic.comment,
"Info",,0,Passed,"Comments: ""  Technical Support Engineer I""....103339",basic.comment,
"SelectItem tab(""@name='ASSGT_TAB_CANVAS'"") Supervisor",,1031,Passed,"",ft.action,
"Call Function: EBS_Reusable_Methods.GetText",,78,Passed,"",basic.stepGroup,
"Info",,0,Passed,"Comments: Text: Mgr",basic.comment,
"Call Function: EBS_Reusable_Methods.GetText",,83,Passed,"",basic.stepGroup,
"Info",,0,Passed,"Comments: Text: Oats, Mgr",basic.comment,
"Info",,0,Passed,"Comments: Oats, Mgr",basic.comment,
"Close window(""@name='ASSGT'"")",,725,Passed,"",ft.action,
"Close window(""@name='WINDOW1'"")",,818,Passed,"",ft.action,
"Activate window(""@name='NAVIGATOR'"")",187,12,Passed,"",ft.action,
"Call Function: EBS_Reusable_Methods.SwitchResponsibility",,11218,Passed,"",basic.stepGroup,
"ClickToolbarButton window(""@name='NAVIGATOR'"") Switch Responsibility...",,1296,Passed,"",ft.action,
"Think: 2 (sec).",,2019,Passed,"",basic.comment,
"Find listOfValues(""forms:listOfValues"") System Administrator",,1780,Passed,"",ft.action,
"FocusItem treeList(""@name='NAVIGATOR_LIST_0'"") Security",,1143,Passed,"",ft.action,
"SelectItem treeList(""@name='NAVIGATOR_LIST_0'"") Security",,1131,Passed,"",ft.action,
"SelectItem treeList(""@name='NAVIGATOR_LIST_0'"") Security|User",,1458,Passed,"",ft.action,
"SelectItem treeList(""@name='NAVIGATOR_LIST_0'"") Security|User|Define",,1886,Passed,"",ft.action,
"InvokeSoftKey textField(""@name='USER_USER_NAME_0'"")",,455,Passed,"",ft.action,
"SetText textField(""@name='USER_USER_NAME_0'"") OATSUSER",,135,Passed,"",ft.action,
"InvokeSoftKey textField(""@name='USER_USER_NAME_0'"")",,901,Passed,"",ft.action,
"Call Function: EBS_Reusable_Methods.GetText",,72,Passed,"",basic.stepGroup,
"Info",,0,Passed,"Comments: Text: OATSUSER",basic.comment,
"SetFocus textField(""@name='USER_EMAIL_ADDRESS_0'"")",,488,Passed,"",ft.action,
"Finish Total (sec)",,61,Passed,"",basic.finish,
