193054,1,PO Approval Verification,10/25/2017 10:06:38 AM,Passed,10/25/2017 10:03:25 AM,basic.step,Purchasing,,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,97824,Passed,"",basic.init,
"Launch Browser: InternetExplorer 10.0.9200.17609",,2352,Passed,"",basic.step,
"Call Function: EBS_Reusable_Methods.login_EBS",,18250,Passed,"",basic.stepGroup,
"Launch Browser: InternetExplorer 10.0.9200.17609",,1474,Passed,"",basic.step,
"Think: 0 (sec).",,39,Passed,"",basic.comment,
"[1] Import Excel",,11281,Passed,"",basic.stepGroup,
"Info",,1,Passed,"Comments: selected environment is ++ ",basic.comment,
"Info",,0,Passed,"Comments: oatsuser",basic.comment,
"Navigate https://erpint.fin.yahoo.com:8000/",2,67,Passed,"",ft.action,
"Think: 10 (sec).",,10044,Passed,"",basic.comment,
"SetText textBox(""@id='usernameField'"") oatsuser",,135,Passed,"",ft.action,
"SetPassword textBox(""@id='passwordField'"") ******",,41,Passed,"",ft.action,
"Click button(""@index='0'"")",,104,Passed,"",ft.action,
"WaitForPage https://erpint.fin.yahoo.com:8000/OA_HTML/AppsLocalLogin.jsp",,424,Passed,"",web.pageComplete,
"Call Function: EBS_Reusable_Methods.expand_NodeFromList",,43257,Passed,"",basic.stepGroup,
"Think: 0 (sec).",,26,Passed,"",basic.comment,
"[3] Expand Node from the List",,442,Passed,"",basic.stepGroup,
"Click element(""@text='System Administrator'"")",,343,Passed,"",ft.action,
"Think: 0 (sec).",,20,Passed,"",basic.comment,
"[3] Expand Node from the List",,3515,Passed,"",basic.stepGroup,
"Click element(""@text='Concurrent'"")",,3451,Passed,"",ft.action,
"Think: 0 (sec).",,24,Passed,"",basic.comment,
"[4] Click on the link under the Node",,904,Passed,"",basic.stepGroup,
"WaitForPage https://erpint.fin.yahoo.com:8000/OA_HTML/OA.jsp?OAFunc=OAHOMEPAGE#dummyAnchor",,427,Passed,"",web.pageComplete,
