156470,1,Usercreationandvalidation,10/16/2017 15:06:02 PM,Passed,10/16/2017 15:03:25 PM,basic.step,OFT,,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,105375,Passed,"",basic.init,
"Launch Browser: InternetExplorer 10.0.9200.17609",,2020,Passed,"",basic.step,
"Call Function: EBS_Reusable_Methods.login_EBS",,18301,Passed,"",basic.stepGroup,
"Launch Browser: InternetExplorer 10.0.9200.17609",,1515,Passed,"",basic.step,
"Think: 0 (sec).",,27,Passed,"",basic.comment,
"[1] Import Excel",,11339,Passed,"",basic.stepGroup,
"Info",,1,Passed,"Comments: selected environment is ++ ",basic.comment,
"Info",,0,Passed,"Comments: oatsuser",basic.comment,
"Navigate https://erpint.fin.yahoo.com:8000/",2,70,Passed,"",ft.action,
"Think: 10 (sec).",,10050,Passed,"",basic.comment,
"SetText textBox(""@id='usernameField'"") oatsuser",,132,Passed,"",ft.action,
"SetPassword textBox(""@id='passwordField'"") ******",,41,Passed,"",ft.action,
"Click button(""@index='0'"")",,116,Passed,"",ft.action,
"WaitForPage https://erpint.fin.yahoo.com:8000/OA_HTML/AppsLocalLogin.jsp",,434,Passed,"",web.pageComplete,
"Call Function: EBS_Reusable_Methods.expand_NodeFromList",,42764,Passed,"",basic.stepGroup,
"Think: 0 (sec).",,24,Passed,"",basic.comment,
"[3] Expand Node from the List",,816,Passed,"",basic.stepGroup,
"Click element(""@text='System Administrator'"")",,757,Passed,"",ft.action,
"Think: 0 (sec).",,26,Passed,"",basic.comment,
"[3] Expand Node from the List",,2610,Passed,"",basic.stepGroup,
"Click element(""@text='Concurrent'"")",,2545,Passed,"",ft.action,
"Think: 0 (sec).",,21,Passed,"",basic.comment,
"[4] Click on the link under the Node",,888,Passed,"",basic.stepGroup,
"WaitForPage https://erpint.fin.yahoo.com:8000/OA_HTML/OA.jsp?OAFunc=OAHOMEPAGE#dummyAnchor",,417,Passed,"",web.pageComplete,
"Frame (URL=https://erpint.fin.yahoo.com:8000/OA_HTML/cabo/images/skyros/t.htm)",,0,Passed,"",web.frame,
"Frame (URL=https://erpint.fin.yahoo.com:8000/OA_HTML/blank.html)",,0,Passed,"",web.frame,
"Click element(""@text='Requests'"")",,301,Passed,"",ft.action,
"Close window(""@name='JOBS_QF'"")",,31516,Passed,"",ft.action,
"Activate window(""@name='NAVIGATOR'"")",,43,Passed,"",ft.action,
"Think: 10 (sec).",,10022,Passed,"",basic.comment,
"Iteration Total (sec)",,50712,Passed,"",basic.iteration,
"Call Function: EBS_Reusable_Methods.SwitchResponsibility",,11225,Passed,"",basic.stepGroup,
"ClickToolbarButton window(""@name='NAVIGATOR'"") Switch Responsibility...",,1400,Passed,"",ft.action,
"Think: 2 (sec).",,2020,Passed,"",basic.comment,
"Find listOfValues(""forms:listOfValues"") System Administrator",,1665,Passed,"",ft.action,
"FocusItem treeList(""@name='NAVIGATOR_LIST_0'"") Security",,1145,Passed,"",ft.action,
"SelectItem treeList(""@name='NAVIGATOR_LIST_0'"") Security",,1092,Passed,"",ft.action,
"SelectItem treeList(""@name='NAVIGATOR_LIST_0'"") Security|User",,1401,Passed,"",ft.action,
"SelectItem treeList(""@name='NAVIGATOR_LIST_0'"") Security|User|Define",,1900,Passed,"",ft.action,
"InvokeSoftKey textField(""@name='USER_USER_NAME_0'"")",,444,Passed,"",ft.action,
"SetText textField(""@name='USER_USER_NAME_0'"") OATSUSER",,138,Passed,"",ft.action,
"InvokeSoftKey textField(""@name='USER_USER_NAME_0'"")",,829,Passed,"",ft.action,
"Call Function: EBS_Reusable_Methods.GetText",,87,Passed,"",basic.stepGroup,
"Info",,0,Passed,"Comments: Text: oats, user",basic.comment,
"Call Function: EBS_Reusable_Methods.GetText",,70,Passed,"",basic.stepGroup,
"Info",,0,Passed,"Comments: Text: OATSUSER",basic.comment,
"Call Function: EBS_Reusable_Methods.GetText",,87,Passed,"",basic.stepGroup,
"Info",,0,Passed,"Comments: Text: Workflow Administrator",basic.comment,
"Close window(""@name='USER_WINDOW'"")",,582,Passed,"",ft.action,
"Activate window(""@name='NAVIGATOR'"")",,9,Passed,"",ft.action,
"Call Function: EBS_Reusable_Methods.SwitchResponsibility",,11468,Passed,"",basic.stepGroup,
"ClickToolbarButton window(""@name='NAVIGATOR'"") Switch Responsibility...",,1371,Passed,"",ft.action,
"Think: 2 (sec).",,2023,Passed,"",basic.comment,
"Find listOfValues(""forms:listOfValues"") Purchasing Super User",,1951,Passed,"",ft.action,
"FocusItem treeList(""@name='NAVIGATOR_LIST_0'"") Setup",,1225,Passed,"",ft.action,
"SelectItem treeList(""@name='NAVIGATOR_LIST_0'"") Setup",,1083,Passed,"",ft.action,
"SelectItem treeList(""@name='NAVIGATOR_LIST_0'"") Setup|Personnel",,1401,Passed,"",ft.action,
"FocusItem treeList(""@name='NAVIGATOR_LIST_0'"") Setup|Personnel|Buyers",,1100,Passed,"",ft.action,
"SelectItem treeList(""@name='NAVIGATOR_LIST_0'"") Setup|Personnel|Buyers",,1385,Passed,"",ft.action,
"Click textBox(""@id='SearchBuyerName'"")",,2123,Passed,"",ft.action,
"SetText textBox(""@id='SearchBuyerName'"") oats,user",,47,Passed,"",ft.action,
"Click button(""@index='2'"")",,107,Passed,"",ft.action,
"Think: 10 (sec).",,10025,Passed,"",basic.comment,
"Info",,0,Passed,"Comments: ",basic.comment,
"Info",,0,Passed,"Comments: ",basic.comment,
"Info",,0,Passed,"Comments: No results found.",basic.comment,
"Finish Total (sec)",,46,Passed,"",basic.finish,
