227698,1,PO Creation Verification,10/16/2017 17:04:54 PM,Passed,10/16/2017 17:01:06 PM,basic.step,OFT,,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,142492,Passed,"",basic.init,
"Launch Browser: InternetExplorer 10.0.9200.17609",,3812,Passed,"",basic.step,
"Call Function: EBS_Reusable_Methods.login_EBS",,18575,Passed,"",basic.stepGroup,
"Launch Browser: InternetExplorer 10.0.9200.17609",,1513,Passed,"",basic.step,
"Think: 0 (sec).",,39,Passed,"",basic.comment,
"[1] Import Excel",,11467,Passed,"",basic.stepGroup,
"Info",,1,Passed,"Comments: selected environment is ++ ",basic.comment,
"Info",,0,Passed,"Comments: oatsuser",basic.comment,
"Navigate https://erpint.fin.yahoo.com:8000/",2,82,Passed,"",ft.action,
"Think: 10 (sec).",,10027,Passed,"",basic.comment,
"SetText textBox(""@id='usernameField'"") oatsuser",,156,Passed,"",ft.action,
"SetPassword textBox(""@id='passwordField'"") ******",,43,Passed,"",ft.action,
"Click button(""@index='0'"")",,114,Passed,"",ft.action,
"WaitForPage https://erpint.fin.yahoo.com:8000/OA_HTML/AppsLocalLogin.jsp",,475,Passed,"",web.pageComplete,
"Call Function: EBS_Reusable_Methods.expand_NodeFromList",,75606,Passed,"",basic.stepGroup,
"Think: 0 (sec).",,30,Passed,"",basic.comment,
"[3] Expand Node from the List",,33709,Passed,"",basic.stepGroup,
"Click element(""@text='System Administrator'"")",,33659,Passed,"",ft.action,
"Think: 0 (sec).",,25,Passed,"",basic.comment,
"[3] Expand Node from the List",,2483,Passed,"",basic.stepGroup,
"Click element(""@text='Concurrent'"")",,2416,Passed,"",ft.action,
"Think: 0 (sec).",,23,Passed,"",basic.comment,
"[4] Click on the link under the Node",,909,Passed,"",basic.stepGroup,
"WaitForPage https://erpint.fin.yahoo.com:8000/OA_HTML/OA.jsp?OAFunc=OAHOMEPAGE#dummyAnchor",,428,Passed,"",web.pageComplete,
"Frame (URL=https://erpint.fin.yahoo.com:8000/OA_HTML/cabo/images/skyros/t.htm)",,0,Passed,"",web.frame,
