221398,1,PO Creation Verification,10/17/2017 10:25:44 AM,Passed,10/17/2017 10:22:02 AM,basic.step,Purchasing,,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,106071,Passed,"",basic.init,
"Launch Browser: InternetExplorer 10.0.9200.17609",,2146,Passed,"",basic.step,
"Call Function: EBS_Reusable_Methods.login_EBS",,18413,Passed,"",basic.stepGroup,
"Launch Browser: InternetExplorer 10.0.9200.17609",,1707,Passed,"",basic.step,
"Think: 0 (sec).",,25,Passed,"",basic.comment,
"[1] Import Excel",,11272,Passed,"",basic.stepGroup,
"Info",,2,Passed,"Comments: selected environment is ++ ",basic.comment,
"Info",,0,Passed,"Comments: oatsuser",basic.comment,
"Navigate https://erpint.fin.yahoo.com:8000/",2,68,Passed,"",ft.action,
"Think: 10 (sec).",,10032,Passed,"",basic.comment,
"SetText textBox(""@id='usernameField'"") oatsuser",,131,Passed,"",ft.action,
"SetPassword textBox(""@id='passwordField'"") ******",,37,Passed,"",ft.action,
"Click button(""@index='0'"")",,119,Passed,"",ft.action,
"WaitForPage https://erpint.fin.yahoo.com:8000/OA_HTML/AppsLocalLogin.jsp",,430,Passed,"",web.pageComplete,
"Call Function: EBS_Reusable_Methods.expand_NodeFromList",,42537,Passed,"",basic.stepGroup,
"Think: 0 (sec).",,21,Passed,"",basic.comment,
"[3] Expand Node from the List",,689,Passed,"",basic.stepGroup,
"Click element(""@text='System Administrator'"")",,578,Passed,"",ft.action,
"Think: 0 (sec).",,20,Passed,"",basic.comment,
"[3] Expand Node from the List",,2498,Passed,"",basic.stepGroup,
"Click element(""@text='Concurrent'"")",,2441,Passed,"",ft.action,
"Think: 0 (sec).",,19,Passed,"",basic.comment,
"[4] Click on the link under the Node",,905,Passed,"",basic.stepGroup,
"WaitForPage https://erpint.fin.yahoo.com:8000/OA_HTML/OA.jsp?OAFunc=OAHOMEPAGE#dummyAnchor",,424,Passed,"",web.pageComplete,
"Frame (URL=https://erpint.fin.yahoo.com:8000/OA_HTML/cabo/images/skyros/t.htm)",,0,Passed,"",web.frame,
"Frame (URL=https://erpint.fin.yahoo.com:8000/OA_HTML/blank.html)",,0,Passed,"",web.frame,
"Click element(""@text='Requests'"")",,307,Passed,"",ft.action,
"Close window(""@name='JOBS_QF'"")",,32217,Passed,"",ft.action,
"Activate window(""@name='NAVIGATOR'"")",,42,Passed,"",ft.action,
"Think: 10 (sec).",,10033,Passed,"",basic.comment,
"Iteration Total (sec)",,114946,Passed,"",basic.iteration,
"Info",,0,Passed,"Comments: C:\OracleATS\OFT\Purchasing\PO Creation Verification\PO Creation Verification.jwg",basic.comment,
"Info",,0,Passed,"Comments: C:\OracleATS\OFT\Purchasing",basic.comment,
"Info",,0,Passed,"Comments: PO Creation Verification",basic.comment,
"Call Function: EBS_Reusable_Methods.SwitchResponsibility",,11635,Passed,"",basic.stepGroup,
"ClickToolbarButton window(""@name='NAVIGATOR'"") Switch Responsibility...",,1500,Passed,"",ft.action,
"Think: 2 (sec).",,2026,Passed,"",basic.comment,
"Find listOfValues(""forms:listOfValues"") System Administrator",,1984,Passed,"",ft.action,
"FocusItem treeList(""@name='NAVIGATOR_LIST_0'"") Security",,1156,Passed,"",ft.action,
"SelectItem treeList(""@name='NAVIGATOR_LIST_0'"") Security",,1386,Passed,"",ft.action,
"SelectItem treeList(""@name='NAVIGATOR_LIST_0'"") Security|User",,1569,Passed,"",ft.action,
"SelectItem treeList(""@name='NAVIGATOR_LIST_0'"") Security|User|Define",,2319,Passed,"",ft.action,
"InvokeSoftKey textField(""@name='USER_USER_NAME_0'"")",,509,Passed,"",ft.action,
"SetText textField(""@name='USER_USER_NAME_0'"") OATSUSER",,140,Passed,"",ft.action,
"InvokeSoftKey textField(""@name='USER_USER_NAME_0'"")",,590,Passed,"",ft.action,
"Call Function: EBS_Reusable_Methods.GetText",,77,Passed,"",basic.stepGroup,
"Info",,0,Passed,"Comments: Text: OATSUSER",basic.comment,
"Reported Pass",,1,Passed,"Comments: user exists",basic.comment,
"Call Function: EBS_Reusable_Methods.GetText",,61,Passed,"",basic.stepGroup,
"Info",,0,Passed,"Comments: Text: oats, user",basic.comment,
"Reported Pass",,1,Passed,"Comments: person assigned",basic.comment,
"Call Function: EBS_Reusable_Methods.GetText",,73,Passed,"",basic.stepGroup,
"Info",,1,Passed,"Comments: Text: Workflow Administrator",basic.comment,
"InvokeSoftKey textField(""@name='USER_RESP_RESPONSIBILITY_NAME_0'"")",,683,Passed,"",ft.action,
"SetText textField(""@name='USER_RESP_RESPONSIBILITY_NAME_0'"") Purchasing Super User",,132,Passed,"",ft.action,
"InvokeSoftKey textField(""@name='USER_RESP_RESPONSIBILITY_NAME_0'"")",,490,Passed,"",ft.action,
"Info",,0,Passed,"Comments: ",basic.comment,
"Close window(""@name='USER_WINDOW'"")",,898,Passed,"",ft.action,
"Activate window(""@name='NAVIGATOR'"")",,13,Passed,"",ft.action,
"Call Function: EBS_Reusable_Methods.SwitchResponsibility",,11643,Passed,"",basic.stepGroup,
"ClickToolbarButton window(""@name='NAVIGATOR'"") Switch Responsibility...",,1320,Passed,"",ft.action,
"Think: 2 (sec).",,2021,Passed,"",basic.comment,
