129178,1,PO Creation Verification,10/17/2017 11:00:57 AM,Failed,10/17/2017 10:58:48 AM,basic.step,Purchasing,,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,106952,Passed,"",basic.init,
"Launch Browser: InternetExplorer 10.0.9200.17609",,2374,Passed,"",basic.step,
"Call Function: EBS_Reusable_Methods.login_EBS",,18363,Passed,"",basic.stepGroup,
"Launch Browser: InternetExplorer 10.0.9200.17609",,1564,Passed,"",basic.step,
"Think: 0 (sec).",,23,Passed,"",basic.comment,
"[1] Import Excel",,11324,Passed,"",basic.stepGroup,
"Info",,1,Passed,"Comments: selected environment is ++ ",basic.comment,
"Info",,0,Passed,"Comments: oatsuser",basic.comment,
"Navigate https://erpint.fin.yahoo.com:8000/",2,68,Passed,"",ft.action,
"Think: 10 (sec).",,10051,Passed,"",basic.comment,
"SetText textBox(""@id='usernameField'"") oatsuser",,130,Passed,"",ft.action,
"SetPassword textBox(""@id='passwordField'"") ******",,37,Passed,"",ft.action,
"Click button(""@index='0'"")",,114,Passed,"",ft.action,
"WaitForPage https://erpint.fin.yahoo.com:8000/OA_HTML/AppsLocalLogin.jsp",,416,Passed,"",web.pageComplete,
"Call Function: EBS_Reusable_Methods.expand_NodeFromList",,42527,Passed,"",basic.stepGroup,
"Think: 0 (sec).",,24,Passed,"",basic.comment,
"[3] Expand Node from the List",,691,Passed,"",basic.stepGroup,
"Click element(""@text='System Administrator'"")",,586,Passed,"",ft.action,
"Think: 0 (sec).",,21,Passed,"",basic.comment,
"[3] Expand Node from the List",,2504,Passed,"",basic.stepGroup,
"Click element(""@text='Concurrent'"")",,2439,Passed,"",ft.action,
"Think: 0 (sec).",,19,Passed,"",basic.comment,
"[4] Click on the link under the Node",,903,Passed,"",basic.stepGroup,
"WaitForPage https://erpint.fin.yahoo.com:8000/OA_HTML/OA.jsp?OAFunc=OAHOMEPAGE#dummyAnchor",,431,Passed,"",web.pageComplete,
"Frame (URL=https://erpint.fin.yahoo.com:8000/OA_HTML/cabo/images/skyros/t.htm)",,0,Passed,"",web.frame,
"Frame (URL=https://erpint.fin.yahoo.com:8000/OA_HTML/blank.html)",,0,Passed,"",web.frame,
"Click element(""@text='Requests'"")",,306,Passed,"",ft.action,
"Close window(""@name='JOBS_QF'"")",,32874,Passed,"",ft.action,
"Activate window(""@name='NAVIGATOR'"")",,43,Passed,"",ft.action,
"Think: 10 (sec).",,10022,Passed,"",basic.comment,
"Iteration Total (sec)",,21782,Failed,"",basic.iteration,
"Info",,0,Passed,"Comments: C:\OracleATS\OFT\Purchasing\PO Creation Verification\PO Creation Verification.jwg",basic.comment,
"Info",,0,Passed,"Comments: C:\OracleATS\OFT\Purchasing",basic.comment,
"Info",,0,Passed,"Comments: PO Creation Verification",basic.comment,
"Call Function: EBS_Reusable_Methods.SwitchResponsibility",,11290,Passed,"",basic.stepGroup,
"ClickToolbarButton window(""@name='NAVIGATOR'"") Switch Responsibility...",,1396,Passed,"",ft.action,
"Think: 2 (sec).",,2026,Passed,"",basic.comment,
"Find listOfValues(""forms:listOfValues"") System Administrator",,1728,Passed,"",ft.action,
"FocusItem treeList(""@name='NAVIGATOR_LIST_0'"") Security",,1196,Passed,"",ft.action,
"SelectItem treeList(""@name='NAVIGATOR_LIST_0'"") Security",,1150,Passed,"",ft.action,
"SelectItem treeList(""@name='NAVIGATOR_LIST_0'"") Security|User",,1420,Passed,"",ft.action,
"SelectItem treeList(""@name='NAVIGATOR_LIST_0'"") Security|User|Define",,2090,Passed,"",ft.action,
"InvokeSoftKey textField(""@name='USER_USER_NAME_0'"")",,474,Passed,"",ft.action,
"SetText textField(""@name='USER_USER_NAME_0'"") OATSUSER",,137,Passed,"",ft.action,
"InvokeSoftKey textField(""@name='USER_USER_NAME_0'"")",,1208,Passed,"",ft.action,
"Call Function: EBS_Reusable_Methods.GetText",,82,Passed,"",basic.stepGroup,
"Info",,0,Passed,"Comments: Text: OATSUSER",basic.comment,
"Reported Pass",,1,Passed,"Comments: user exists",basic.comment,
"Call Function: EBS_Reusable_Methods.GetText",,76,Passed,"",basic.stepGroup,
"Info",,0,Passed,"Comments: Text: oats, user",basic.comment,
"Reported Pass",,0,Passed,"Comments: person assigned",basic.comment,
"InvokeSoftKey textField(""@name='USER_RESP_RESPONSIBILITY_NAME_0'"")",,694,Passed,"",ft.action,
"SetText textField(""@name='USER_RESP_RESPONSIBILITY_NAME_0'"") Purchasing Super Us",,132,Passed,"",ft.action,
"InvokeSoftKey textField(""@name='USER_RESP_RESPONSIBILITY_NAME_0'"")",,586,Passed,"",ft.action,
"Call Function: EBS_Reusable_Methods.GetText",,80,Passed,"",basic.stepGroup,
"Info",,0,Passed,"Comments: Text: ",basic.comment,
"Failure",,0,Failed,"Responsbility not assigned",basic.comment,
"Finish Total (sec)",,51,Passed,"",basic.finish,
