66136,1,TC-1,8/22/2017 11:49:14 AM,Failed,8/22/2017 11:48:08 AM,basic.step,OFT,,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,1346,Passed,"",basic.init,
"Launch Browser: InternetExplorer 8.0.7601.17514",,991,Passed,"",basic.step,
"Iteration Total (sec)",,64578,Failed,"",basic.iteration,
"Think: 0 (sec).",,25,Passed,"",basic.comment,
"[1] Google (/)",,3920,Passed,"",basic.stepGroup,
"Navigate http://www.google.com/",2,62,Passed,"",ft.action,
"WaitForPage https://www.google.com/?gws_rd=ssl",4,603,Passed,"",web.pageComplete,
"Think: 2.454 (sec).",,2477,Passed,"",basic.comment,
"SetText textBox(""@name='q'"") open script oracle",5,70,Passed,"",ft.action,
"Think: 0.328 (sec).",,356,Passed,"",basic.comment,
"PressEnter textBox(""@name='q'"")",6,99,Passed,"",ft.action,
"Think: 0 (sec).",,23,Passed,"",basic.comment,
"[2] open script oracle - Google Search (/search)",,60317,Failed,"",basic.stepGroup,
"WaitForPage",7,60164,Failed,"Timeout(60 seconds) occurred waiting for page to load.",ft.action,
"Finish Total (sec)",,41,Passed,"",basic.finish,
