26402,1,TC-1,8/22/2017 11:50:54 AM,Passed,8/22/2017 11:50:28 AM,basic.step,OFT,,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,1314,Passed,"",basic.init,
"Launch Browser: InternetExplorer 8.0.7601.17514",,960,Passed,"",basic.step,
"Iteration Total (sec)",,24865,Passed,"",basic.iteration,
"Think: 0 (sec).",,36,Passed,"",basic.comment,
"[1] Google (/)",,4306,Passed,"",basic.stepGroup,
"Navigate http://www.google.com/",2,58,Passed,"",ft.action,
"WaitForPage https://www.google.com/?gws_rd=ssl",4,847,Passed,"",web.pageComplete,
"Think: 2.454 (sec).",,2479,Passed,"",basic.comment,
"SetText textBox(""@name='q'"") open script oracle",5,64,Passed,"",ft.action,
"Think: 0.328 (sec).",,352,Passed,"",basic.comment,
"PressEnter textBox(""@name='q'"")",6,93,Passed,"",ft.action,
"Think: 0 (sec).",,24,Passed,"",basic.comment,
"[2] open script oracle - Google Search (/search)",,18914,Passed,"",basic.stepGroup,
"WaitForPage https://www.google.com/search?hl=en&source=hp&biw=&bih=&q=open+script+oracle&gbv=2&oq=open+script+oracle&gs_l=heirloom-hp.3..0j0i22i30l3j0i22i10i30.3091.3091.0.3602.1.1.0.0.0.0.119.119.0j1.1.0....0...1.1.34.heirloom-hp..0.1.119.5o8-KwVj0uY",7,945,Passed,"",web.pageComplete,
"Think: 10 (sec).",,10950,Passed,"",basic.comment,
"Click element(""@id='rhs_block'"")",8,128,Passed,"",ft.action,
"Think: 6.406 (sec).",,6443,Passed,"",basic.comment,
"Click link(""@text='More items...'"")",9,229,Passed,"",ft.action,
"Think: 0 (sec).",,36,Passed,"",basic.comment,
"[3] https://www.google.com/url?url=https://docs.oracle.com/cd/E25294_01/doc.920/e15487/chap3_os_fm.htm&rct=j&frm=1&q=&esrc=s&sa=U&ved=0ahUKEwj4t-OvwOvVAhXkrFQKHcunDD4QMAgbMAE&usg=AFQjCNH-TlU9UaI95-v_sdK_u74pa_JA-g (/chap3_os_fm.htm&rct=j&frm=1&q=&esrc...",,1214,Passed,"",basic.stepGroup,
"WaitForPage https://docs.oracle.com/cd/E25294_01/doc.920/e15487/chap3_os_fm.htm",10,1154,Passed,"",web.pageComplete,
"Finish Total (sec)",,52,Passed,"",basic.finish,
